normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
78,XLMUSDT,9,2020-02-28 08:00:00 to 2020-03-01 08:00:00,0.0,0,0,0.0,0.0,0.0,77,8,9,1,8,6.3
81,ZECUSDT,6,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0.0,0,0,0.0,0.0,0.0,80,8,2,2,2,2.0
86,VETUSDT,6,2020-03-15 08:00:00 to 2020-03-17 08:00:00,7.722493400819874,1,1,100.0,0.0,999.0,85,8,8,1,17,8.6
87,ZECUSDT,10,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,0,0,0.0,0.0,0.0,86,8,3,3,4,3.3
93,QTUMUSDT,9,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0.0,0,0,0.0,0.0,0.0,92,8,8,5,4,5.9
96,ETHUSDT,39,2020-04-04 07:45:00 to 2020-04-06 07:45:00,0.0,0,0,0.0,0.0,0.0,95,8,2,2,7,3.5
98,VETUSDT,14,2020-04-08 08:00:00 to 2020-04-10 08:00:00,1.1245362942710724,1,1,100.0,-1.3045192238146042,0.8620312171274598,97,8,5,5,15,8.0
99,ONTUSDT,16,2020-04-11 08:00:00 to 2020-04-13 08:00:00,1.2321742532271474,1,1,100.0,0.0,999.0,98,8,8,4,1,4.7
104,ONTUSDT,19,2020-04-20 08:00:00 to 2020-04-22 08:00:00,0.0,0,0,0.0,0.0,0.0,103,8,4,4,6,4.6
105,LTCUSDT,31,2020-04-23 08:00:00 to 2020-04-25 08:00:00,0.0,0,0,0.0,0.0,0.0,104,8,8,5,5,6.2
108,BNBUSDT,22,2020-04-28 08:00:00 to 2020-04-30 08:00:00,0.0,0,0,0.0,0.0,0.0,107,8,1,1,8,3.0999999999999996
111,ZECUSDT,26,2020-05-05 08:00:00 to 2020-05-07 08:00:00,0.0,0,0,0.0,0.0,0.0,110,8,8,1,1,3.8
112,XMRUSDT,27,2020-05-06 08:00:00 to 2020-05-08 08:00:00,-1.9925532508200727,0,1,0.0,-1.9925532508200727,1.0,111,8,13,7,3,8.200000000000001
114,ETHUSDT,51,2020-05-10 07:45:00 to 2020-05-12 07:45:00,1.5549994930209365,1,1,100.0,-2.9206413233873962,0.532417137485896,113,8,1,1,5,2.2
117,TRXUSDT,37,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0.0,0,0,0.0,0.0,0.0,116,8,8,1,1,3.8
