Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top4,2020-01-22 07:45:00,2025-03-06 06:45:00,33738.80007993081,212.11298054034148,-25.400581506561736,1328.2688064135484,3.0383234760739004,2.144528185432722,8.350713564787732,38.895380694502734,50.70921985815603,9.023306685117527,2.679081675662206,-0.3054509446926696,8.770906498121235,282,632
top1,2019-10-01 17:45:00,2025-03-05 12:15:00,23821.95753790523,174.53289946726304,-24.00414789710802,992.4100467975895,2.4877093440867357,1.7888866118745335,7.270947513545793,40.3887371073743,56.269113149847094,4.2529352240843865,2.533917554705144,-0.7666294484363053,3.3052703100221072,327,662
top2,2019-12-17 07:45:00,2025-03-06 06:00:00,18330.158240646793,171.87862240607927,-28.31484875402621,647.3691030413979,2.6206950917434986,2.0251966060552427,6.070264542085505,38.05457103145437,51.0,7.061245062590833,2.6001606575783867,-0.38325955833873815,6.784333491508838,300,643
top6,2020-02-10 17:45:00,2025-03-05 16:00:00,14532.70021110776,167.75432029120202,-31.02839374038089,468.36779024737757,3.1331353853923156,2.0260653419323273,5.4064777472797,32.31519520387618,49.47735191637631,4.7842513454227555,2.5954272779567775,-0.5312699101778022,4.885327078072529,287,626
top7,2020-02-03 08:00:00,2025-03-05 07:45:00,13883.960404157031,164.39152824560463,-17.779399636618898,780.9015314308633,2.978262891558959,2.2271987762315932,9.246179938889483,34.21573428361968,51.8796992481203,11.765214471759885,2.540957079942345,-0.2328448289989447,10.912662698443954,266,613
top3,2020-01-10 07:45:00,2025-03-04 14:00:00,7396.374924363007,131.33945097595281,-35.60910204419091,207.7102341750742,2.331565886076273,1.6678484233581654,3.688367395868632,36.8606799503438,47.82608695652174,3.8376105254633237,2.68574289869671,-0.6415270580838183,4.186484209596356,299,645
top10,2020-02-11 08:00:00,2025-03-04 04:45:00,7153.65694190878,133.30870405087927,-26.506174875171805,269.8864312032278,3.0051476436751026,2.154146620143919,5.029345225355351,31.804961922666347,47.950819672131146,3.7102428474991997,2.402659382260253,-0.5965845620109378,4.027357620789729,244,581
top9,2020-02-27 08:00:00,2025-03-04 14:15:00,6455.4256748747075,130.2395066576779,-14.974099449182866,431.10610402864523,3.0760046134928567,2.350735404123485,8.697652042426167,30.984804655191777,48.10126582278481,9.527061181101674,2.5793018059059083,-0.2509244309479002,10.279197590136022,237,593
top5,2020-01-29 17:45:00,2025-03-04 21:30:00,2966.0471027297795,95.77807754082292,-30.086043532765217,98.58548198601137,2.0218832382937655,1.2897589134828609,3.1834720120814746,36.249779354501605,53.40501792114696,5.738609593587635,2.3827789392150622,-0.47590469453914386,5.006840585009348,279,624
top8,2020-02-27 08:00:00,2025-03-04 20:30:00,2367.4583055678436,89.48551158777053,-17.730191282649066,133.5269466542451,2.324244507031462,1.6597063295187866,5.047069721991206,31.21070750621503,47.32824427480916,5.689084926242564,2.1436612346179666,-0.3385761296792344,6.331400966302209,262,606
