Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-03-13 13:30:00 to 2024-03-27 13:30:00,2024-03-28 13:30:00 to 2024-03-30 13:30:00,10,0.02,4,-3.4660050095136468,9.674103518787788,75.0,239.0268111228943,823
2,2024-03-16 13:30:00 to 2024-03-30 13:30:00,2024-03-31 13:30:00 to 2024-04-02 13:30:00,10,0.02,3,2.6157927006627504,3.1322306311144734,100.0,229.47483015060425,825
3,2024-03-19 13:30:00 to 2024-04-02 13:30:00,2024-04-03 13:30:00 to 2024-04-05 13:30:00,110,0.022,4,2.5424777690580775,5.86377313185568,50.0,226.59423422813416,826
4,2024-03-22 13:30:00 to 2024-04-05 13:30:00,2024-04-06 13:30:00 to 2024-04-08 13:30:00,125,0.022,2,3.324544627011164,1.5158795919227508,100.0,230.9793431758881,827
5,2024-03-25 13:30:00 to 2024-04-08 13:30:00,2024-04-09 13:30:00 to 2024-04-11 13:30:00,125,0.022,2,-9.984709761591494,12.010009535668232,0.0,232.52825689315796,829
6,2024-03-28 13:30:00 to 2024-04-11 13:30:00,2024-04-12 13:30:00 to 2024-04-14 13:30:00,20,0.022,5,-18.89534550059981,25.033012455976028,60.0,235.069650888443,831
7,2024-03-31 13:30:00 to 2024-04-14 13:30:00,2024-04-15 13:30:00 to 2024-04-17 13:30:00,25,0.066,0,0.0,0.0,0.0,231.66603302955627,832
8,2024-04-03 13:30:00 to 2024-04-17 13:30:00,2024-04-18 13:30:00 to 2024-04-20 13:30:00,25,0.066,0,0.0,0.0,0.0,229.3422799110413,833
9,2024-04-06 13:30:00 to 2024-04-20 13:30:00,2024-04-21 13:30:00 to 2024-04-23 13:30:00,25,0.062,0,0.0,0.0,0.0,228.38539695739743,835
10,2024-04-09 13:30:00 to 2024-04-23 13:30:00,2024-04-24 13:30:00 to 2024-04-26 13:30:00,25,0.062,0,0.0,0.0,0.0,238.59056615829468,837
11,2024-04-12 13:30:00 to 2024-04-26 13:30:00,2024-04-27 13:30:00 to 2024-04-29 13:30:00,125,0.038,2,0.8937100949544037,0.7501205017560773,50.0,240.3660659790039,838
12,2024-04-15 13:30:00 to 2024-04-29 13:30:00,2024-04-30 13:30:00 to 2024-05-02 13:30:00,105,0.026,2,-3.0125245194996024,10.773883426484115,50.0,238.6109161376953,839
13,2024-04-18 13:30:00 to 2024-05-02 13:30:00,2024-05-03 13:30:00 to 2024-05-05 13:30:00,50,0.036,1,0.9072234273318828,0.6794401120131515,100.0,224.78456592559817,841
14,2024-04-21 13:30:00 to 2024-05-05 13:30:00,2024-05-06 13:30:00 to 2024-05-08 13:30:00,80,0.038,2,-0.0990138703561388,2.756661396439769,50.0,224.52734208106995,843
15,2024-04-24 13:30:00 to 2024-05-08 13:30:00,2024-05-09 13:30:00 to 2024-05-11 13:30:00,80,0.038,1,0.1029376408715324,1.388566158500337,100.0,228.46612691879272,844
16,2024-04-27 13:30:00 to 2024-05-11 13:30:00,2024-05-12 13:30:00 to 2024-05-14 13:30:00,270,0.064,1,-3.666717371017421,6.754167601332422,0.0,228.24535870552063,845
17,2024-04-30 13:30:00 to 2024-05-14 13:30:00,2024-05-15 13:30:00 to 2024-05-17 13:30:00,75,0.05,3,-1.410797512943791,12.125689415925004,66.66666666666666,219.0932650566101,847
18,2024-05-03 13:30:00 to 2024-05-17 13:30:00,2024-05-18 13:30:00 to 2024-05-20 13:30:00,85,0.05,1,2.3139415204678517,0.1545159660317716,100.0,225.56996297836304,849
19,2024-05-06 13:30:00 to 2024-05-20 13:30:00,2024-05-21 13:30:00 to 2024-05-23 13:30:00,85,0.028,2,1.0838224428886678,1.2408518476406971,50.0,234.9270670413971,850
20,2024-05-09 13:30:00 to 2024-05-23 13:30:00,2024-05-24 13:30:00 to 2024-05-26 13:30:00,90,0.03,1,1.4309220216606446,1.2379709599049062,100.0,230.5976481437683,851
21,2024-05-12 13:30:00 to 2024-05-26 13:30:00,2024-05-27 13:30:00 to 2024-05-29 13:30:00,300,0.028,0,0.0,0.0,0.0,230.62489914894104,853
