Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-18 11:30:00 to 2024-12-02 11:30:00,2024-12-03 11:30:00 to 2024-12-05 11:30:00,60,0.026,3,4.183549192081828,1.3553930551989737,100.0,207.90396809577945,948
2,2024-11-21 11:30:00 to 2024-12-05 11:30:00,2024-12-06 11:30:00 to 2024-12-08 11:30:00,250,0.026,1,0.2483305567733441,1.1720990793511736,0.0,204.37853908538816,949
3,2024-11-24 11:30:00 to 2024-12-08 11:30:00,2024-12-09 11:30:00 to 2024-12-11 11:30:00,45,0.024,4,-3.10687687935555,11.04448407398052,50.0,201.23094701766968,951
4,2024-11-27 11:30:00 to 2024-12-11 11:30:00,2024-12-12 11:30:00 to 2024-12-14 11:30:00,10,0.022,0,0.0,0.0,0.0,203.7602858543396,953
5,2024-11-30 11:30:00 to 2024-12-14 11:30:00,2024-12-15 11:30:00 to 2024-12-17 11:30:00,10,0.022,0,0.0,0.0,0.0,205.43228793144223,954
6,2024-12-03 11:30:00 to 2024-12-17 11:30:00,2024-12-18 11:30:00 to 2024-12-20 11:30:00,10,0.022,3,-6.33446018363793,7.038541120066272,33.33333333333333,205.62302684783936,955
7,2024-12-06 11:30:00 to 2024-12-20 11:30:00,2024-12-21 11:30:00 to 2024-12-23 11:30:00,50,0.038,1,0.1990066832853335,2.731570817135523,100.0,208.51685094833377,957
8,2024-12-09 11:30:00 to 2024-12-23 11:30:00,2024-12-24 11:30:00 to 2024-12-26 11:30:00,115,0.046,1,-0.0905630441792891,0.6565095130603004,0.0,207.64660501480105,959
9,2024-12-12 11:30:00 to 2024-12-26 11:30:00,2024-12-27 11:30:00 to 2024-12-29 11:30:00,155,0.048,1,1.2918268656716465,0.9661413533173157,100.0,204.90688610076904,960
10,2024-12-15 11:30:00 to 2024-12-29 11:30:00,2024-12-30 11:30:00 to 2025-01-01 11:30:00,155,0.05,0,0.0,0.0,0.0,205.69804096221924,961
11,2024-12-18 11:30:00 to 2025-01-01 11:30:00,2025-01-02 11:30:00 to 2025-01-04 11:30:00,125,0.024,1,1.499186348535186,0.6504546467185064,100.0,204.719211101532,963
12,2024-12-21 11:30:00 to 2025-01-04 11:30:00,2025-01-05 11:30:00 to 2025-01-07 11:30:00,100,0.022,1,-0.0360105913504048,0.9912802582791694,0.0,203.0423731803894,965
13,2024-12-24 11:30:00 to 2025-01-07 11:30:00,2025-01-08 11:30:00 to 2025-01-10 11:30:00,100,0.022,1,-10.893294634230244,14.612529005793151,0.0,200.7258658409119,966
14,2024-12-27 11:30:00 to 2025-01-10 11:30:00,2025-01-11 11:30:00 to 2025-01-13 11:30:00,20,0.02,1,-5.703592673286312,6.375070793026296,0.0,201.98134779930115,967
15,2024-12-30 11:30:00 to 2025-01-13 11:30:00,2025-01-14 11:30:00 to 2025-01-16 11:30:00,10,0.02,0,0.0,0.0,0.0,201.77959299087524,969
16,2025-01-02 11:30:00 to 2025-01-16 11:30:00,2025-01-17 11:30:00 to 2025-01-19 11:30:00,10,0.02,2,1.9566606330179457,0.0180767772647541,100.0,204.072331905365,971
17,2025-01-05 11:30:00 to 2025-01-19 11:30:00,2025-01-20 11:30:00 to 2025-01-22 11:30:00,10,0.02,4,4.266466824156451,1.0277654723127123,75.0,204.53104901313785,972
18,2025-01-08 11:30:00 to 2025-01-22 11:30:00,2025-01-23 11:30:00 to 2025-01-25 11:30:00,215,0.048,1,1.5699147540983722,2.132850059671318,100.0,204.50089502334595,973
