Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-01-25 14:00:00 to 2024-02-08 14:00:00,2024-02-09 14:00:00 to 2024-02-11 14:00:00,25,0.02,1,-1.3762397841755227,3.632125118793277,0.0,202.92491698265076,799
2,2024-01-28 14:00:00 to 2024-02-11 14:00:00,2024-02-12 14:00:00 to 2024-02-14 14:00:00,10,0.02,2,1.3634883934296704,0.5795123734774431,100.0,203.5159969329834,801
3,2024-01-31 14:00:00 to 2024-02-14 14:00:00,2024-02-15 14:00:00 to 2024-02-17 14:00:00,55,0.038,2,0.4545238187544055,1.397621430297813,50.0,201.58170914649963,802
4,2024-02-03 14:00:00 to 2024-02-17 14:00:00,2024-02-18 14:00:00 to 2024-02-20 14:00:00,130,0.02,3,5.806006487339855,1.9870134625920663,100.0,197.14565706253052,803
5,2024-02-06 14:00:00 to 2024-02-20 14:00:00,2024-02-21 14:00:00 to 2024-02-23 14:00:00,35,0.02,7,12.483673672237328,1.8414593592533544,85.71428571428571,196.9638080596924,805
6,2024-02-09 14:00:00 to 2024-02-23 14:00:00,2024-02-24 14:00:00 to 2024-02-26 14:00:00,35,0.02,3,2.085762885427666,2.2144046479987773,66.66666666666666,199.69988369941711,807
7,2024-02-12 14:00:00 to 2024-02-26 14:00:00,2024-02-27 14:00:00 to 2024-02-29 14:00:00,45,0.022,3,3.9172242875866687,3.9343799376360193,100.0,200.771723985672,808
8,2024-02-15 14:00:00 to 2024-02-29 14:00:00,2024-03-01 14:00:00 to 2024-03-03 14:00:00,45,0.022,1,2.5299559148297885,0.0957078495022304,100.0,204.05264496803284,809
9,2024-02-18 14:00:00 to 2024-03-03 14:00:00,2024-03-04 14:00:00 to 2024-03-06 14:00:00,50,0.02,5,8.514217907037455,6.6731819645411194,80.0,204.6231160163879,811
10,2024-02-21 14:00:00 to 2024-03-06 14:00:00,2024-03-07 14:00:00 to 2024-03-09 14:00:00,240,0.022,0,0.0,0.0,0.0,207.56852102279663,813
11,2024-02-24 14:00:00 to 2024-03-09 14:00:00,2024-03-10 14:00:00 to 2024-03-12 14:00:00,45,0.02,3,5.084727092093671,3.479738558369963,100.0,204.9388451576233,814
12,2024-02-27 14:00:00 to 2024-03-12 14:00:00,2024-03-13 14:00:00 to 2024-03-15 14:00:00,70,0.026,2,-6.93776657653636,11.559104762711444,0.0,203.0938229560852,815
13,2024-03-01 14:00:00 to 2024-03-15 14:00:00,2024-03-16 14:00:00 to 2024-03-18 14:00:00,70,0.04,3,3.135898229621889,1.4570731565334605,66.66666666666666,203.5041506290436,817
14,2024-03-04 14:00:00 to 2024-03-18 14:00:00,2024-03-19 14:00:00 to 2024-03-21 14:00:00,70,0.052,2,1.387714086693686,5.618618009468682,50.0,207.76793813705444,819
15,2024-03-07 14:00:00 to 2024-03-21 14:00:00,2024-03-22 14:00:00 to 2024-03-24 14:00:00,100,0.02,4,3.4228012586924885,4.3936479788904785,75.0,205.41774797439575,820
16,2024-03-10 14:00:00 to 2024-03-24 14:00:00,2024-03-25 14:00:00 to 2024-03-27 14:00:00,20,0.026,3,9.048299734858684,2.269752703751886,100.0,206.96976685523987,821
17,2024-03-13 14:00:00 to 2024-03-27 14:00:00,2024-03-28 14:00:00 to 2024-03-30 14:00:00,20,0.026,2,-0.5780659561756875,3.162274420217361,50.0,209.60337615013125,823
18,2024-03-16 14:00:00 to 2024-03-30 14:00:00,2024-03-31 14:00:00 to 2024-04-02 14:00:00,260,0.02,2,-6.416953047738534,10.833302767657289,50.0,204.81169891357425,825
19,2024-03-19 14:00:00 to 2024-04-02 14:00:00,2024-04-03 14:00:00 to 2024-04-05 14:00:00,60,0.026,3,0.636492499338292,3.6002700520906386,66.66666666666666,202.39019513130188,826
20,2024-03-22 14:00:00 to 2024-04-05 14:00:00,2024-04-06 14:00:00 to 2024-04-08 14:00:00,75,0.024,0,0.0,0.0,0.0,202.52104687690735,827
21,2024-03-25 14:00:00 to 2024-04-08 14:00:00,2024-04-09 14:00:00 to 2024-04-11 14:00:00,75,0.024,2,-6.283001334062719,11.051016341191346,0.0,203.46326112747192,829
22,2024-03-28 14:00:00 to 2024-04-11 14:00:00,2024-04-12 14:00:00 to 2024-04-14 14:00:00,110,0.06,1,-11.449860912864295,29.018975355251257,0.0,202.88558077812195,831
23,2024-03-31 14:00:00 to 2024-04-14 14:00:00,2024-04-15 14:00:00 to 2024-04-17 14:00:00,30,0.078,0,0.0,0.0,0.0,205.9120020866394,832
