Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2019-12-19 08:45:00 to 2020-01-02 08:45:00,2020-01-03 08:45:00 to 2020-01-05 08:45:00,50,0.02,1,0.5871450200844447,0.4701430806534812,100.0,192.92112517356873,50
2,2019-12-22 08:45:00 to 2020-01-05 08:45:00,2020-01-06 08:45:00 to 2020-01-08 08:45:00,75,0.02,1,1.1712008153212443,0.4326726400271763,100.0,192.16028022766113,51
3,2019-12-25 08:45:00 to 2020-01-08 08:45:00,2020-01-09 08:45:00 to 2020-01-11 08:45:00,105,0.024,0,0.0,0.0,0.0,196.1267242431641,53
4,2019-12-28 08:45:00 to 2020-01-11 08:45:00,2020-01-12 08:45:00 to 2020-01-14 08:45:00,65,0.02,1,1.510323059096172,0.2754442441089875,100.0,198.921795129776,55
5,2019-12-31 08:45:00 to 2020-01-14 08:45:00,2020-01-15 08:45:00 to 2020-01-17 08:45:00,65,0.02,4,7.010882666251436,2.588071383692127,100.0,196.87162590026855,56
6,2020-01-03 08:45:00 to 2020-01-17 08:45:00,2020-01-18 08:45:00 to 2020-01-20 08:45:00,60,0.02,3,4.5930207944840005,6.048193404759293,66.66666666666666,199.77770233154297,57
7,2020-01-06 08:45:00 to 2020-01-20 08:45:00,2020-01-21 08:45:00 to 2020-01-23 08:45:00,50,0.022,0,0.0,0.0,0.0,201.82246804237369,59
8,2020-01-09 08:45:00 to 2020-01-23 08:45:00,2020-01-24 08:45:00 to 2020-01-26 08:45:00,50,0.026,2,3.485146346811944,2.8227665171889447,100.0,205.38191509246823,61
9,2020-01-12 08:45:00 to 2020-01-26 08:45:00,2020-01-27 08:45:00 to 2020-01-29 08:45:00,45,0.026,1,1.3158045951495845,0.3431255119998255,100.0,205.42217707633972,62
10,2020-01-15 08:45:00 to 2020-01-29 08:45:00,2020-01-30 08:45:00 to 2020-02-01 08:45:00,45,0.026,1,0.4987410636915228,0.9996198661743256,100.0,205.69031596183777,63
11,2020-01-18 08:45:00 to 2020-02-01 08:45:00,2020-02-02 08:45:00 to 2020-02-04 08:45:00,40,0.02,0,0.0,0.0,0.0,203.7621932029724,65
12,2020-01-21 08:45:00 to 2020-02-04 08:45:00,2020-02-05 08:45:00 to 2020-02-07 08:45:00,290,0.02,0,0.0,0.0,0.0,200.67371821403503,67
13,2020-01-24 08:45:00 to 2020-02-07 08:45:00,2020-02-08 08:45:00 to 2020-02-10 08:45:00,45,0.02,2,1.6557535519232625,0.3174339141296011,100.0,195.80602884292605,68
14,2020-01-27 08:45:00 to 2020-02-10 08:45:00,2020-02-11 08:45:00 to 2020-02-13 08:45:00,130,0.02,1,0.4186776788217321,0.0318792643426688,0.0,193.7003879547119,69
15,2020-01-30 08:45:00 to 2020-02-13 08:45:00,2020-02-14 08:45:00 to 2020-02-16 08:45:00,130,0.02,2,0.653563649850148,4.2602900116607945,50.0,194.04926204681396,71
16,2020-02-02 08:45:00 to 2020-02-16 08:45:00,2020-02-17 08:45:00 to 2020-02-19 08:45:00,125,0.046,1,2.019986388956895,4.626939576754573,100.0,197.8371238708496,73
17,2020-02-05 08:45:00 to 2020-02-19 08:45:00,2020-02-20 08:45:00 to 2020-02-22 08:45:00,55,0.036,1,-0.3832652708715068,1.9232832464835676,0.0,200.1938018798828,74
18,2020-02-08 08:45:00 to 2020-02-22 08:45:00,2020-02-23 08:45:00 to 2020-02-25 08:45:00,50,0.032,1,0.7362266938907123,0.9922755585069476,100.0,204.1245050430298,75
19,2020-02-11 08:45:00 to 2020-02-25 08:45:00,2020-02-26 08:45:00 to 2020-02-28 08:45:00,50,0.032,3,0.7106848225426075,5.151397775913523,33.33333333333333,203.59069681167605,77
20,2020-02-14 08:45:00 to 2020-02-28 08:45:00,2020-02-29 08:45:00 to 2020-03-02 08:45:00,50,0.03,0,0.0,0.0,0.0,211.275417804718,79
21,2020-02-17 08:45:00 to 2020-03-02 08:45:00,2020-03-03 08:45:00 to 2020-03-05 08:45:00,50,0.02,3,3.2008681867008635,0.8609873415073708,100.0,204.51701974868777,80
22,2020-02-20 08:45:00 to 2020-03-05 08:45:00,2020-03-06 08:45:00 to 2020-03-08 08:45:00,50,0.024,1,-2.1523989671403796,2.9281171960356085,0.0,202.143061876297,81
23,2020-02-23 08:45:00 to 2020-03-08 08:45:00,2020-03-09 08:45:00 to 2020-03-11 08:45:00,10,0.028,1,0.8935045336031362,0.5100800871696992,100.0,207.80842685699463,83
24,2020-02-26 08:45:00 to 2020-03-11 08:45:00,2020-03-12 08:45:00 to 2020-03-14 08:45:00,25,0.024,6,-20.835454191135597,35.303978980663324,66.66666666666666,202.7294399738312,85
25,2020-02-29 08:45:00 to 2020-03-14 08:45:00,2020-03-15 08:45:00 to 2020-03-17 08:45:00,15,0.072,0,0.0,0.0,0.0,206.38033080101013,86
26,2020-03-03 08:45:00 to 2020-03-17 08:45:00,2020-03-18 08:45:00 to 2020-03-20 08:45:00,15,0.072,0,0.0,0.0,0.0,207.03931069374084,87
27,2020-03-06 08:45:00 to 2020-03-20 08:45:00,2020-03-21 08:45:00 to 2020-03-23 08:45:00,15,0.072,0,0.0,0.0,0.0,215.40637731552124,89
28,2020-03-09 08:45:00 to 2020-03-23 08:45:00,2020-03-24 08:45:00 to 2020-03-26 08:45:00,15,0.072,0,0.0,0.0,0.0,215.5038800239563,91
29,2020-03-12 08:45:00 to 2020-03-26 08:45:00,2020-03-27 08:45:00 to 2020-03-29 08:45:00,65,0.032,1,-0.3828589987849955,3.104187589081512,0.0,211.76506304740903,92
30,2020-03-15 08:45:00 to 2020-03-29 08:45:00,2020-03-30 08:45:00 to 2020-04-01 08:45:00,105,0.052,0,0.0,0.0,0.0,207.74158000946045,93
31,2020-03-18 08:45:00 to 2020-04-01 08:45:00,2020-04-02 08:45:00 to 2020-04-04 08:45:00,150,0.03,0,0.0,0.0,0.0,205.47815704345703,95
32,2020-03-21 08:45:00 to 2020-04-04 08:45:00,2020-04-05 08:45:00 to 2020-04-07 08:45:00,155,0.02,1,1.026319999999978,0.687642422823346,100.0,198.4832148551941,97
