Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-20 10:30:00 to 2024-09-03 10:30:00,2024-09-04 10:30:00 to 2024-09-06 10:30:00,15,0.02,3,1.7984124764422813,0.7235927051542428,100.0,198.217218875885,903
2,2024-08-23 10:30:00 to 2024-09-06 10:30:00,2024-09-07 10:30:00 to 2024-09-09 10:30:00,120,0.058,0,0.0,0.0,0.0,204.2840838432312,905
3,2024-08-26 10:30:00 to 2024-09-09 10:30:00,2024-09-10 10:30:00 to 2024-09-12 10:30:00,165,0.044,1,2.2796298387096794,0.5678948729121635,100.0,205.9501988887787,906
4,2024-08-29 10:30:00 to 2024-09-12 10:30:00,2024-09-13 10:30:00 to 2024-09-15 10:30:00,300,0.048,0,0.0,0.0,0.0,204.17192387580872,907
5,2024-09-01 10:30:00 to 2024-09-15 10:30:00,2024-09-16 10:30:00 to 2024-09-18 10:30:00,250,0.036,1,1.713416981904593,5.963316579958082,100.0,200.9122350215912,909
6,2024-09-04 10:30:00 to 2024-09-18 10:30:00,2024-09-19 10:30:00 to 2024-09-21 10:30:00,170,0.044,1,-0.5258734466142414,0.5258734466142414,0.0,198.05741906166077,911
7,2024-09-07 10:30:00 to 2024-09-21 10:30:00,2024-09-22 10:30:00 to 2024-09-24 10:30:00,60,0.02,2,1.022036599104049,1.5083433517338027,100.0,196.3274121284485,912
8,2024-09-10 10:30:00 to 2024-09-24 10:30:00,2024-09-25 10:30:00 to 2024-09-27 10:30:00,65,0.028,0,0.0,0.0,0.0,196.5751130580902,913
9,2024-09-13 10:30:00 to 2024-09-27 10:30:00,2024-09-28 10:30:00 to 2024-09-30 10:30:00,300,0.022,2,-0.8113506325047093,4.213523570902992,50.0,201.44741988182068,915
10,2024-09-16 10:30:00 to 2024-09-30 10:30:00,2024-10-01 10:30:00 to 2024-10-03 10:30:00,40,0.02,4,-2.132429834191571,11.179984908092576,50.0,197.54836130142212,917
11,2024-09-19 10:30:00 to 2024-10-03 10:30:00,2024-10-04 10:30:00 to 2024-10-06 10:30:00,145,0.048,1,1.6092740665481324,0.8714040236664727,100.0,200.65240597724917,918
12,2024-09-22 10:30:00 to 2024-10-06 10:30:00,2024-10-07 10:30:00 to 2024-10-09 10:30:00,120,0.042,0,0.0,0.0,0.0,200.37255883216855,919
13,2024-09-25 10:30:00 to 2024-10-09 10:30:00,2024-10-10 10:30:00 to 2024-10-12 10:30:00,145,0.026,1,1.3665019002362169,4.690295307271085,100.0,205.73261284828183,921
14,2024-09-28 10:30:00 to 2024-10-12 10:30:00,2024-10-13 10:30:00 to 2024-10-15 10:30:00,145,0.026,0,0.0,0.0,0.0,204.147656917572,923
15,2024-10-01 10:30:00 to 2024-10-15 10:30:00,2024-10-16 10:30:00 to 2024-10-18 10:30:00,40,0.02,4,3.5458831397368153,1.3863415346710537,100.0,200.5694191455841,924
16,2024-10-04 10:30:00 to 2024-10-18 10:30:00,2024-10-19 10:30:00 to 2024-10-21 10:30:00,50,0.02,2,0.0761884297036158,1.8335296520200248,0.0,200.9162199497223,925
17,2024-10-07 10:30:00 to 2024-10-21 10:30:00,2024-10-22 10:30:00 to 2024-10-24 10:30:00,40,0.022,3,1.6288960750479964,0.9905868849316,100.0,199.5915403366089,927
18,2024-10-10 10:30:00 to 2024-10-24 10:30:00,2024-10-25 10:30:00 to 2024-10-27 10:30:00,40,0.022,3,-1.1766234901416464,6.258528681954427,66.66666666666666,201.7388298511505,929
19,2024-10-13 10:30:00 to 2024-10-27 10:30:00,2024-10-28 10:30:00 to 2024-10-30 10:30:00,50,0.026,1,0.7507497725204848,1.109549087402651,100.0,202.9998300075531,930
20,2024-10-16 10:30:00 to 2024-10-30 10:30:00,2024-10-31 10:30:00 to 2024-11-02 10:30:00,55,0.028,2,-1.5691624601481815,3.3428084390185497,0.0,198.1571319103241,931
21,2024-10-19 10:30:00 to 2024-11-02 10:30:00,2024-11-03 10:30:00 to 2024-11-05 10:30:00,45,0.026,3,3.057116372161418,2.5891827091549167,100.0,201.99843907356265,933
22,2024-10-22 10:30:00 to 2024-11-05 10:30:00,2024-11-06 10:30:00 to 2024-11-08 10:30:00,40,0.032,1,0.5273909030982213,1.0673867173295102,100.0,202.71299505233765,935
23,2024-10-25 10:30:00 to 2024-11-08 10:30:00,2024-11-09 10:30:00 to 2024-11-11 10:30:00,35,0.022,2,3.59526217483397,2.1179679027807325,100.0,202.83327102661133,936
24,2024-10-28 10:30:00 to 2024-11-11 10:30:00,2024-11-12 10:30:00 to 2024-11-14 10:30:00,25,0.022,4,-2.395125155519163,10.212603956698112,50.0,200.8409779071808,937
25,2024-10-31 10:30:00 to 2024-11-14 10:30:00,2024-11-15 10:30:00 to 2024-11-17 10:30:00,165,0.058,1,2.8821686482531548,0.7572457601449277,100.0,205.46500492095947,939
26,2024-11-03 10:30:00 to 2024-11-17 10:30:00,2024-11-18 10:30:00 to 2024-11-20 10:30:00,140,0.022,4,7.774841616804097,3.6246784660407183,100.0,201.78051614761353,941
27,2024-11-06 10:30:00 to 2024-11-20 10:30:00,2024-11-21 10:30:00 to 2024-11-23 10:30:00,140,0.02,3,7.827962613598592,5.757915865682284,100.0,203.36410093307495,942
28,2024-11-09 10:30:00 to 2024-11-23 10:30:00,2024-11-24 10:30:00 to 2024-11-26 10:30:00,140,0.02,2,-2.1662572674654257,6.938724727698068,0.0,206.68307614326477,943
29,2024-11-12 10:30:00 to 2024-11-26 10:30:00,2024-11-27 10:30:00 to 2024-11-29 10:30:00,80,0.024,1,0.7041931498585473,2.712713758126642,100.0,212.37723994255063,945
30,2024-11-15 10:30:00 to 2024-11-29 10:30:00,2024-11-30 10:30:00 to 2024-12-02 10:30:00,205,0.032,1,-2.1764611741777298,3.4284261800498177,0.0,211.9377567768097,947
31,2024-11-18 10:30:00 to 2024-12-02 10:30:00,2024-12-03 10:30:00 to 2024-12-05 10:30:00,255,0.032,1,5.758601323337079,7.451269541415897,100.0,211.44496297836304,948
32,2024-11-21 10:30:00 to 2024-12-05 10:30:00,2024-12-06 10:30:00 to 2024-12-08 10:30:00,120,0.02,2,1.8438345569954615,1.2818899600403335,50.0,206.3815679550171,949
33,2024-11-24 10:30:00 to 2024-12-08 10:30:00,2024-12-09 10:30:00 to 2024-12-11 10:30:00,115,0.02,2,-15.717808413131134,24.842182019372355,50.0,203.04252099990845,951
34,2024-11-27 10:30:00 to 2024-12-11 10:30:00,2024-12-12 10:30:00 to 2024-12-14 10:30:00,10,0.022,0,0.0,0.0,0.0,203.69839096069336,953
35,2024-11-30 10:30:00 to 2024-12-14 10:30:00,2024-12-15 10:30:00 to 2024-12-17 10:30:00,10,0.022,0,0.0,0.0,0.0,209.44554114341736,954
