Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-13 12:30:00 to 2024-11-27 12:30:00,2024-11-28 12:30:00 to 2024-11-30 12:30:00,25,0.04,3,4.994836468519698,1.7780091016476969,100.0,225.77520489692688,945
2,2024-11-16 12:30:00 to 2024-11-30 12:30:00,2024-12-01 12:30:00 to 2024-12-03 12:30:00,30,0.042,2,-2.239042515662968,7.670063193982022,0.0,214.4247260093689,947
3,2024-11-19 12:30:00 to 2024-12-03 12:30:00,2024-12-04 12:30:00 to 2024-12-06 12:30:00,125,0.022,2,3.619234193999236,0.4848048687336916,100.0,218.2886459827423,949
4,2024-11-22 12:30:00 to 2024-12-06 12:30:00,2024-12-07 12:30:00 to 2024-12-09 12:30:00,70,0.02,4,-4.8943972481902165,6.541008486784829,50.0,211.06553316116333,950
5,2024-11-25 12:30:00 to 2024-12-09 12:30:00,2024-12-10 12:30:00 to 2024-12-12 12:30:00,90,0.066,1,-5.703536329061936,15.150068224150388,0.0,205.00792503356936,951
6,2024-11-28 12:30:00 to 2024-12-12 12:30:00,2024-12-13 12:30:00 to 2024-12-15 12:30:00,15,0.042,1,0.689516129032254,1.803713051539355,100.0,207.64408802986145,953
7,2024-12-01 12:30:00 to 2024-12-15 12:30:00,2024-12-16 12:30:00 to 2024-12-18 12:30:00,25,0.056,0,0.0,0.0,0.0,209.96616220474243,955
8,2024-12-04 12:30:00 to 2024-12-18 12:30:00,2024-12-19 12:30:00 to 2024-12-21 12:30:00,25,0.056,3,0.3646437949633764,9.60707618628951,66.66666666666666,205.4336986541748,956
9,2024-12-07 12:30:00 to 2024-12-21 12:30:00,2024-12-22 12:30:00 to 2024-12-24 12:30:00,300,0.036,2,4.614991150442474,1.470411401504656,100.0,212.27685284614563,957
10,2024-12-10 12:30:00 to 2024-12-24 12:30:00,2024-12-25 12:30:00 to 2024-12-27 12:30:00,295,0.04,1,3.5324317681873074,6.690948656302379,100.0,209.7186906337738,959
11,2024-12-13 12:30:00 to 2024-12-27 12:30:00,2024-12-28 12:30:00 to 2024-12-30 12:30:00,245,0.032,1,1.8672631578947405,0.8318138353808407,100.0,212.61536407470703,961
12,2024-12-16 12:30:00 to 2024-12-30 12:30:00,2024-12-31 12:30:00 to 2025-01-02 12:30:00,245,0.038,1,1.6920769515353276,7.462773440705802,100.0,210.85523676872253,962
13,2024-12-19 12:30:00 to 2025-01-02 12:30:00,2025-01-03 12:30:00 to 2025-01-05 12:30:00,105,0.022,0,0.0,0.0,0.0,211.0586528778076,963
14,2024-12-22 12:30:00 to 2025-01-05 12:30:00,2025-01-06 12:30:00 to 2025-01-08 12:30:00,50,0.02,4,-8.50279992755055,11.241543002729632,25.0,204.33335494995117,965
15,2024-12-25 12:30:00 to 2025-01-08 12:30:00,2025-01-09 12:30:00 to 2025-01-11 12:30:00,65,0.036,3,5.090002144184382,1.1442666484392916,100.0,201.50069403648376,967
16,2024-12-28 12:30:00 to 2025-01-11 12:30:00,2025-01-12 12:30:00 to 2025-01-14 12:30:00,30,0.02,4,0.3488059121306469,7.080221564212973,75.0,204.02485394477844,968
17,2024-12-31 12:30:00 to 2025-01-14 12:30:00,2025-01-15 12:30:00 to 2025-01-17 12:30:00,30,0.02,3,2.0654013654178747,0.7108409938736582,100.0,201.11988520622253,969
18,2025-01-03 12:30:00 to 2025-01-17 12:30:00,2025-01-18 12:30:00 to 2025-01-20 12:30:00,25,0.03,4,-12.04347202625293,15.143105585522353,0.0,205.303307056427,971
