Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-24 11:30:00 to 2024-10-08 11:30:00,2024-10-09 11:30:00 to 2024-10-11 11:30:00,80,0.02,3,2.446096432154609,1.929281596518127,100.0,204.40700507164,921
2,2024-09-27 11:30:00 to 2024-10-11 11:30:00,2024-10-12 11:30:00 to 2024-10-14 11:30:00,80,0.024,2,1.710217934542234,0.8391115619600296,100.0,202.31396293640137,922
3,2024-09-30 11:30:00 to 2024-10-14 11:30:00,2024-10-15 11:30:00 to 2024-10-17 11:30:00,145,0.026,1,-3.3505171496734327,4.274234916917773,0.0,201.77814292907715,923
4,2024-10-03 11:30:00 to 2024-10-17 11:30:00,2024-10-18 11:30:00 to 2024-10-20 11:30:00,75,0.022,0,0.0,0.0,0.0,194.8493731021881,925
5,2024-10-06 11:30:00 to 2024-10-20 11:30:00,2024-10-21 11:30:00 to 2024-10-23 11:30:00,45,0.02,2,-2.84132565187394,4.523001956619188,50.0,195.3956480026245,927
6,2024-10-09 11:30:00 to 2024-10-23 11:30:00,2024-10-24 11:30:00 to 2024-10-26 11:30:00,75,0.02,2,2.4935706375906195,2.353053251325715,100.0,194.68571400642395,928
7,2024-10-12 11:30:00 to 2024-10-26 11:30:00,2024-10-27 11:30:00 to 2024-10-29 11:30:00,75,0.02,1,0.8657010309278484,0.4377718176718553,100.0,201.8478400707245,929
8,2024-10-15 11:30:00 to 2024-10-29 11:30:00,2024-10-30 11:30:00 to 2024-11-01 11:30:00,75,0.02,2,-2.6453461795115074,5.767145227130776,50.0,198.73264908790588,931
9,2024-10-18 11:30:00 to 2024-11-01 11:30:00,2024-11-02 11:30:00 to 2024-11-04 11:30:00,160,0.04,1,0.5542695338337398,4.633115682435835,100.0,200.29833483695984,933
10,2024-10-21 11:30:00 to 2024-11-04 11:30:00,2024-11-05 11:30:00 to 2024-11-07 11:30:00,220,0.044,0,0.0,0.0,0.0,203.03319907188416,934
11,2024-10-24 11:30:00 to 2024-11-07 11:30:00,2024-11-08 11:30:00 to 2024-11-10 11:30:00,190,0.052,0,0.0,0.0,0.0,199.91663002967832,935
12,2024-10-27 11:30:00 to 2024-11-10 11:30:00,2024-11-11 11:30:00 to 2024-11-13 11:30:00,25,0.02,4,-2.512885347016345,6.3219581263886875,50.0,201.27590489387512,937
13,2024-10-30 11:30:00 to 2024-11-13 11:30:00,2024-11-14 11:30:00 to 2024-11-16 11:30:00,180,0.026,3,4.308950144248739,6.1129807601710775,100.0,204.14391016960144,939
14,2024-11-02 11:30:00 to 2024-11-16 11:30:00,2024-11-17 11:30:00 to 2024-11-19 11:30:00,110,0.02,3,4.797456188839715,1.973816670159123,100.0,196.71608877182007,940
15,2024-11-05 11:30:00 to 2024-11-19 11:30:00,2024-11-20 11:30:00 to 2024-11-22 11:30:00,105,0.02,3,3.623702030064669,5.129985461406013,100.0,199.88381385803223,941
16,2024-11-08 11:30:00 to 2024-11-22 11:30:00,2024-11-23 11:30:00 to 2024-11-25 11:30:00,105,0.02,1,2.5999962192816746,0.0,100.0,206.06984782218933,943
17,2024-11-11 11:30:00 to 2024-11-25 11:30:00,2024-11-26 11:30:00 to 2024-11-28 11:30:00,105,0.02,2,-1.0462084268427496,7.12321432392089,50.0,204.56252431869507,945
18,2024-11-14 11:30:00 to 2024-11-28 11:30:00,2024-11-29 11:30:00 to 2024-12-01 11:30:00,65,0.02,1,0.7797697174188033,0.7007655272047948,100.0,200.49010705947876,946
19,2024-11-17 11:30:00 to 2024-12-01 11:30:00,2024-12-02 11:30:00 to 2024-12-04 11:30:00,30,0.022,3,4.3318893635001405,2.2096061125679145,100.0,201.3913059234619,947
20,2024-11-20 11:30:00 to 2024-12-04 11:30:00,2024-12-05 11:30:00 to 2024-12-07 11:30:00,65,0.02,4,7.614103194551718,0.858257668228154,75.0,202.3778121471405,949
21,2024-11-23 11:30:00 to 2024-12-07 11:30:00,2024-12-08 11:30:00 to 2024-12-10 11:30:00,45,0.02,3,-4.078552687007596,10.73219847732766,66.66666666666666,201.2768981456757,951
22,2024-11-26 11:30:00 to 2024-12-10 11:30:00,2024-12-11 11:30:00 to 2024-12-13 11:30:00,50,0.02,1,1.14,0.1079108321078327,100.0,200.68384289741516,952
23,2024-11-29 11:30:00 to 2024-12-13 11:30:00,2024-12-14 11:30:00 to 2024-12-16 11:30:00,50,0.02,4,-1.782543235560952,5.874468721767375,50.0,200.00855565071103,953
24,2024-12-02 11:30:00 to 2024-12-16 11:30:00,2024-12-17 11:30:00 to 2024-12-19 11:30:00,50,0.02,3,-7.737692983673042,14.518586531410016,33.33333333333333,202.4469587802887,955
25,2024-12-05 11:30:00 to 2024-12-19 11:30:00,2024-12-20 11:30:00 to 2024-12-22 11:30:00,65,0.068,1,2.791289026275117,2.187147773280987,100.0,205.68323302268985,957
26,2024-12-08 11:30:00 to 2024-12-22 11:30:00,2024-12-23 11:30:00 to 2024-12-25 11:30:00,65,0.046,0,0.0,0.0,0.0,207.24004364013672,958
27,2024-12-11 11:30:00 to 2024-12-25 11:30:00,2024-12-26 11:30:00 to 2024-12-28 11:30:00,55,0.046,0,0.0,0.0,0.0,204.04409408569336,959
