Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-03-12 08:30:00 to 2024-03-26 08:30:00,2024-03-27 08:30:00 to 2024-03-29 08:30:00,15,0.02,3,1.360491520716914,2.2147151871994786,66.66666666666666,214.59007501602173,823
2,2024-03-15 08:30:00 to 2024-03-29 08:30:00,2024-03-30 08:30:00 to 2024-04-01 08:30:00,185,0.034,1,0.5660496313986005,0.4821205272803064,0.0,212.3050239086151,824
3,2024-03-18 08:30:00 to 2024-04-01 08:30:00,2024-04-02 08:30:00 to 2024-04-04 08:30:00,105,0.022,2,-4.4984322155669725,7.122369917118687,0.0,210.7472379207611,825
4,2024-03-21 08:30:00 to 2024-04-04 08:30:00,2024-04-05 08:30:00 to 2024-04-07 08:30:00,280,0.028,1,3.0377274529018905,1.8606225517279316,100.0,198.9884898662567,827
5,2024-03-24 08:30:00 to 2024-04-07 08:30:00,2024-04-08 08:30:00 to 2024-04-10 08:30:00,85,0.028,1,1.4911608308834363,1.6894055912515844,100.0,207.20170378685,829
6,2024-03-27 08:30:00 to 2024-04-10 08:30:00,2024-04-11 08:30:00 to 2024-04-13 08:30:00,85,0.028,1,-17.707182726211776,21.62617343120939,0.0,208.25553393363953,830
7,2024-03-30 08:30:00 to 2024-04-13 08:30:00,2024-04-14 08:30:00 to 2024-04-16 08:30:00,25,0.072,0,0.0,0.0,0.0,206.96540999412537,831
8,2024-04-02 08:30:00 to 2024-04-16 08:30:00,2024-04-17 08:30:00 to 2024-04-19 08:30:00,100,0.072,0,0.0,0.0,0.0,206.5089671611786,833
9,2024-04-05 08:30:00 to 2024-04-19 08:30:00,2024-04-20 08:30:00 to 2024-04-22 08:30:00,100,0.072,0,0.0,0.0,0.0,206.13568687438965,835
10,2024-04-08 08:30:00 to 2024-04-22 08:30:00,2024-04-23 08:30:00 to 2024-04-25 08:30:00,100,0.072,0,0.0,0.0,0.0,210.09570908546448,836
11,2024-04-11 08:30:00 to 2024-04-25 08:30:00,2024-04-26 08:30:00 to 2024-04-28 08:30:00,260,0.028,1,0.6211030028246387,4.233066538336297,100.0,213.3830270767212,837
12,2024-04-14 08:30:00 to 2024-04-28 08:30:00,2024-04-29 08:30:00 to 2024-05-01 08:30:00,145,0.026,1,-12.027926854229062,13.241681756078163,0.0,205.0260829925537,839
