Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-27 13:00:00 to 2023-12-11 13:00:00,2023-12-12 13:00:00 to 2023-12-14 13:00:00,25,0.042,0,0.0,0.0,0.0,199.87241792678833,769
2,2023-11-30 13:00:00 to 2023-12-14 13:00:00,2023-12-15 13:00:00 to 2023-12-17 13:00:00,75,0.022,1,0.1942741398446014,0.4479033593979654,0.0,200.3017690181732,771
3,2023-12-03 13:00:00 to 2023-12-17 13:00:00,2023-12-18 13:00:00 to 2023-12-20 13:00:00,75,0.022,1,-1.4411932443412478,4.839945636123615,0.0,197.01109290122983,773
4,2023-12-06 13:00:00 to 2023-12-20 13:00:00,2023-12-21 13:00:00 to 2023-12-23 13:00:00,300,0.046,0,0.0,0.0,0.0,197.3315839767456,774
5,2023-12-09 13:00:00 to 2023-12-23 13:00:00,2023-12-24 13:00:00 to 2023-12-26 13:00:00,300,0.044,0,0.0,0.0,0.0,197.18830800056455,775
6,2023-12-12 13:00:00 to 2023-12-26 13:00:00,2023-12-27 13:00:00 to 2023-12-29 13:00:00,200,0.046,0,0.0,0.0,0.0,194.80791211128235,777
7,2023-12-15 13:00:00 to 2023-12-29 13:00:00,2023-12-30 13:00:00 to 2024-01-01 13:00:00,285,0.028,1,1.6087612188365894,0.5937083375137988,100.0,195.67779779434204,779
8,2023-12-18 13:00:00 to 2024-01-01 13:00:00,2024-01-02 13:00:00 to 2024-01-04 13:00:00,145,0.02,4,4.141038414139002,6.082896109888671,75.0,193.4016830921173,780
9,2023-12-21 13:00:00 to 2024-01-04 13:00:00,2024-01-05 13:00:00 to 2024-01-07 13:00:00,145,0.02,2,3.3244723039437485,3.6335128961446577,100.0,197.2111458778381,781
10,2023-12-24 13:00:00 to 2024-01-07 13:00:00,2024-01-08 13:00:00 to 2024-01-10 13:00:00,145,0.02,3,2.5856818186212696,6.626765289843996,66.66666666666666,196.2901587486267,783
11,2023-12-27 13:00:00 to 2024-01-10 13:00:00,2024-01-11 13:00:00 to 2024-01-13 13:00:00,215,0.056,1,5.68845348837207,0.1292776242151358,100.0,191.6877088546753,785
12,2023-12-30 13:00:00 to 2024-01-13 13:00:00,2024-01-14 13:00:00 to 2024-01-16 13:00:00,175,0.04,1,-0.0095088339222638,1.621128279977453,0.0,204.32059478759768,786
13,2024-01-02 13:00:00 to 2024-01-16 13:00:00,2024-01-17 13:00:00 to 2024-01-19 13:00:00,205,0.028,1,1.1982596567278598,1.93025680694491,0.0,204.2074737548828,787
14,2024-01-05 13:00:00 to 2024-01-19 13:00:00,2024-01-20 13:00:00 to 2024-01-22 13:00:00,270,0.02,2,0.0262528601069607,2.9003403653179345,50.0,203.15022206306455,789
15,2024-01-08 13:00:00 to 2024-01-22 13:00:00,2024-01-23 13:00:00 to 2024-01-25 13:00:00,105,0.038,1,0.7206611740473636,1.161145211122548,100.0,198.677325963974,791
16,2024-01-11 13:00:00 to 2024-01-25 13:00:00,2024-01-26 13:00:00 to 2024-01-28 13:00:00,100,0.032,0,0.0,0.0,0.0,198.82147789001465,792
17,2024-01-14 13:00:00 to 2024-01-28 13:00:00,2024-01-29 13:00:00 to 2024-01-31 13:00:00,45,0.024,1,-0.1803542144965468,0.4721619541734015,0.0,196.1837487220764,793
18,2024-01-17 13:00:00 to 2024-01-31 13:00:00,2024-02-01 13:00:00 to 2024-02-03 13:00:00,50,0.028,0,0.0,0.0,0.0,196.77525091171265,795
19,2024-01-20 13:00:00 to 2024-02-03 13:00:00,2024-02-04 13:00:00 to 2024-02-06 13:00:00,290,0.028,1,1.2117726657645471,0.1660701906295792,100.0,193.8418688774109,797
20,2024-01-23 13:00:00 to 2024-02-06 13:00:00,2024-02-07 13:00:00 to 2024-02-09 13:00:00,250,0.028,0,0.0,0.0,0.0,191.8277711868286,798
21,2024-01-26 13:00:00 to 2024-02-09 13:00:00,2024-02-10 13:00:00 to 2024-02-12 13:00:00,250,0.028,1,0.2552502396931959,0.1004436490752941,0.0,191.4308030605316,799
22,2024-01-29 13:00:00 to 2024-02-12 13:00:00,2024-02-13 13:00:00 to 2024-02-15 13:00:00,245,0.024,1,0.7215729265967639,0.3982887844799152,100.0,192.83655500411987,801
23,2024-02-01 13:00:00 to 2024-02-15 13:00:00,2024-02-16 13:00:00 to 2024-02-18 13:00:00,285,0.022,1,1.4137071823204317,0.137123477442624,100.0,190.36660194396973,803
24,2024-02-04 13:00:00 to 2024-02-18 13:00:00,2024-02-19 13:00:00 to 2024-02-21 13:00:00,275,0.022,2,2.180889813123758,0.8685208854152754,50.0,193.53487372398376,804
25,2024-02-07 13:00:00 to 2024-02-21 13:00:00,2024-02-22 13:00:00 to 2024-02-24 13:00:00,170,0.02,1,0.6417199409157911,1.4770136670946727,100.0,187.67333006858823,805
26,2024-02-10 13:00:00 to 2024-02-24 13:00:00,2024-02-25 13:00:00 to 2024-02-27 13:00:00,100,0.02,1,1.115335714285702,0.3596488356799764,100.0,193.17714476585388,807
27,2024-02-13 13:00:00 to 2024-02-27 13:00:00,2024-02-28 13:00:00 to 2024-03-01 13:00:00,100,0.02,2,2.113451825690663,1.10830597563309,100.0,192.7637162208557,809
28,2024-02-16 13:00:00 to 2024-03-01 13:00:00,2024-03-02 13:00:00 to 2024-03-04 13:00:00,100,0.02,1,3.971835760904178,1.0796913001967483,100.0,193.81408309936523,810
29,2024-02-19 13:00:00 to 2024-03-04 13:00:00,2024-03-05 13:00:00 to 2024-03-07 13:00:00,100,0.02,3,3.0307425152066756,7.464464764538356,100.0,192.4957242012024,811
30,2024-02-22 13:00:00 to 2024-03-07 13:00:00,2024-03-08 13:00:00 to 2024-03-10 13:00:00,70,0.03,1,1.2186160134647617,0.8403087280596264,100.0,194.79727578163147,813
31,2024-02-25 13:00:00 to 2024-03-10 13:00:00,2024-03-11 13:00:00 to 2024-03-13 13:00:00,60,0.03,2,3.1086244763155992,0.818476518092849,100.0,196.24443006515503,815
32,2024-02-28 13:00:00 to 2024-03-13 13:00:00,2024-03-14 13:00:00 to 2024-03-16 13:00:00,70,0.02,4,-0.7716922089613582,7.812740211288132,50.0,202.0767478942871,816
33,2024-03-02 13:00:00 to 2024-03-16 13:00:00,2024-03-17 13:00:00 to 2024-03-19 13:00:00,70,0.038,2,-2.938893792161507,9.00468112690296,50.0,200.73007822036743,817
34,2024-03-05 13:00:00 to 2024-03-19 13:00:00,2024-03-20 13:00:00 to 2024-03-22 13:00:00,130,0.06,1,2.9095138324873187,0.3278072969543064,100.0,197.9616141319275,819
35,2024-03-08 13:00:00 to 2024-03-22 13:00:00,2024-03-23 13:00:00 to 2024-03-25 13:00:00,130,0.06,0,0.0,0.0,0.0,204.65557503700256,821
36,2024-03-11 13:00:00 to 2024-03-25 13:00:00,2024-03-26 13:00:00 to 2024-03-28 13:00:00,130,0.06,0,0.0,0.0,0.0,201.8229978084564,822
37,2024-03-14 13:00:00 to 2024-03-28 13:00:00,2024-03-29 13:00:00 to 2024-03-31 13:00:00,265,0.068,0,0.0,0.0,0.0,204.08199071884155,823
38,2024-03-17 13:00:00 to 2024-03-31 13:00:00,2024-04-01 13:00:00 to 2024-04-03 13:00:00,175,0.02,1,-5.621275025119084,10.547697111745627,0.0,201.76292300224304,825
39,2024-03-20 13:00:00 to 2024-04-03 13:00:00,2024-04-04 13:00:00 to 2024-04-06 13:00:00,155,0.02,1,0.3943379622378415,3.435111892751745,100.0,197.90850281715393,827
40,2024-03-23 13:00:00 to 2024-04-06 13:00:00,2024-04-07 13:00:00 to 2024-04-09 13:00:00,60,0.02,2,-0.3485937599964746,2.2111036171291047,50.0,197.6032772064209,828
41,2024-03-26 13:00:00 to 2024-04-09 13:00:00,2024-04-10 13:00:00 to 2024-04-12 13:00:00,25,0.02,3,-0.7214869280880157,8.539561020013936,66.66666666666666,199.0448191165924,829
42,2024-03-29 13:00:00 to 2024-04-12 13:00:00,2024-04-13 13:00:00 to 2024-04-15 13:00:00,300,0.02,1,1.4506322778978211,30.28071264281699,100.0,199.51537775993347,831
43,2024-04-01 13:00:00 to 2024-04-15 13:00:00,2024-04-16 13:00:00 to 2024-04-18 13:00:00,300,0.022,1,5.332202180661243,11.803983046853736,100.0,201.83908891677856,833
44,2024-04-04 13:00:00 to 2024-04-18 13:00:00,2024-04-19 13:00:00 to 2024-04-21 13:00:00,290,0.08,0,0.0,0.0,0.0,201.38492584228516,834
45,2024-04-07 13:00:00 to 2024-04-21 13:00:00,2024-04-22 13:00:00 to 2024-04-24 13:00:00,290,0.08,1,0.7051383258061105,2.560818004940678,0.0,205.8069818019867,835
46,2024-04-10 13:00:00 to 2024-04-24 13:00:00,2024-04-25 13:00:00 to 2024-04-27 13:00:00,300,0.08,1,-6.386875703835686,9.217751703353311,0.0,208.58206391334537,837
47,2024-04-13 13:00:00 to 2024-04-27 13:00:00,2024-04-28 13:00:00 to 2024-04-30 13:00:00,125,0.022,5,8.710676013092707,2.333945467501481,80.0,205.93360376358032,839
48,2024-04-16 13:00:00 to 2024-04-30 13:00:00,2024-05-01 13:00:00 to 2024-05-03 13:00:00,170,0.066,1,-3.6177733106352568,7.751736044006561,0.0,204.1519491672516,840
49,2024-04-19 13:00:00 to 2024-05-03 13:00:00,2024-05-04 13:00:00 to 2024-05-06 13:00:00,15,0.02,1,-0.0054899562104765,0.0054899562104765,0.0,201.8597502708435,841
50,2024-04-22 13:00:00 to 2024-05-06 13:00:00,2024-05-07 13:00:00 to 2024-05-09 13:00:00,70,0.024,2,1.2543951381774603,2.2881033284168533,50.0,206.3030490875244,843
51,2024-04-25 13:00:00 to 2024-05-09 13:00:00,2024-05-10 13:00:00 to 2024-05-12 13:00:00,70,0.02,1,-2.567318635928568,3.717589848905518,0.0,203.70431208610535,845
