Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-11 12:30:00 to 2024-11-25 12:30:00,2024-11-26 12:30:00 to 2024-11-28 12:30:00,30,0.034,3,4.800413863760168,1.460511631464925,100.0,222.95224499702456,945
2,2024-11-14 12:30:00 to 2024-11-28 12:30:00,2024-11-29 12:30:00 to 2024-12-01 12:30:00,25,0.03,3,4.530964547448475,0.8003078351055406,100.0,222.77248573303223,946
3,2024-11-17 12:30:00 to 2024-12-01 12:30:00,2024-12-02 12:30:00 to 2024-12-04 12:30:00,35,0.034,3,2.447045971787575,5.678698273939651,66.66666666666666,213.05886387825012,947
4,2024-11-20 12:30:00 to 2024-12-04 12:30:00,2024-12-05 12:30:00 to 2024-12-07 12:30:00,180,0.034,2,4.669509298953253,0.3201423875658928,100.0,214.7573640346527,949
5,2024-11-23 12:30:00 to 2024-12-07 12:30:00,2024-12-08 12:30:00 to 2024-12-10 12:30:00,165,0.026,1,-20.682483676660933,22.1656239724723,0.0,209.25643372535703,951
6,2024-11-26 12:30:00 to 2024-12-10 12:30:00,2024-12-11 12:30:00 to 2024-12-13 12:30:00,20,0.028,4,4.536156448853453,0.93446688838015,100.0,207.5943319797516,952
7,2024-11-29 12:30:00 to 2024-12-13 12:30:00,2024-12-14 12:30:00 to 2024-12-16 12:30:00,20,0.028,0,0.0,0.0,0.0,208.64272904396057,953
8,2024-12-02 12:30:00 to 2024-12-16 12:30:00,2024-12-17 12:30:00 to 2024-12-19 12:30:00,20,0.028,2,-9.41859464983425,13.256077259723414,50.0,207.1816198825836,955
9,2024-12-05 12:30:00 to 2024-12-19 12:30:00,2024-12-20 12:30:00 to 2024-12-22 12:30:00,10,0.034,2,-0.0247861621473748,2.871907230489557,50.0,205.956650018692,957
10,2024-12-08 12:30:00 to 2024-12-22 12:30:00,2024-12-23 12:30:00 to 2024-12-25 12:30:00,10,0.034,0,0.0,0.0,0.0,209.2229809761047,958
11,2024-12-11 12:30:00 to 2024-12-25 12:30:00,2024-12-26 12:30:00 to 2024-12-28 12:30:00,10,0.032,0,0.0,0.0,0.0,207.37119889259336,959
12,2024-12-14 12:30:00 to 2024-12-28 12:30:00,2024-12-29 12:30:00 to 2024-12-31 12:30:00,10,0.032,1,0.6343525975380726,0.6884603131257627,100.0,205.558917760849,961
13,2024-12-17 12:30:00 to 2024-12-31 12:30:00,2025-01-01 12:30:00 to 2025-01-03 12:30:00,285,0.078,0,0.0,0.0,0.0,207.99544405937195,963
14,2024-12-20 12:30:00 to 2025-01-03 12:30:00,2025-01-04 12:30:00 to 2025-01-06 12:30:00,130,0.028,2,1.295580089741634,1.0399939747543214,50.0,204.97320294380188,964
15,2024-12-23 12:30:00 to 2025-01-06 12:30:00,2025-01-07 12:30:00 to 2025-01-09 12:30:00,145,0.024,2,-14.463833013628918,20.508127013118383,50.0,201.15905284881592,965
16,2024-12-26 12:30:00 to 2025-01-09 12:30:00,2025-01-10 12:30:00 to 2025-01-12 12:30:00,115,0.024,2,4.3361963818119875,1.427140683898851,100.0,202.82270097732544,967
17,2024-12-29 12:30:00 to 2025-01-12 12:30:00,2025-01-13 12:30:00 to 2025-01-15 12:30:00,120,0.024,2,-5.30535728036697,15.237153475652942,0.0,201.61211895942688,969
