Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-09 12:30:00 to 2024-09-23 12:30:00,2024-09-24 12:30:00 to 2024-09-26 12:30:00,300,0.044,0,0.0,0.0,0.0,206.37245678901672,913
2,2024-09-12 12:30:00 to 2024-09-26 12:30:00,2024-09-27 12:30:00 to 2024-09-29 12:30:00,300,0.03,1,0.7420141480236998,0.3277059055213472,0.0,204.40758609771729,915
3,2024-09-15 12:30:00 to 2024-09-29 12:30:00,2024-09-30 12:30:00 to 2024-10-02 12:30:00,175,0.02,4,-2.5541131134928583,7.699311476549106,75.0,200.39338207244873,916
4,2024-09-18 12:30:00 to 2024-10-02 12:30:00,2024-10-03 12:30:00 to 2024-10-05 12:30:00,65,0.02,2,1.3316678523041992,2.5630820390215465,100.0,202.688768863678,917
5,2024-09-21 12:30:00 to 2024-10-05 12:30:00,2024-10-06 12:30:00 to 2024-10-08 12:30:00,65,0.02,1,1.078864880382771,0.5887110252682143,100.0,205.03193402290344,919
6,2024-09-24 12:30:00 to 2024-10-08 12:30:00,2024-10-09 12:30:00 to 2024-10-11 12:30:00,65,0.02,1,-1.1088825572867609,4.5721460128568445,0.0,205.68539714813232,921
7,2024-09-27 12:30:00 to 2024-10-11 12:30:00,2024-10-12 12:30:00 to 2024-10-14 12:30:00,30,0.02,0,0.0,0.0,0.0,208.7527711391449,922
8,2024-09-30 12:30:00 to 2024-10-14 12:30:00,2024-10-15 12:30:00 to 2024-10-17 12:30:00,300,0.06,0,0.0,0.0,0.0,205.72245907783508,923
9,2024-10-03 12:30:00 to 2024-10-17 12:30:00,2024-10-18 12:30:00 to 2024-10-20 12:30:00,95,0.02,2,1.9239984611065484,0.8690925262718103,100.0,202.58851981163025,925
10,2024-10-06 12:30:00 to 2024-10-20 12:30:00,2024-10-21 12:30:00 to 2024-10-23 12:30:00,45,0.02,4,1.262755991371232,1.1437859682450195,50.0,204.09921884536743,927
11,2024-10-09 12:30:00 to 2024-10-23 12:30:00,2024-10-24 12:30:00 to 2024-10-26 12:30:00,70,0.02,1,-0.3250747903251067,3.7248203931138546,0.0,202.38408303260803,928
12,2024-10-12 12:30:00 to 2024-10-26 12:30:00,2024-10-27 12:30:00 to 2024-10-29 12:30:00,70,0.02,1,0.7280667588386314,0.3280843935524961,100.0,205.06666684150696,929
13,2024-10-15 12:30:00 to 2024-10-29 12:30:00,2024-10-30 12:30:00 to 2024-11-01 12:30:00,60,0.02,1,-3.882121804599665,5.25020021613899,0.0,203.4727852344513,931
14,2024-10-18 12:30:00 to 2024-11-01 12:30:00,2024-11-02 12:30:00 to 2024-11-04 12:30:00,185,0.058,0,0.0,0.0,0.0,207.36484503746033,933
15,2024-10-21 12:30:00 to 2024-11-04 12:30:00,2024-11-05 12:30:00 to 2024-11-07 12:30:00,190,0.056,0,0.0,0.0,0.0,206.44229102134705,934
16,2024-10-24 12:30:00 to 2024-11-07 12:30:00,2024-11-08 12:30:00 to 2024-11-10 12:30:00,50,0.028,1,0.7109455045871619,0.6077564051589018,100.0,201.99590516090393,935
17,2024-10-27 12:30:00 to 2024-11-10 12:30:00,2024-11-11 12:30:00 to 2024-11-13 12:30:00,25,0.02,3,-6.144090488042948,7.911537160716091,33.33333333333333,203.02988696098328,937
18,2024-10-30 12:30:00 to 2024-11-13 12:30:00,2024-11-14 12:30:00 to 2024-11-16 12:30:00,60,0.028,1,-1.3493368687816292,5.607879783532271,0.0,207.6474859714508,939
19,2024-11-02 12:30:00 to 2024-11-16 12:30:00,2024-11-17 12:30:00 to 2024-11-19 12:30:00,55,0.024,4,4.461355098781642,1.0337722742522628,75.0,207.22573685646057,940
20,2024-11-05 12:30:00 to 2024-11-19 12:30:00,2024-11-20 12:30:00 to 2024-11-22 12:30:00,55,0.024,1,2.151451248023805,3.1343364030898053,100.0,205.5320200920105,941
21,2024-11-08 12:30:00 to 2024-11-22 12:30:00,2024-11-23 12:30:00 to 2024-11-25 12:30:00,55,0.024,1,0.6751080542958152,4.3596413964698995,100.0,210.60832810401917,943
22,2024-11-11 12:30:00 to 2024-11-25 12:30:00,2024-11-26 12:30:00 to 2024-11-28 12:30:00,75,0.028,3,5.928799195734391,4.1747522004983075,66.66666666666666,210.0910770893097,945
23,2024-11-14 12:30:00 to 2024-11-28 12:30:00,2024-11-29 12:30:00 to 2024-12-01 12:30:00,105,0.02,1,1.1464903866321765,0.0120437701867751,100.0,208.11200785636905,946
24,2024-11-17 12:30:00 to 2024-12-01 12:30:00,2024-12-02 12:30:00 to 2024-12-04 12:30:00,105,0.02,2,2.8286213606468844,4.66464934965208,100.0,207.5014450550079,947
25,2024-11-20 12:30:00 to 2024-12-04 12:30:00,2024-12-05 12:30:00 to 2024-12-07 12:30:00,105,0.02,4,10.40880098645992,3.425070143509729,100.0,206.60946702957153,949
26,2024-11-23 12:30:00 to 2024-12-07 12:30:00,2024-12-08 12:30:00 to 2024-12-10 12:30:00,105,0.02,2,-14.252752743771945,18.062160791326008,50.0,211.11180806159973,951
27,2024-11-26 12:30:00 to 2024-12-10 12:30:00,2024-12-11 12:30:00 to 2024-12-13 12:30:00,60,0.046,0,0.0,0.0,0.0,211.35016989707947,952
