Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-04 07:00:00 to 2020-09-18 07:00:00,2020-09-19 07:00:00 to 2020-09-21 07:00:00,185,0.064,1,0.4827014045114629,2.664584088542281,0.0,325.22502613067627,180
2,2020-09-07 07:00:00 to 2020-09-21 07:00:00,2020-09-22 07:00:00 to 2020-09-24 07:00:00,20,0.064,0,0.0,0.0,0.0,239.36422610282895,181
3,2020-09-10 07:00:00 to 2020-09-24 07:00:00,2020-09-25 07:00:00 to 2020-09-27 07:00:00,50,0.058,0,0.0,0.0,0.0,234.27056789398193,183
4,2020-09-13 07:00:00 to 2020-09-27 07:00:00,2020-09-28 07:00:00 to 2020-09-30 07:00:00,45,0.074,0,0.0,0.0,0.0,229.792916059494,185
5,2020-09-16 07:00:00 to 2020-09-30 07:00:00,2020-10-01 07:00:00 to 2020-10-03 07:00:00,55,0.034,2,-3.067097051759756,7.155186377551422,50.0,228.02474689483645,186
6,2020-09-19 07:00:00 to 2020-10-03 07:00:00,2020-10-04 07:00:00 to 2020-10-06 07:00:00,60,0.056,1,-3.739804209294416,7.566607708055999,0.0,228.14872908592224,187
7,2020-09-22 07:00:00 to 2020-10-06 07:00:00,2020-10-07 07:00:00 to 2020-10-09 07:00:00,10,0.036,1,-0.0903801938360993,3.820594814274064,0.0,223.39681220054624,189
8,2020-09-25 07:00:00 to 2020-10-09 07:00:00,2020-10-10 07:00:00 to 2020-10-12 07:00:00,10,0.034,0,0.0,0.0,0.0,223.15016198158264,191
9,2020-09-28 07:00:00 to 2020-10-12 07:00:00,2020-10-13 07:00:00 to 2020-10-15 07:00:00,10,0.026,0,0.0,0.0,0.0,223.3502840995789,192
10,2020-10-01 07:00:00 to 2020-10-15 07:00:00,2020-10-16 07:00:00 to 2020-10-18 07:00:00,10,0.026,0,0.0,0.0,0.0,226.42894983291623,193
11,2020-10-04 07:00:00 to 2020-10-18 07:00:00,2020-10-19 07:00:00 to 2020-10-21 07:00:00,300,0.026,1,0.5673255263043575,5.355029560254199,0.0,221.62606382369995,195
12,2020-10-07 07:00:00 to 2020-10-21 07:00:00,2020-10-22 07:00:00 to 2020-10-24 07:00:00,35,0.026,2,1.4161250406417274,1.6249013960323282,100.0,221.07445693016052,197
13,2020-10-10 07:00:00 to 2020-10-24 07:00:00,2020-10-25 07:00:00 to 2020-10-27 07:00:00,35,0.02,2,2.106924885539884,1.7002932335730725,50.0,217.6488990783691,198
14,2020-10-13 07:00:00 to 2020-10-27 07:00:00,2020-10-28 07:00:00 to 2020-10-30 07:00:00,35,0.02,4,-5.1606834314442676,5.959069298062769,50.0,215.4088761806488,199
15,2020-10-16 07:00:00 to 2020-10-30 07:00:00,2020-10-31 07:00:00 to 2020-11-02 07:00:00,185,0.054,1,1.9500728008089028,0.999008903644481,100.0,216.8555030822754,201
16,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,145,0.03,2,-7.484968717369375,14.64449879916727,0.0,218.67015409469604,203
17,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,55,0.04,1,-3.1169885553664245,5.573114194526406,0.0,221.6158411502838,204
18,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,105,0.044,2,3.555810988796293,1.9998403923737191,100.0,220.58628487586975,205
19,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,45,0.04,1,3.108716969510333,0.8779384414367999,100.0,218.57177805900577,207
20,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,150,0.024,0,0.0,0.0,0.0,220.14010381698608,209
21,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,70,0.026,1,-3.129395379057969,10.21916284449567,0.0,220.10391902923584,210
22,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,70,0.026,3,3.235371924191495,8.816661763044346,66.66666666666666,226.99650311470032,211
23,2020-11-09 07:00:00 to 2020-11-23 07:00:00,2020-11-24 07:00:00 to 2020-11-26 07:00:00,55,0.04,3,-16.74148071699719,23.26856422593353,33.33333333333333,224.12655425071716,213
24,2020-11-12 07:00:00 to 2020-11-26 07:00:00,2020-11-27 07:00:00 to 2020-11-29 07:00:00,140,0.056,0,0.0,0.0,0.0,231.22904801368713,215
25,2020-11-15 07:00:00 to 2020-11-29 07:00:00,2020-11-30 07:00:00 to 2020-12-02 07:00:00,140,0.056,0,0.0,0.0,0.0,237.16145515441897,216
26,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,120,0.038,3,5.1618488907951,5.634044963777262,100.0,231.3445720672607,217
27,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,100,0.048,1,1.7810996570122009,1.006423058013063,100.0,234.5109748840332,219
28,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,185,0.032,2,2.269868458761557,7.516103276082748,50.0,225.17774200439453,221
29,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,50,0.026,1,0.1799396394042196,0.3139197805069125,0.0,223.60214114189148,222
30,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,50,0.026,2,1.97049186572227,0.9788892731844004,50.0,226.11750602722168,223
31,2020-12-03 07:00:00 to 2020-12-17 07:00:00,2020-12-18 07:00:00 to 2020-12-20 07:00:00,45,0.02,3,3.308756265043812,3.849230650929609,66.66666666666666,216.9791648387909,225
