datetime,equity,volume,symbol,normalized_period
2019-12-17 07:45:00,10000.0,,ETHUSDT,42
2019-12-18 13:45:00,10095.958832042224,874749.9789999998,ETHUSDT,42
2019-12-19 02:45:00,10152.563461234478,1060473.594,ETHUSDT,42
2019-12-24 17:45:00,10152.563461234478,,BTCUSDT,46
2020-01-05 17:45:00,10152.563461234478,,BTCUSDT,52
2020-01-10 07:45:00,10152.563461234478,,ETHUSDT,54
2020-01-25 07:45:00,10152.563461234478,,ETHUSDT,61
2020-01-26 08:45:00,10152.563461234478,,BCHUSDT,62
2020-01-28 00:30:00,10286.15135778288,540503.1299999999,BCHUSDT,62
2020-01-29 08:45:00,10286.15135778288,,BCHUSDT,63
2020-01-31 20:45:00,10337.452618477606,407498.095,BCHUSDT,63
2020-02-01 17:45:00,10337.452618477604,,BTCUSDT,65
2020-02-06 07:45:00,10337.452618477604,,ETHUSDT,67
2020-02-08 04:45:00,10448.474957266659,1060844.9,ETHUSDT,67
2020-02-10 08:15:00,10448.474957266659,,XRPUSDT,69
2020-02-11 11:45:00,10517.986403914432,165188850.60000002,XRPUSDT,69
2020-02-13 17:45:00,10517.986403914432,,BTCUSDT,71
2020-02-15 08:00:00,10517.986403914432,,LINKUSDT,72
2020-02-16 00:30:00,10662.502049762277,25586939.58000001,LINKUSDT,72
2020-02-16 23:30:00,10889.446874569869,36887039.92999998,LINKUSDT,72
2020-02-17 15:45:00,10618.875524637824,35945835.820000015,LINKUSDT,72
2020-02-18 08:00:00,10618.875524637822,,XLMUSDT,73
2020-02-20 21:30:00,10407.17908043321,76796819.0,XLMUSDT,73
2020-02-22 08:15:00,10407.17908043321,,XRPUSDT,75
2020-02-26 08:00:00,10407.17908043321,,ETCUSDT,77
2020-03-01 07:45:00,10407.17908043321,,ETHUSDT,79
2020-03-03 22:15:00,10486.687001264001,1644588.953,ETHUSDT,79
2020-03-05 08:00:00,10486.687001264001,,TRXUSDT,81
2020-03-06 08:00:00,10486.687001264001,,XTZUSDT,82
2020-03-08 07:30:00,10037.794359393589,15391122.900000002,XTZUSDT,82
2020-03-08 17:30:00,10195.558863827406,21219683.80000001,XTZUSDT,82
2020-03-09 08:00:00,10195.558863827406,,XTZUSDT,83
2020-03-10 07:45:00,10471.133420666272,,ETHUSDT,84
2020-03-10 17:30:00,10352.580505329228,33440692.40000001,XTZUSDT,83
2020-03-11 13:30:00,10368.647126504995,30007611.000000004,XTZUSDT,83
2020-03-11 19:45:00,10471.133420666272,24138548.90000001,XTZUSDT,83
2020-03-11 21:00:00,10739.479344732918,1809981.887,ETHUSDT,84
2020-03-13 03:30:00,8665.29962005284,2798770.242999999,ETHUSDT,84
2020-03-13 06:45:00,8899.867808288263,8818260.766000003,ETHUSDT,84
2020-03-13 08:00:00,8899.867808288263,,XLMUSDT,85
2020-03-14 08:00:00,8899.867808288263,,LTCUSDT,86
2020-03-17 08:00:00,8899.867808288263,,ONTUSDT,87
2020-03-18 08:00:00,8899.867808288263,,XMRUSDT,88
2020-03-21 00:00:00,9185.202351533946,313644.973,XMRUSDT,88
2020-03-21 08:00:00,9185.202351533946,,XMRUSDT,89
2020-03-25 07:45:00,9185.202351533946,,ETHUSDT,91
2020-03-29 08:45:00,9185.202351533946,,NEOUSDT,93
2020-03-30 08:00:00,9185.202351533946,,IOTAUSDT,94
2020-04-02 08:00:00,9185.202351533946,,XMRUSDT,95
2020-04-06 07:45:00,9185.202351533946,,ETHUSDT,97
2020-04-07 21:45:00,9296.320972932086,3105517.485000001,ETHUSDT,97
