Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-27 04:45:00,10000.0,9982.162547747323,-0.17837452252676966,-6.152274343599185,30.648405513597965,2,100.0
top5,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,9982.162547747323,10378.860013166506,3.9740633707543216,-2.0119817920781102,18.356033498005996,2,50.0
top5,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,10378.860013166506,11646.587359069073,12.214514352196115,-1.9328748568926413,19.0477716256511,5,80.0
top5,2020,5,May,2020-05,2020-05-01 05:00:00,2020-05-28 08:00:00,11857.986476510354,11959.215228257694,0.8536757226689895,0.0,4.517227324950982,2,0.0
top5,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,11959.215228257694,12426.218810603075,3.904968456809166,0.0,10.046557076691279,4,0.0
top5,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,12426.218810603075,13083.149891086972,5.286653088092641,-0.4783970258305681,9.227315510122667,3,66.66666666666666
top5,2020,8,August,2020-08,2020-08-03 00:45:00,2020-08-31 22:30:00,12934.56614918459,15891.509145940952,22.860782206775234,-2.632277916567105,27.980091142905277,8,62.5
top5,2020,9,September,2020-09,2020-09-01 02:00:00,2020-09-30 08:00:00,16133.825277036987,16890.228269573647,4.68830534326683,-0.587905155990831,8.123837286844628,4,50.0
top5,2020,10,October,2020-10,2020-10-01 19:15:00,2020-10-31 07:00:00,17029.278286178895,16044.278627297128,-5.784153869170138,-9.586923606810661,55.83721096319485,5,40.0
top5,2020,11,November,2020-11,2020-11-04 07:00:00,2020-11-30 20:45:00,16044.278627297128,18795.174002102107,17.14564698549119,-11.89978768057134,40.435006232794976,9,77.77777777777779
top5,2020,12,December,2020-12,2020-12-01 13:45:00,2020-12-30 07:00:00,18846.423364622802,21554.04887902852,14.366787066283804,-2.733806196569888,20.409916112035305,8,75.0
top5,2021,1,January,2021-01,2021-01-03 07:00:00,2021-01-31 09:00:00,21554.04887902852,28166.776075439593,30.67974482903335,-4.900535114258753,36.34802282160498,7,57.14285714285714
top5,2021,2,February,2021-02,2021-02-01 15:45:00,2021-02-28 07:00:00,28793.864975855355,45942.766979248685,59.55748565804999,-14.388313980288391,81.79401416960425,8,100.0
top5,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-31 13:00:00,45989.202622889985,50212.31416443199,9.182832710041499,-12.474862137893039,56.76630022317634,8,62.5
top5,2021,4,April,2021-04,2021-04-01 09:00:00,2021-04-30 07:00:00,50212.31416443199,62617.16611345558,24.704800317310593,-11.45529375129809,61.12889279219373,9,77.77777777777779
top5,2021,5,May,2021-05,2021-05-02 10:30:00,2021-05-31 07:00:00,63385.25134248546,72382.24856418287,14.19414931887626,-5.280678893061285,30.62942839854097,8,50.0
top5,2021,6,June,2021-06,2021-06-04 09:00:00,2021-06-30 18:45:00,72382.24856418287,71864.63472349703,-0.715111579086769,-7.768473587458146,31.274408176592715,5,60.0
top5,2021,7,July,2021-07,2021-07-01 06:00:00,2021-07-30 07:00:00,72132.6902123355,83805.40631285615,16.182283048309888,-10.381365918803597,49.275187176312635,6,50.0
