Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top4,2020-01-22 07:45:00,2025-03-06 06:45:00,24351.786225632848,192.9115248157475,-25.400581506561714,958.7097925038476,2.7229327074222733,2.0417594458007104,7.594768047570596,40.90991756586,52.595155709342556,13.4540510567366,2.671985458174316,-0.2203454259261778,12.126348649821802,289,631
top1,2019-10-01 17:45:00,2025-03-05 12:15:00,20931.325150192937,168.0909789889177,-24.00414789710804,871.9878430975127,2.459104068937045,1.752975400772204,7.002580541889132,40.1320314843281,56.2111801242236,4.934941666335594,2.6221590528633065,-0.6820818135377139,3.8443468229465134,322,663
top7,2020-01-29 17:45:00,2025-03-05 07:45:00,15724.298346573021,170.17888335068926,-31.0283937403809,506.77126499491146,3.0675061386267997,2.2907932639201243,5.484617888202684,33.71920860884291,49.13494809688581,5.3354648284730795,2.622575381122741,-0.47481751230883334,5.523333308348895,289,622
top3,2020-01-17 17:45:00,2025-03-04 14:00:00,15250.611336338014,167.01751219148534,-35.60910204419091,428.27845862027067,2.7681968994003734,1.9272639873782436,4.690303956112584,36.3862693283956,51.26353790613718,4.293238351211394,2.656692079245551,-0.6508947919386042,4.081599840940414,277,641
top6,2020-02-07 08:15:00,2025-03-05 16:00:00,12986.41538474462,161.36801197490982,-27.614949757976614,470.2675724040916,3.266027570211754,2.3222860650085755,5.843501921574145,30.739955884180926,49.48453608247423,6.234887931783109,2.2370046429095685,-0.3514660585575465,6.364781430361925,291,629
top2,2019-12-17 07:45:00,2025-03-06 06:00:00,10417.06668543424,144.15322987209902,-28.31484875402618,367.901194738079,2.3155263250662728,1.8374265587188618,5.091082460809592,38.70075969693579,48.16053511705686,6.055922173691607,2.6622077819289562,-0.40840632295885493,6.518527339737494,299,645
top10,2020-02-11 08:00:00,2025-03-04 04:45:00,8555.789046977869,141.60639419848894,-27.993919566245296,305.6302646984214,2.854239537937331,1.9952287694507171,5.058469710302236,34.7325009862601,50.988142292490124,4.12840707730462,2.4689295102283833,-0.6221487056428342,3.968391299114519,253,584
top5,2020-02-03 08:00:00,2025-03-04 21:30:00,8049.348255268367,137.73759309986215,-27.564966027901562,292.01371941183345,2.450775998689364,1.673154970823835,4.996835220491207,37.057427409838475,54.88721804511278,5.994166932637982,2.4393305094767284,-0.49512336797020506,4.926712547373687,266,620
top9,2020-02-27 08:00:00,2025-03-04 20:30:00,4072.2956795369987,110.40587338428422,-22.35252137325886,182.18507037907747,2.7608874676161657,1.8885333304496839,4.9393028885039705,31.712147329166424,45.92274678111588,7.529943703940497,2.2121822912628404,-0.24948383695872303,8.867036511182265,233,584
top8,2020-02-10 17:45:00,2025-03-04 14:15:00,1836.5681494694804,79.62923299850466,-24.931450396376654,73.66471345511424,1.9846321720003786,1.2969544702397526,3.1939270171813736,35.787546843079454,42.971887550200805,6.564671102450845,2.2148902242911164,-0.2542346069456106,8.71199342568243,249,601
