Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-05-10 17:30:00 to 2021-05-24 17:30:00,2021-05-25 17:30:00 to 2021-05-27 17:30:00,10,0.05,2,1.9672839630349517,1.323494442404337,100.0,218.9086229801178,304
2,2021-05-13 17:30:00 to 2021-05-27 17:30:00,2021-05-28 17:30:00 to 2021-05-30 17:30:00,10,0.048,0,0.0,0.0,0.0,277.31238198280334,305
3,2021-05-16 17:30:00 to 2021-05-30 17:30:00,2021-05-31 17:30:00 to 2021-06-02 17:30:00,10,0.046,0,0.0,0.0,0.0,231.57043290138245,307
4,2021-05-19 17:30:00 to 2021-06-02 17:30:00,2021-06-03 17:30:00 to 2021-06-05 17:30:00,30,0.034,1,-1.1680438461896847,7.1397176061858225,0.0,222.2142767906189,309
5,2021-05-22 17:30:00 to 2021-06-05 17:30:00,2021-06-06 17:30:00 to 2021-06-08 17:30:00,25,0.034,3,6.3054671750071245,3.156757040701765,100.0,217.20438194274905,310
6,2021-05-25 17:30:00 to 2021-06-08 17:30:00,2021-06-09 17:30:00 to 2021-06-11 17:30:00,15,0.022,6,4.519640051880088,3.622050475072584,100.0,210.9590039253235,311
7,2021-05-28 17:30:00 to 2021-06-11 17:30:00,2021-06-12 17:30:00 to 2021-06-14 17:30:00,25,0.03,1,0.0042301910790592,4.589823507604841,100.0,208.7280309200287,313
8,2021-05-31 17:30:00 to 2021-06-14 17:30:00,2021-06-15 17:30:00 to 2021-06-17 17:30:00,25,0.036,3,3.2614267035059132,1.1728949315205013,100.0,216.13789796829224,315
9,2021-06-03 17:30:00 to 2021-06-17 17:30:00,2021-06-18 17:30:00 to 2021-06-20 17:30:00,35,0.028,5,6.990238361083775,2.0646214923892265,80.0,212.7700319290161,316
10,2021-06-06 17:30:00 to 2021-06-20 17:30:00,2021-06-21 17:30:00 to 2021-06-23 17:30:00,35,0.028,6,0.6030590241821301,10.201448276120589,50.0,214.5042440891266,317
11,2021-06-09 17:30:00 to 2021-06-23 17:30:00,2021-06-24 17:30:00 to 2021-06-26 17:30:00,55,0.052,2,7.672140747781141,1.4823374962384843,100.0,214.3962249755859,319
12,2021-06-12 17:30:00 to 2021-06-26 17:30:00,2021-06-27 17:30:00 to 2021-06-29 17:30:00,35,0.028,1,1.808895549295776,0.5250422535211328,100.0,213.54582500457764,321
