Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-06 15:00:00 to 2024-12-20 15:00:00,2024-12-21 15:00:00 to 2024-12-23 15:00:00,70,0.06,1,0.0783125794155057,2.1336289707750984,100.0,212.53480505943295,957
2,2024-12-09 15:00:00 to 2024-12-23 15:00:00,2024-12-24 15:00:00 to 2024-12-26 15:00:00,45,0.064,0,0.0,0.0,0.0,214.0882339477539,959
3,2024-12-12 15:00:00 to 2024-12-26 15:00:00,2024-12-27 15:00:00 to 2024-12-29 15:00:00,80,0.076,0,0.0,0.0,0.0,215.7141849994659,960
4,2024-12-15 15:00:00 to 2024-12-29 15:00:00,2024-12-30 15:00:00 to 2025-01-01 15:00:00,80,0.076,0,0.0,0.0,0.0,214.24632692337036,961
5,2024-12-18 15:00:00 to 2025-01-01 15:00:00,2025-01-02 15:00:00 to 2025-01-04 15:00:00,180,0.024,0,0.0,0.0,0.0,209.74967408180237,963
6,2024-12-21 15:00:00 to 2025-01-04 15:00:00,2025-01-05 15:00:00 to 2025-01-07 15:00:00,150,0.034,2,-2.9201744821955073,4.520951607588399,50.0,204.76538395881653,965
7,2024-12-24 15:00:00 to 2025-01-07 15:00:00,2025-01-08 15:00:00 to 2025-01-10 15:00:00,155,0.038,1,-9.993845395754123,13.97780838067574,0.0,206.0264139175415,966
8,2024-12-27 15:00:00 to 2025-01-10 15:00:00,2025-01-11 15:00:00 to 2025-01-13 15:00:00,25,0.042,1,-0.2095863133522107,1.8703282737329576,0.0,204.84708881378177,967
9,2024-12-30 15:00:00 to 2025-01-13 15:00:00,2025-01-14 15:00:00 to 2025-01-16 15:00:00,10,0.026,0,0.0,0.0,0.0,205.38107800483704,969
10,2025-01-02 15:00:00 to 2025-01-16 15:00:00,2025-01-17 15:00:00 to 2025-01-19 15:00:00,10,0.026,2,-3.899276610823436,5.609782021901809,50.0,201.1577999591827,971
11,2025-01-05 15:00:00 to 2025-01-19 15:00:00,2025-01-20 15:00:00 to 2025-01-22 15:00:00,220,0.07,1,3.7625868519508185,0.8375546524727016,100.0,208.44496512413025,972
12,2025-01-08 15:00:00 to 2025-01-22 15:00:00,2025-01-23 15:00:00 to 2025-01-25 15:00:00,200,0.07,0,0.0,0.0,0.0,207.35131311416623,973
13,2025-01-11 15:00:00 to 2025-01-25 15:00:00,2025-01-26 15:00:00 to 2025-01-28 15:00:00,205,0.036,1,5.156768865813137,1.7284321080270093,100.0,202.67106413841248,975
14,2025-01-14 15:00:00 to 2025-01-28 15:00:00,2025-01-29 15:00:00 to 2025-01-31 15:00:00,205,0.036,0,0.0,0.0,0.0,205.22259879112244,977
15,2025-01-17 15:00:00 to 2025-01-31 15:00:00,2025-02-01 15:00:00 to 2025-02-03 15:00:00,110,0.02,1,-21.961307419934,30.942567059454028,0.0,204.26191210746765,978
16,2025-01-20 15:00:00 to 2025-02-03 15:00:00,2025-02-04 15:00:00 to 2025-02-06 15:00:00,30,0.07,0,0.0,0.0,0.0,204.20486307144165,979
17,2025-01-23 15:00:00 to 2025-02-06 15:00:00,2025-02-07 15:00:00 to 2025-02-09 15:00:00,30,0.07,0,0.0,0.0,0.0,203.9301700592041,981
18,2025-01-26 15:00:00 to 2025-02-09 15:00:00,2025-02-10 15:00:00 to 2025-02-12 15:00:00,30,0.07,0,0.0,0.0,0.0,196.9230420589447,983
19,2025-01-29 15:00:00 to 2025-02-12 15:00:00,2025-02-13 15:00:00 to 2025-02-15 15:00:00,30,0.07,0,0.0,0.0,0.0,204.90765595436096,984
20,2025-02-01 15:00:00 to 2025-02-15 15:00:00,2025-02-16 15:00:00 to 2025-02-18 15:00:00,150,0.034,1,0.9906628119293964,0.5034077012743245,100.0,202.1673560142517,985
21,2025-02-04 15:00:00 to 2025-02-18 15:00:00,2025-02-19 15:00:00 to 2025-02-21 15:00:00,110,0.02,0,0.0,0.0,0.0,199.53518271446228,987
22,2025-02-07 15:00:00 to 2025-02-21 15:00:00,2025-02-22 15:00:00 to 2025-02-24 15:00:00,170,0.02,2,-4.100125207901092,8.16451193171501,50.0,198.64768505096436,989
23,2025-02-10 15:00:00 to 2025-02-24 15:00:00,2025-02-25 15:00:00 to 2025-02-27 15:00:00,115,0.066,1,1.4347320574162583,3.132005576880974,100.0,198.4331362247467,990
24,2025-02-13 15:00:00 to 2025-02-27 15:00:00,2025-02-28 15:00:00 to 2025-03-02 15:00:00,25,0.02,2,-0.4697427167522437,2.0275462926610297,50.0,201.72533178329468,991
25,2025-02-16 15:00:00 to 2025-03-02 15:00:00,2025-03-03 15:00:00 to 2025-03-05 15:00:00,115,0.066,1,-2.36893140117545,9.195141457387855,0.0,202.29566407203671,993
26,2025-02-19 15:00:00 to 2025-03-05 15:00:00,2025-03-06 15:00:00 to 2025-03-08 15:00:00,25,0.02,4,2.546000429748037,2.11105099559313,100.0,206.36803579330444,995
