Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-02 13:45:00 to 2025-01-16 13:45:00,2025-01-17 13:45:00 to 2025-01-19 13:45:00,20,0.042,5,1.1495370719901803,8.153430020981114,60.0,214.5182421207428,971
2,2025-01-05 13:45:00 to 2025-01-19 13:45:00,2025-01-20 13:45:00 to 2025-01-22 13:45:00,20,0.072,1,4.342662681315597,3.8169951581714487,100.0,212.3692011833191,972
3,2025-01-08 13:45:00 to 2025-01-22 13:45:00,2025-01-23 13:45:00 to 2025-01-25 13:45:00,300,0.08,1,-4.7988067663047875,14.209275334159775,0.0,217.5977189540863,973
4,2025-01-11 13:45:00 to 2025-01-25 13:45:00,2025-01-26 13:45:00 to 2025-01-28 13:45:00,60,0.08,1,-1.5957271612385922,10.505306193966163,0.0,212.70641112327576,975
5,2025-01-14 13:45:00 to 2025-01-28 13:45:00,2025-01-29 13:45:00 to 2025-01-31 13:45:00,270,0.08,1,15.20688411799134,6.403688985759423,100.0,217.02310514450073,977
6,2025-01-17 13:45:00 to 2025-01-31 13:45:00,2025-02-01 13:45:00 to 2025-02-03 13:45:00,235,0.08,1,-31.121983604549953,42.39536026563732,0.0,220.08945274353027,978
7,2025-01-20 13:45:00 to 2025-02-03 13:45:00,2025-02-04 13:45:00 to 2025-02-06 13:45:00,20,0.07,4,0.0688104881021172,6.860308545586842,50.0,215.2149302959442,979
8,2025-01-23 13:45:00 to 2025-02-06 13:45:00,2025-02-07 13:45:00 to 2025-02-09 13:45:00,35,0.08,2,3.6248574563213336,4.323077882225643,50.0,220.14834213256836,981
9,2025-01-26 13:45:00 to 2025-02-09 13:45:00,2025-02-10 13:45:00 to 2025-02-12 13:45:00,35,0.08,2,3.892220126491793,2.021992936098586,100.0,219.1161561012268,983
10,2025-01-29 13:45:00 to 2025-02-12 13:45:00,2025-02-13 13:45:00 to 2025-02-15 13:45:00,35,0.08,0,0.0,0.0,0.0,219.01885390281677,984
11,2025-02-01 13:45:00 to 2025-02-15 13:45:00,2025-02-16 13:45:00 to 2025-02-18 13:45:00,155,0.048,2,-12.609178120782708,15.859094340709383,0.0,221.34980988502505,985
12,2025-02-04 13:45:00 to 2025-02-18 13:45:00,2025-02-19 13:45:00 to 2025-02-21 13:45:00,200,0.072,1,3.4863882108510915,5.874781735786025,100.0,217.4389886856079,987
13,2025-02-07 13:45:00 to 2025-02-21 13:45:00,2025-02-22 13:45:00 to 2025-02-24 13:45:00,35,0.054,1,-0.6362606473594679,2.450402125801307,0.0,214.93104696273804,989
14,2025-02-10 13:45:00 to 2025-02-24 13:45:00,2025-02-25 13:45:00 to 2025-02-27 13:45:00,30,0.054,2,5.668649636027803,1.4179515223761034,100.0,220.0654668807983,990
15,2025-02-13 13:45:00 to 2025-02-27 13:45:00,2025-02-28 13:45:00 to 2025-03-02 13:45:00,40,0.056,1,0.8145678268018673,1.7198410523431085,100.0,212.0491979122162,991
16,2025-02-16 13:45:00 to 2025-03-02 13:45:00,2025-03-03 13:45:00 to 2025-03-05 13:45:00,35,0.032,4,-13.484548911095734,24.530850837833835,75.0,212.5695009231567,993
17,2025-02-19 13:45:00 to 2025-03-05 13:45:00,2025-03-06 13:45:00 to 2025-03-08 13:45:00,30,0.03,7,5.481777354397891,5.609518295857864,71.42857142857143,210.3893439769745,995
