Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-08-24 03:30:00 to 2021-09-07 03:30:00,2021-09-08 03:30:00 to 2021-09-10 03:30:00,25,0.06,1,1.0659886932344853,1.566646153846159,100.0,227.20453310012817,357
2,2021-08-27 03:30:00 to 2021-09-10 03:30:00,2021-09-11 03:30:00 to 2021-09-13 03:30:00,25,0.04,0,0.0,0.0,0.0,223.75740385055545,359
3,2021-08-30 03:30:00 to 2021-09-13 03:30:00,2021-09-14 03:30:00 to 2021-09-16 03:30:00,25,0.04,1,1.831698351399591,0.8254254258367395,100.0,226.0119128227234,360
4,2021-09-02 03:30:00 to 2021-09-16 03:30:00,2021-09-17 03:30:00 to 2021-09-19 03:30:00,25,0.04,1,1.343955951317548,0.7832453827967938,100.0,224.8536241054535,361
5,2021-09-05 03:30:00 to 2021-09-19 03:30:00,2021-09-20 03:30:00 to 2021-09-22 03:30:00,265,0.024,1,-10.091705879480068,18.328434339037013,0.0,226.3758289813995,363
6,2021-09-08 03:30:00 to 2021-09-22 03:30:00,2021-09-23 03:30:00 to 2021-09-25 03:30:00,15,0.02,3,-1.7130142466600229,4.25333717563864,33.33333333333333,223.89650201797485,365
7,2021-09-11 03:30:00 to 2021-09-25 03:30:00,2021-09-26 03:30:00 to 2021-09-28 03:30:00,60,0.02,4,1.0055583247921822,8.209704107632868,50.0,222.52503299713135,366
8,2021-09-14 03:30:00 to 2021-09-28 03:30:00,2021-09-29 03:30:00 to 2021-10-01 03:30:00,15,0.02,2,-0.2611434125791129,2.211203666498929,50.0,222.48067593574524,367
9,2021-09-17 03:30:00 to 2021-10-01 03:30:00,2021-10-02 03:30:00 to 2021-10-04 03:30:00,15,0.022,5,4.96122156015379,1.8205361531728157,80.0,222.28587126731873,369
10,2021-09-20 03:30:00 to 2021-10-04 03:30:00,2021-10-05 03:30:00 to 2021-10-07 03:30:00,85,0.032,3,6.464373697119481,2.3442670556494294,66.66666666666666,220.1064591407776,371
11,2021-09-23 03:30:00 to 2021-10-07 03:30:00,2021-10-08 03:30:00 to 2021-10-10 03:30:00,200,0.02,1,-0.0246123772117607,1.9378302761473685,0.0,220.2732527256012,372
12,2021-09-26 03:30:00 to 2021-10-10 03:30:00,2021-10-11 03:30:00 to 2021-10-13 03:30:00,205,0.02,1,0.2621859959908215,10.893900848051002,100.0,217.9860119819641,373
13,2021-09-29 03:30:00 to 2021-10-13 03:30:00,2021-10-14 03:30:00 to 2021-10-16 03:30:00,65,0.022,3,3.029721965311455,2.2505055745681513,100.0,214.13918113708496,375
14,2021-10-02 03:30:00 to 2021-10-16 03:30:00,2021-10-17 03:30:00 to 2021-10-19 03:30:00,185,0.026,1,0.0142013671576751,4.996980948870837,100.0,218.3565199375153,377
15,2021-10-05 03:30:00 to 2021-10-19 03:30:00,2021-10-20 03:30:00 to 2021-10-22 03:30:00,55,0.02,2,2.350304277815594,2.6125072673233416,100.0,216.63865089416504,378
16,2021-10-08 03:30:00 to 2021-10-22 03:30:00,2021-10-23 03:30:00 to 2021-10-25 03:30:00,40,0.02,1,-0.468095971328039,5.033050828955489,0.0,213.3102903366089,379
17,2021-10-11 03:30:00 to 2021-10-25 03:30:00,2021-10-26 03:30:00 to 2021-10-28 03:30:00,20,0.022,5,-3.122749776183282,7.371640979290275,80.0,214.20500826835632,381
18,2021-10-14 03:30:00 to 2021-10-28 03:30:00,2021-10-29 03:30:00 to 2021-10-31 03:30:00,50,0.03,0,0.0,0.0,0.0,214.22318387031555,383
19,2021-10-17 03:30:00 to 2021-10-31 03:30:00,2021-11-01 03:30:00 to 2021-11-03 03:30:00,150,0.02,2,2.287333339172219,0.5140805182966608,100.0,212.53654503822327,384
20,2021-10-20 03:30:00 to 2021-11-03 03:30:00,2021-11-04 03:30:00 to 2021-11-06 03:30:00,150,0.02,2,2.679439530043892,2.9431997436246853,100.0,212.9083480834961,385
21,2021-10-23 03:30:00 to 2021-11-06 03:30:00,2021-11-07 03:30:00 to 2021-11-09 03:30:00,140,0.02,0,0.0,0.0,0.0,213.25559496879575,387
22,2021-10-26 03:30:00 to 2021-11-09 03:30:00,2021-11-10 03:30:00 to 2021-11-12 03:30:00,145,0.02,1,-1.7117956244295969,8.076821015763507,0.0,213.7422821521759,389
23,2021-10-29 03:30:00 to 2021-11-12 03:30:00,2021-11-13 03:30:00 to 2021-11-15 03:30:00,130,0.02,0,0.0,0.0,0.0,212.31278681755063,390
24,2021-11-01 03:30:00 to 2021-11-15 03:30:00,2021-11-16 03:30:00 to 2021-11-18 03:30:00,25,0.02,5,7.450316663172725,2.677152349235699,80.0,210.06013107299805,391
25,2021-11-04 03:30:00 to 2021-11-18 03:30:00,2021-11-19 03:30:00 to 2021-11-21 03:30:00,25,0.026,1,0.6540147114296452,0.5269879773744581,100.0,213.29144310951233,393
26,2021-11-07 03:30:00 to 2021-11-21 03:30:00,2021-11-22 03:30:00 to 2021-11-24 03:30:00,20,0.024,1,-0.0869897445003516,1.9500670930942523,0.0,215.7860610485077,395
27,2021-11-10 03:30:00 to 2021-11-24 03:30:00,2021-11-25 03:30:00 to 2021-11-27 03:30:00,35,0.032,1,0.216556691760743,2.903214133042977,100.0,214.67946219444275,396
28,2021-11-13 03:30:00 to 2021-11-27 03:30:00,2021-11-28 03:30:00 to 2021-11-30 03:30:00,290,0.05,1,3.843934753718186,2.8174023235916006,100.0,212.47522616386416,397
29,2021-11-16 03:30:00 to 2021-11-30 03:30:00,2021-12-01 03:30:00 to 2021-12-03 03:30:00,285,0.026,2,1.271584554410074,0.4463337934873824,50.0,215.89454674720764,399
30,2021-11-19 03:30:00 to 2021-12-03 03:30:00,2021-12-04 03:30:00 to 2021-12-06 03:30:00,75,0.022,3,-15.9461825555818,27.626604444795877,0.0,213.08373022079468,401
31,2021-11-22 03:30:00 to 2021-12-06 03:30:00,2021-12-07 03:30:00 to 2021-12-09 03:30:00,10,0.076,0,0.0,0.0,0.0,215.5170691013336,402
32,2021-11-25 03:30:00 to 2021-12-09 03:30:00,2021-12-10 03:30:00 to 2021-12-12 03:30:00,10,0.076,0,0.0,0.0,0.0,216.9013459682465,403
33,2021-11-28 03:30:00 to 2021-12-12 03:30:00,2021-12-13 03:30:00 to 2021-12-15 03:30:00,10,0.076,0,0.0,0.0,0.0,215.84604215621948,405
34,2021-12-01 03:30:00 to 2021-12-15 03:30:00,2021-12-16 03:30:00 to 2021-12-18 03:30:00,295,0.042,1,0.9909462606131456,1.966828537072024,0.0,220.60031604766849,407
35,2021-12-04 03:30:00 to 2021-12-18 03:30:00,2021-12-19 03:30:00 to 2021-12-21 03:30:00,40,0.032,0,0.0,0.0,0.0,217.59691190719604,408
36,2021-12-07 03:30:00 to 2021-12-21 03:30:00,2021-12-22 03:30:00 to 2021-12-24 03:30:00,295,0.03,0,0.0,0.0,0.0,216.31849598884585,409
37,2021-12-10 03:30:00 to 2021-12-24 03:30:00,2021-12-25 03:30:00 to 2021-12-27 03:30:00,255,0.028,0,0.0,0.0,0.0,216.38523387908936,411
