Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-07 11:30:00 to 2025-01-21 11:30:00,2025-01-22 11:30:00 to 2025-01-24 11:30:00,245,0.074,1,4.114881355932211,0.3368820974741554,100.0,214.3493659496307,973
2,2025-01-10 11:30:00 to 2025-01-24 11:30:00,2025-01-25 11:30:00 to 2025-01-27 11:30:00,70,0.08,2,-0.6639538575520783,5.008996504115529,50.0,210.09840989112857,975
3,2025-01-13 11:30:00 to 2025-01-27 11:30:00,2025-01-28 11:30:00 to 2025-01-30 11:30:00,70,0.08,1,2.4529071082390876,1.0713842195230967,100.0,214.3031611442566,976
4,2025-01-16 11:30:00 to 2025-01-30 11:30:00,2025-01-31 11:30:00 to 2025-02-02 11:30:00,110,0.08,1,-7.056359472299572,8.883424203401525,0.0,216.01028609275815,977
5,2025-01-19 11:30:00 to 2025-02-02 11:30:00,2025-02-03 11:30:00 to 2025-02-05 11:30:00,50,0.064,2,1.4326545820897627,11.823094425552595,100.0,217.49613904953003,979
6,2025-01-22 11:30:00 to 2025-02-05 11:30:00,2025-02-06 11:30:00 to 2025-02-08 11:30:00,40,0.064,2,0.5616637168141461,2.420500967081763,50.0,214.80263996124268,981
7,2025-01-25 11:30:00 to 2025-02-08 11:30:00,2025-02-09 11:30:00 to 2025-02-11 11:30:00,40,0.064,1,3.809110824742256,2.494051622929286,100.0,213.80112886428833,982
8,2025-01-28 11:30:00 to 2025-02-11 11:30:00,2025-02-12 11:30:00 to 2025-02-14 11:30:00,40,0.064,1,-0.2977769156159229,2.22057859628121,0.0,215.4693548679352,983
9,2025-01-31 11:30:00 to 2025-02-14 11:30:00,2025-02-15 11:30:00 to 2025-02-17 11:30:00,250,0.064,1,1.2538248847926297,2.1417619819837874,100.0,216.02241802215576,985
10,2025-02-03 11:30:00 to 2025-02-17 11:30:00,2025-02-18 11:30:00 to 2025-02-20 11:30:00,10,0.02,2,0.3177802207845343,1.1811146568674666,50.0,214.9676251411438,987
11,2025-02-06 11:30:00 to 2025-02-20 11:30:00,2025-02-21 11:30:00 to 2025-02-23 11:30:00,10,0.022,3,2.2372236653635262,2.036048134508783,100.0,209.51672315597537,988
12,2025-02-09 11:30:00 to 2025-02-23 11:30:00,2025-02-24 11:30:00 to 2025-02-26 11:30:00,10,0.022,3,-0.2275934393803618,4.983856468601069,66.66666666666666,208.0368399620056,989
13,2025-02-12 11:30:00 to 2025-02-26 11:30:00,2025-02-27 11:30:00 to 2025-03-01 11:30:00,20,0.034,4,2.0363625242973105,1.4791388809892103,50.0,206.1276879310608,991
14,2025-02-15 11:30:00 to 2025-03-01 11:30:00,2025-03-02 11:30:00 to 2025-03-04 11:30:00,20,0.034,2,-8.960866644613597,12.396968124513256,50.0,204.8584508895874,993
15,2025-02-18 11:30:00 to 2025-03-04 11:30:00,2025-03-05 11:30:00 to 2025-03-07 11:30:00,15,0.022,3,2.3577923051860123,1.437391826835823,100.0,206.67738485336304,994
