Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-04-06 12:00:00 to 2023-04-20 12:00:00,2023-04-21 12:00:00 to 2023-04-23 12:00:00,125,0.028,1,0.8248674933636904,2.518163572241174,100.0,199.54726600646973,652
2,2023-04-09 12:00:00 to 2023-04-23 12:00:00,2023-04-24 12:00:00 to 2023-04-26 12:00:00,50,0.02,3,2.7148276892235117,0.5268070241873218,100.0,201.6667959690094,653
3,2023-04-12 12:00:00 to 2023-04-26 12:00:00,2023-04-27 12:00:00 to 2023-04-29 12:00:00,125,0.02,2,1.9500694974004185,0.7039922540852229,100.0,199.89544701576233,655
4,2023-04-15 12:00:00 to 2023-04-29 12:00:00,2023-04-30 12:00:00 to 2023-05-02 12:00:00,50,0.02,1,-5.3315638011970075,6.962756577610382,0.0,203.85362482070923,657
5,2023-04-18 12:00:00 to 2023-05-02 12:00:00,2023-05-03 12:00:00 to 2023-05-05 12:00:00,125,0.02,2,1.4540512603773097,2.027765425950183,50.0,202.0528099536896,658
6,2023-04-21 12:00:00 to 2023-05-05 12:00:00,2023-05-06 12:00:00 to 2023-05-08 12:00:00,115,0.02,2,-1.520292476592076,4.9817159811405505,0.0,197.37482213974,659
7,2023-04-24 12:00:00 to 2023-05-08 12:00:00,2023-05-09 12:00:00 to 2023-05-11 12:00:00,50,0.036,0,0.0,0.0,0.0,199.94695806503296,661
8,2023-04-27 12:00:00 to 2023-05-11 12:00:00,2023-05-12 12:00:00 to 2023-05-14 12:00:00,180,0.066,1,1.279878773695291,1.9702181500128124,100.0,200.5306098461151,663
9,2023-04-30 12:00:00 to 2023-05-14 12:00:00,2023-05-15 12:00:00 to 2023-05-17 12:00:00,175,0.044,0,0.0,0.0,0.0,200.7663938999176,664
10,2023-05-03 12:00:00 to 2023-05-17 12:00:00,2023-05-18 12:00:00 to 2023-05-20 12:00:00,190,0.074,0,0.0,0.0,0.0,201.272305727005,665
11,2023-05-06 12:00:00 to 2023-05-20 12:00:00,2023-05-21 12:00:00 to 2023-05-23 12:00:00,275,0.02,1,0.4177861052311527,4.42193904510199,100.0,202.3598222732544,667
12,2023-05-09 12:00:00 to 2023-05-23 12:00:00,2023-05-24 12:00:00 to 2023-05-26 12:00:00,265,0.022,1,1.2570007010984046,0.4508199051130166,100.0,195.5142788887024,669
13,2023-05-12 12:00:00 to 2023-05-26 12:00:00,2023-05-27 12:00:00 to 2023-05-29 12:00:00,260,0.022,1,1.0337552528284504,0.1033408906603145,100.0,192.6658520698547,670
14,2023-05-15 12:00:00 to 2023-05-29 12:00:00,2023-05-30 12:00:00 to 2023-06-01 12:00:00,270,0.024,1,-1.5242729283546033,4.603576893443882,0.0,191.4189970493317,671
15,2023-05-18 12:00:00 to 2023-06-01 12:00:00,2023-06-02 12:00:00 to 2023-06-04 12:00:00,185,0.04,0,0.0,0.0,0.0,196.20170497894287,673
16,2023-05-21 12:00:00 to 2023-06-04 12:00:00,2023-06-05 12:00:00 to 2023-06-07 12:00:00,300,0.04,1,1.3764778663583277,8.346730144143821,100.0,196.89634203910828,675
17,2023-05-24 12:00:00 to 2023-06-07 12:00:00,2023-06-08 12:00:00 to 2023-06-10 12:00:00,300,0.074,1,0.3860947531850797,4.036128279180708,0.0,196.5729730129242,676
18,2023-05-27 12:00:00 to 2023-06-10 12:00:00,2023-06-11 12:00:00 to 2023-06-13 12:00:00,300,0.072,1,1.8112823741007196,1.87176450239596,100.0,201.19426202774048,677
19,2023-05-30 12:00:00 to 2023-06-13 12:00:00,2023-06-14 12:00:00 to 2023-06-16 12:00:00,300,0.072,0,0.0,0.0,0.0,202.23175883293152,679
20,2023-06-02 12:00:00 to 2023-06-16 12:00:00,2023-06-17 12:00:00 to 2023-06-19 12:00:00,260,0.066,0,0.0,0.0,0.0,200.7434320449829,681
21,2023-06-05 12:00:00 to 2023-06-19 12:00:00,2023-06-20 12:00:00 to 2023-06-22 12:00:00,205,0.066,0,0.0,0.0,0.0,201.0783889293671,682
22,2023-06-08 12:00:00 to 2023-06-22 12:00:00,2023-06-23 12:00:00 to 2023-06-25 12:00:00,205,0.036,1,1.5799753351206345,0.6936032171581792,100.0,198.5583589076996,683
