Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2022-08-17 02:45:00 to 2022-08-31 02:45:00,2022-09-01 02:45:00 to 2022-09-03 02:45:00,185,0.032,1,1.226020040080166,1.5205416833346626,100.0,220.63061809539795,536
2,2022-08-20 02:45:00 to 2022-09-03 02:45:00,2022-09-04 02:45:00 to 2022-09-06 02:45:00,65,0.034,1,1.4301434159061317,0.3209547047323622,100.0,213.8727617263794,537
3,2022-08-23 02:45:00 to 2022-09-06 02:45:00,2022-09-07 02:45:00 to 2022-09-09 02:45:00,95,0.024,2,4.6056124681143045,1.726809459686457,100.0,211.52280712127688,539
4,2022-08-26 02:45:00 to 2022-09-09 02:45:00,2022-09-10 02:45:00 to 2022-09-12 02:45:00,300,0.02,0,0.0,0.0,0.0,217.81767082214355,541
5,2022-08-29 02:45:00 to 2022-09-12 02:45:00,2022-09-13 02:45:00 to 2022-09-15 02:45:00,145,0.022,3,-1.642007105105222,9.764939802190142,66.66666666666666,209.33454990386963,542
6,2022-09-01 02:45:00 to 2022-09-15 02:45:00,2022-09-16 02:45:00 to 2022-09-18 02:45:00,90,0.026,0,0.0,0.0,0.0,212.3036289215088,543
7,2022-09-04 02:45:00 to 2022-09-18 02:45:00,2022-09-19 02:45:00 to 2022-09-21 02:45:00,70,0.032,2,1.889798287519352,2.3396114093186706,50.0,216.97664880752563,545
8,2022-09-07 02:45:00 to 2022-09-21 02:45:00,2022-09-22 02:45:00 to 2022-09-24 02:45:00,20,0.024,1,0.5107089804186399,0.3336853500307423,100.0,216.43778705596924,547
9,2022-09-10 02:45:00 to 2022-09-24 02:45:00,2022-09-25 02:45:00 to 2022-09-27 02:45:00,190,0.02,3,6.597162385493484,1.147932655034995,100.0,219.4047610759735,548
10,2022-09-13 02:45:00 to 2022-09-27 02:45:00,2022-09-28 02:45:00 to 2022-09-30 02:45:00,240,0.024,1,-3.68830420276925,5.098165440550185,0.0,220.2823247909546,549
11,2022-09-16 02:45:00 to 2022-09-30 02:45:00,2022-10-01 02:45:00 to 2022-10-03 02:45:00,300,0.022,1,-2.4882077002989536,4.847552425872887,0.0,219.37940001487732,551
