Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-11-11 03:30:00 to 2021-11-25 03:30:00,2021-11-26 03:30:00 to 2021-11-28 03:30:00,200,0.032,2,1.8499506443877909,6.975323928687987,50.0,223.15115094184875,397
2,2021-11-14 03:30:00 to 2021-11-28 03:30:00,2021-11-29 03:30:00 to 2021-12-01 03:30:00,200,0.038,2,0.0537884298861172,3.7935827972459992,0.0,220.4172327518463,398
3,2021-11-17 03:30:00 to 2021-12-01 03:30:00,2021-12-02 03:30:00 to 2021-12-04 03:30:00,190,0.038,1,-11.623156550895892,13.90663902558171,0.0,216.59866094589233,399
4,2021-11-20 03:30:00 to 2021-12-04 03:30:00,2021-12-05 03:30:00 to 2021-12-07 03:30:00,210,0.036,2,6.699814613894486,7.885862921115787,50.0,219.39657187461853,401
5,2021-11-23 03:30:00 to 2021-12-07 03:30:00,2021-12-08 03:30:00 to 2021-12-10 03:30:00,150,0.052,2,2.0678226772339983,1.093678590553634,50.0,220.29480910301208,403
6,2021-11-26 03:30:00 to 2021-12-10 03:30:00,2021-12-11 03:30:00 to 2021-12-13 03:30:00,20,0.074,0,0.0,0.0,0.0,220.09440398216248,404
7,2021-11-29 03:30:00 to 2021-12-13 03:30:00,2021-12-14 03:30:00 to 2021-12-16 03:30:00,20,0.074,0,0.0,0.0,0.0,216.4525237083435,405
8,2021-12-02 03:30:00 to 2021-12-16 03:30:00,2021-12-17 03:30:00 to 2021-12-19 03:30:00,225,0.062,0,0.0,0.0,0.0,216.91739010810852,407
9,2021-12-05 03:30:00 to 2021-12-19 03:30:00,2021-12-20 03:30:00 to 2021-12-22 03:30:00,115,0.028,1,0.0577561797977796,5.902441618039201,100.0,215.99819898605347,409
10,2021-12-08 03:30:00 to 2021-12-22 03:30:00,2021-12-23 03:30:00 to 2021-12-25 03:30:00,280,0.04,0,0.0,0.0,0.0,213.75572395324707,410
11,2021-12-11 03:30:00 to 2021-12-25 03:30:00,2021-12-26 03:30:00 to 2021-12-28 03:30:00,255,0.034,2,-0.3191765914422467,2.0589731576051817,50.0,216.00441598892212,411
12,2021-12-14 03:30:00 to 2021-12-28 03:30:00,2021-12-29 03:30:00 to 2021-12-31 03:30:00,50,0.032,3,3.196422134202057,4.777339744778674,66.66666666666666,212.50351309776303,413
13,2021-12-17 03:30:00 to 2021-12-31 03:30:00,2022-01-01 03:30:00 to 2022-01-03 03:30:00,185,0.04,0,0.0,0.0,0.0,208.67456698417664,415
14,2021-12-20 03:30:00 to 2022-01-03 03:30:00,2022-01-04 03:30:00 to 2022-01-06 03:30:00,170,0.04,1,-1.580298929981418,9.080841325951733,0.0,209.3977551460266,416
15,2021-12-23 03:30:00 to 2022-01-06 03:30:00,2022-01-07 03:30:00 to 2022-01-09 03:30:00,240,0.07,1,-9.311442459349818,14.49983199564684,0.0,212.9953911304474,417
16,2021-12-26 03:30:00 to 2022-01-09 03:30:00,2022-01-10 03:30:00 to 2022-01-12 03:30:00,40,0.07,1,2.6666232437761934,0.5418906215662757,100.0,212.88828492164612,419
17,2021-12-29 03:30:00 to 2022-01-12 03:30:00,2022-01-13 03:30:00 to 2022-01-15 03:30:00,40,0.07,0,0.0,0.0,0.0,211.85277104377747,421
18,2022-01-01 03:30:00 to 2022-01-15 03:30:00,2022-01-16 03:30:00 to 2022-01-18 03:30:00,40,0.07,0,0.0,0.0,0.0,207.84487199783325,422
19,2022-01-04 03:30:00 to 2022-01-18 03:30:00,2022-01-19 03:30:00 to 2022-01-21 03:30:00,40,0.07,1,-3.2088684262359677,3.4226008494201494,0.0,214.150230884552,423
20,2022-01-07 03:30:00 to 2022-01-21 03:30:00,2022-01-22 03:30:00 to 2022-01-24 03:30:00,30,0.062,1,2.849339998040796,4.401967591667046,100.0,211.86866688728333,425
21,2022-01-10 03:30:00 to 2022-01-24 03:30:00,2022-01-25 03:30:00 to 2022-01-27 03:30:00,25,0.054,1,-1.9685054759898957,3.093610698514028,0.0,209.58595609664917,427
