Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-20 09:30:00 to 2025-02-03 09:30:00,2025-02-04 09:30:00 to 2025-02-06 09:30:00,10,0.076,0,0.0,0.0,0.0,219.5516262054443,979
2,2025-01-23 09:30:00 to 2025-02-06 09:30:00,2025-02-07 09:30:00 to 2025-02-09 09:30:00,15,0.022,1,-0.366529706753281,1.47494906968309,0.0,215.4689280986786,981
3,2025-01-26 09:30:00 to 2025-02-09 09:30:00,2025-02-10 09:30:00 to 2025-02-12 09:30:00,15,0.028,0,0.0,0.0,0.0,208.7762267589569,983
4,2025-01-29 09:30:00 to 2025-02-12 09:30:00,2025-02-13 09:30:00 to 2025-02-15 09:30:00,20,0.034,1,-0.9362418486611568,2.816694837417019,0.0,210.95279717445376,984
5,2025-02-01 09:30:00 to 2025-02-15 09:30:00,2025-02-16 09:30:00 to 2025-02-18 09:30:00,275,0.048,1,-4.934820955400846,6.131015280822271,0.0,211.86932492256165,985
6,2025-02-04 09:30:00 to 2025-02-18 09:30:00,2025-02-19 09:30:00 to 2025-02-21 09:30:00,55,0.034,0,0.0,0.0,0.0,205.90610790252688,987
7,2025-02-07 09:30:00 to 2025-02-21 09:30:00,2025-02-22 09:30:00 to 2025-02-24 09:30:00,105,0.026,0,0.0,0.0,0.0,203.48950386047363,989
8,2025-02-10 09:30:00 to 2025-02-24 09:30:00,2025-02-25 09:30:00 to 2025-02-27 09:30:00,10,0.076,0,0.0,0.0,0.0,205.5047149658203,990
9,2025-02-13 09:30:00 to 2025-02-27 09:30:00,2025-02-28 09:30:00 to 2025-03-02 09:30:00,10,0.032,0,0.0,0.0,0.0,203.0243079662323,991
10,2025-02-16 09:30:00 to 2025-03-02 09:30:00,2025-03-03 09:30:00 to 2025-03-05 09:30:00,15,0.02,3,-5.698148003410861,8.25729786924207,33.33333333333333,202.73241090774536,993
11,2025-02-19 09:30:00 to 2025-03-05 09:30:00,2025-03-06 09:30:00 to 2025-03-08 09:30:00,15,0.034,0,0.0,0.0,0.0,197.00220012664795,995
