Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-16 11:30:00 to 2024-09-30 11:30:00,2024-10-01 11:30:00 to 2024-10-03 11:30:00,10,0.022,8,-13.14430391004702,14.672539734547971,50.0,241.56930303573608,917
2,2024-09-19 11:30:00 to 2024-10-03 11:30:00,2024-10-04 11:30:00 to 2024-10-06 11:30:00,100,0.078,1,-0.7603071816535886,2.60323026769085,0.0,244.50614094734192,918
3,2024-09-22 11:30:00 to 2024-10-06 11:30:00,2024-10-07 11:30:00 to 2024-10-09 11:30:00,125,0.068,0,0.0,0.0,0.0,230.7646870613098,919
4,2024-09-25 11:30:00 to 2024-10-09 11:30:00,2024-10-10 11:30:00 to 2024-10-12 11:30:00,100,0.044,3,5.749794157222878,2.625889530621645,100.0,227.90686702728271,921
5,2024-09-28 11:30:00 to 2024-10-12 11:30:00,2024-10-13 11:30:00 to 2024-10-15 11:30:00,30,0.022,13,2.1486573448314994,4.046402528119108,84.61538461538461,223.75657415390015,923
6,2024-10-01 11:30:00 to 2024-10-15 11:30:00,2024-10-16 11:30:00 to 2024-10-18 11:30:00,50,0.03,5,5.797599778578332,2.740165405457832,100.0,227.30020809173584,924
7,2024-10-04 11:30:00 to 2024-10-18 11:30:00,2024-10-19 11:30:00 to 2024-10-21 11:30:00,150,0.02,5,-2.3449754919968107,5.152988570477801,80.0,222.12943482398987,925
8,2024-10-07 11:30:00 to 2024-10-21 11:30:00,2024-10-22 11:30:00 to 2024-10-24 11:30:00,50,0.03,8,1.4590017107975657,7.633786086008948,75.0,230.72614407539368,927
9,2024-10-10 11:30:00 to 2024-10-24 11:30:00,2024-10-25 11:30:00 to 2024-10-27 11:30:00,50,0.03,3,2.8652732679880497,5.347895893901338,100.0,221.53161072731015,929
10,2024-10-13 11:30:00 to 2024-10-27 11:30:00,2024-10-28 11:30:00 to 2024-10-30 11:30:00,95,0.044,1,3.5819229792070653,1.086708367566814,100.0,227.14853596687317,930
11,2024-10-16 11:30:00 to 2024-10-30 11:30:00,2024-10-31 11:30:00 to 2024-11-02 11:30:00,110,0.032,2,-2.856174455730961,8.140240023259325,50.0,217.9049699306488,931
12,2024-10-19 11:30:00 to 2024-11-02 11:30:00,2024-11-03 11:30:00 to 2024-11-05 11:30:00,80,0.046,7,2.3195667973997844,2.8149703215326007,100.0,221.86188101768496,933
13,2024-10-22 11:30:00 to 2024-11-05 11:30:00,2024-11-06 11:30:00 to 2024-11-08 11:30:00,120,0.032,0,0.0,0.0,0.0,227.35830116271973,935
14,2024-10-25 11:30:00 to 2024-11-08 11:30:00,2024-11-09 11:30:00 to 2024-11-11 11:30:00,35,0.03,4,7.043656812187438,3.9063605998891537,100.0,221.41710591316223,936
15,2024-10-28 11:30:00 to 2024-11-11 11:30:00,2024-11-12 11:30:00 to 2024-11-14 11:30:00,35,0.03,6,-0.5512455870353006,11.50598811782934,66.66666666666666,221.32062005996704,937
16,2024-10-31 11:30:00 to 2024-11-14 11:30:00,2024-11-15 11:30:00 to 2024-11-17 11:30:00,240,0.04,2,9.83363226629528,9.386434925141716,100.0,233.5282120704651,939
17,2024-11-03 11:30:00 to 2024-11-17 11:30:00,2024-11-18 11:30:00 to 2024-11-20 11:30:00,225,0.042,1,-3.292318389641532,5.496882151077252,0.0,226.48007988929749,941
18,2024-11-06 11:30:00 to 2024-11-20 11:30:00,2024-11-21 11:30:00 to 2024-11-23 11:30:00,205,0.02,4,18.10205090886884,7.352831538599217,100.0,226.5180242061615,942
19,2024-11-09 11:30:00 to 2024-11-23 11:30:00,2024-11-24 11:30:00 to 2024-11-26 11:30:00,205,0.02,10,-0.1177222067140974,5.358513694684647,90.0,237.40372109413147,943
20,2024-11-12 11:30:00 to 2024-11-26 11:30:00,2024-11-27 11:30:00 to 2024-11-29 11:30:00,220,0.034,4,3.3130617258935304,4.300080902437015,100.0,236.1346740722656,945
21,2024-11-15 11:30:00 to 2024-11-29 11:30:00,2024-11-30 11:30:00 to 2024-12-02 11:30:00,160,0.02,5,-0.9735344447951684,7.061704845846591,80.0,229.7727768421173,947
22,2024-11-18 11:30:00 to 2024-12-02 11:30:00,2024-12-03 11:30:00 to 2024-12-05 11:30:00,250,0.032,3,-2.0842098103159516,6.526474775945044,66.66666666666666,225.5536911487579,948
23,2024-11-21 11:30:00 to 2024-12-05 11:30:00,2024-12-06 11:30:00 to 2024-12-08 11:30:00,65,0.046,3,2.954058688857458,0.9917130674493324,100.0,224.9454391002655,949
