Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-06 15:00:00 to 2024-12-20 15:00:00,2024-12-21 15:00:00 to 2024-12-23 15:00:00,95,0.08,1,1.222414285714294,2.1250416010990874,100.0,210.97881317138672,957
2,2024-12-09 15:00:00 to 2024-12-23 15:00:00,2024-12-24 15:00:00 to 2024-12-26 15:00:00,100,0.08,0,0.0,0.0,0.0,208.15773487091064,959
3,2024-12-12 15:00:00 to 2024-12-26 15:00:00,2024-12-27 15:00:00 to 2024-12-29 15:00:00,120,0.072,0,0.0,0.0,0.0,209.55326318740845,960
4,2024-12-15 15:00:00 to 2024-12-29 15:00:00,2024-12-30 15:00:00 to 2025-01-01 15:00:00,120,0.072,0,0.0,0.0,0.0,206.11282110214233,961
5,2024-12-18 15:00:00 to 2025-01-01 15:00:00,2025-01-02 15:00:00 to 2025-01-04 15:00:00,180,0.026,1,1.3529749430523952,0.9085313363814516,100.0,205.6484179496765,963
6,2024-12-21 15:00:00 to 2025-01-04 15:00:00,2025-01-05 15:00:00 to 2025-01-07 15:00:00,300,0.02,1,-4.680903395722653,5.20732920910871,0.0,203.50137519836423,965
7,2024-12-24 15:00:00 to 2025-01-07 15:00:00,2025-01-08 15:00:00 to 2025-01-10 15:00:00,215,0.026,2,-8.980120597754413,10.702162606265158,0.0,198.95642757415771,966
8,2024-12-27 15:00:00 to 2025-01-10 15:00:00,2025-01-11 15:00:00 to 2025-01-13 15:00:00,60,0.02,3,-1.6435122110739937,8.716866854901026,66.66666666666666,199.27330708503723,967
9,2024-12-30 15:00:00 to 2025-01-13 15:00:00,2025-01-14 15:00:00 to 2025-01-16 15:00:00,60,0.022,1,1.7813165249088707,0.5726565687295905,100.0,197.93979907035828,969
10,2025-01-02 15:00:00 to 2025-01-16 15:00:00,2025-01-17 15:00:00 to 2025-01-19 15:00:00,20,0.026,2,4.61775527918242,1.8656765024690352,100.0,200.39927577972412,971
11,2025-01-05 15:00:00 to 2025-01-19 15:00:00,2025-01-20 15:00:00 to 2025-01-22 15:00:00,60,0.022,4,10.847994669170458,4.902194962750382,100.0,208.09677004814148,972
12,2025-01-08 15:00:00 to 2025-01-22 15:00:00,2025-01-23 15:00:00 to 2025-01-25 15:00:00,85,0.022,4,-2.6473861402078365,5.604517837705723,50.0,207.16384935379028,973
13,2025-01-11 15:00:00 to 2025-01-25 15:00:00,2025-01-26 15:00:00 to 2025-01-28 15:00:00,70,0.02,4,-5.297070502010938,13.41229107447622,50.0,207.9166169166565,975
14,2025-01-14 15:00:00 to 2025-01-28 15:00:00,2025-01-29 15:00:00 to 2025-01-31 15:00:00,85,0.076,0,0.0,0.0,0.0,208.9089207649231,977
15,2025-01-17 15:00:00 to 2025-01-31 15:00:00,2025-02-01 15:00:00 to 2025-02-03 15:00:00,85,0.072,1,-2.3589365079365052,13.419864730993345,0.0,216.83502173423767,978
16,2025-01-20 15:00:00 to 2025-02-03 15:00:00,2025-02-04 15:00:00 to 2025-02-06 15:00:00,15,0.032,2,0.6903304306484279,2.9353019981713837,50.0,210.4937269687653,979
17,2025-01-23 15:00:00 to 2025-02-06 15:00:00,2025-02-07 15:00:00 to 2025-02-09 15:00:00,15,0.032,1,-1.1957765375921008,3.941753739150003,0.0,210.442330121994,981
18,2025-01-26 15:00:00 to 2025-02-09 15:00:00,2025-02-10 15:00:00 to 2025-02-12 15:00:00,65,0.08,0,0.0,0.0,0.0,207.17214584350583,983
19,2025-01-29 15:00:00 to 2025-02-12 15:00:00,2025-02-13 15:00:00 to 2025-02-15 15:00:00,15,0.026,0,0.0,0.0,0.0,209.63465285301208,984
20,2025-02-01 15:00:00 to 2025-02-15 15:00:00,2025-02-16 15:00:00 to 2025-02-18 15:00:00,140,0.03,2,-5.1427998442037275,5.85425816529606,50.0,210.48438596725464,985
21,2025-02-04 15:00:00 to 2025-02-18 15:00:00,2025-02-19 15:00:00 to 2025-02-21 15:00:00,225,0.034,1,1.533166231050709,3.3319122576852496,100.0,205.97538208961487,987
22,2025-02-07 15:00:00 to 2025-02-21 15:00:00,2025-02-22 15:00:00 to 2025-02-24 15:00:00,25,0.022,2,0.3796314503523171,0.4972600896860967,50.0,202.369784116745,989
23,2025-02-10 15:00:00 to 2025-02-24 15:00:00,2025-02-25 15:00:00 to 2025-02-27 15:00:00,25,0.028,4,5.52826264160296,3.0198148459196226,100.0,201.8452341556549,990
24,2025-02-13 15:00:00 to 2025-02-27 15:00:00,2025-02-28 15:00:00 to 2025-03-02 15:00:00,20,0.03,1,-0.0085834348355638,0.9567461911265958,0.0,205.6412677764893,991
25,2025-02-16 15:00:00 to 2025-03-02 15:00:00,2025-03-03 15:00:00 to 2025-03-05 15:00:00,240,0.03,1,-5.0189034747197905,11.295674400230654,0.0,205.66355204582217,993
26,2025-02-19 15:00:00 to 2025-03-05 15:00:00,2025-03-06 15:00:00 to 2025-03-08 15:00:00,215,0.06,0,0.0,0.0,0.0,206.51740384101868,995
