Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-02-29 15:00:00 to 2024-03-14 15:00:00,2024-03-15 15:00:00 to 2024-03-17 15:00:00,85,0.026,2,-2.311606383570179,9.683747207777966,50.0,211.8316600322723,817
2,2024-03-03 15:00:00 to 2024-03-17 15:00:00,2024-03-18 15:00:00 to 2024-03-20 15:00:00,140,0.026,3,-4.457552448149327,18.547797540593905,66.66666666666666,207.18801617622375,818
3,2024-03-06 15:00:00 to 2024-03-20 15:00:00,2024-03-21 15:00:00 to 2024-03-23 15:00:00,170,0.034,1,1.0243931148768024,1.4240975732626118,100.0,207.2111988067627,819
4,2024-03-09 15:00:00 to 2024-03-23 15:00:00,2024-03-24 15:00:00 to 2024-03-26 15:00:00,155,0.028,1,1.704005628517825,0.5137424594815441,100.0,213.52167892456055,821
5,2024-03-12 15:00:00 to 2024-03-26 15:00:00,2024-03-27 15:00:00 to 2024-03-29 15:00:00,130,0.02,2,-0.8576166975742308,4.05339124136613,50.0,208.47103905677795,823
6,2024-03-15 15:00:00 to 2024-03-29 15:00:00,2024-03-30 15:00:00 to 2024-04-01 15:00:00,160,0.028,2,-1.4502404513008695,4.663611372752718,50.0,206.568706035614,824
7,2024-03-18 15:00:00 to 2024-04-01 15:00:00,2024-04-02 15:00:00 to 2024-04-04 15:00:00,65,0.02,2,-3.0869928847336996,6.985440014406325,0.0,202.47020077705383,825
8,2024-03-21 15:00:00 to 2024-04-04 15:00:00,2024-04-05 15:00:00 to 2024-04-07 15:00:00,45,0.024,1,-3.3755615955378016,5.787457994869419,0.0,201.73689317703247,827
9,2024-03-24 15:00:00 to 2024-04-07 15:00:00,2024-04-08 15:00:00 to 2024-04-10 15:00:00,40,0.026,1,-4.810276378347425,7.793780942092309,0.0,201.71845078468323,829
10,2024-03-27 15:00:00 to 2024-04-10 15:00:00,2024-04-11 15:00:00 to 2024-04-13 15:00:00,190,0.044,1,-19.847632715916607,22.339183321493337,0.0,205.39409828186035,830
11,2024-03-30 15:00:00 to 2024-04-13 15:00:00,2024-04-14 15:00:00 to 2024-04-16 15:00:00,20,0.072,0,0.0,0.0,0.0,207.75453901290896,831
12,2024-04-02 15:00:00 to 2024-04-16 15:00:00,2024-04-17 15:00:00 to 2024-04-19 15:00:00,20,0.072,0,0.0,0.0,0.0,205.30554819107056,833
13,2024-04-05 15:00:00 to 2024-04-19 15:00:00,2024-04-20 15:00:00 to 2024-04-22 15:00:00,20,0.072,0,0.0,0.0,0.0,207.14076614379883,835
14,2024-04-08 15:00:00 to 2024-04-22 15:00:00,2024-04-23 15:00:00 to 2024-04-25 15:00:00,20,0.072,0,0.0,0.0,0.0,209.32290315628052,836
15,2024-04-11 15:00:00 to 2024-04-25 15:00:00,2024-04-26 15:00:00 to 2024-04-28 15:00:00,215,0.022,1,-2.3253851460481747,7.743188346786904,0.0,212.8870530128479,837
16,2024-04-14 15:00:00 to 2024-04-28 15:00:00,2024-04-29 15:00:00 to 2024-05-01 15:00:00,135,0.026,2,-2.4405151931659383,9.788101482277284,50.0,211.86389088630676,839
17,2024-04-17 15:00:00 to 2024-05-01 15:00:00,2024-05-02 15:00:00 to 2024-05-04 15:00:00,115,0.048,0,0.0,0.0,0.0,205.51298189163208,841
18,2024-04-20 15:00:00 to 2024-05-04 15:00:00,2024-05-05 15:00:00 to 2024-05-07 15:00:00,110,0.036,2,3.524110684494681,2.2210155317584586,100.0,206.06832814216617,842
19,2024-04-23 15:00:00 to 2024-05-07 15:00:00,2024-05-08 15:00:00 to 2024-05-10 15:00:00,115,0.034,3,2.3685788967201735,3.3616402699347088,66.66666666666666,208.84379887580872,843
20,2024-04-26 15:00:00 to 2024-05-10 15:00:00,2024-05-11 15:00:00 to 2024-05-13 15:00:00,115,0.036,2,-1.9775999963127833,7.299301655525043,50.0,203.73332810401917,845
21,2024-04-29 15:00:00 to 2024-05-13 15:00:00,2024-05-14 15:00:00 to 2024-05-16 15:00:00,205,0.05,1,0.9296760360238112,4.44792807325402,100.0,205.822007894516,847
22,2024-05-02 15:00:00 to 2024-05-16 15:00:00,2024-05-17 15:00:00 to 2024-05-19 15:00:00,205,0.026,2,0.7506937968913917,1.3781347237706247,50.0,205.3475711345673,848
23,2024-05-05 15:00:00 to 2024-05-19 15:00:00,2024-05-20 15:00:00 to 2024-05-22 15:00:00,125,0.026,2,2.5152567689973875,3.4545206476587307,50.0,206.2632818222046,849
24,2024-05-08 15:00:00 to 2024-05-22 15:00:00,2024-05-23 15:00:00 to 2024-05-25 15:00:00,15,0.02,3,-0.5629966880848224,3.8994928841672216,33.33333333333333,203.62093806266785,851
25,2024-05-11 15:00:00 to 2024-05-25 15:00:00,2024-05-26 15:00:00 to 2024-05-28 15:00:00,300,0.022,0,0.0,0.0,0.0,202.95186591148376,853
26,2024-05-14 15:00:00 to 2024-05-28 15:00:00,2024-05-29 15:00:00 to 2024-05-31 15:00:00,65,0.02,3,3.0729557592946732,2.1490301090304675,100.0,199.97235894203183,854
27,2024-05-17 15:00:00 to 2024-05-31 15:00:00,2024-06-01 15:00:00 to 2024-06-03 15:00:00,80,0.02,0,0.0,0.0,0.0,203.1098132133484,855
28,2024-05-20 15:00:00 to 2024-06-03 15:00:00,2024-06-04 15:00:00 to 2024-06-06 15:00:00,80,0.02,4,2.148710080216788,5.286236447004023,50.0,199.46121621131897,857
