Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-12-31 03:30:00 to 2022-01-14 03:30:00,2022-01-15 03:30:00 to 2022-01-17 03:30:00,295,0.046,1,-1.9359905284435444,2.225858473737333,0.0,213.40788316726685,421
2,2022-01-03 03:30:00 to 2022-01-17 03:30:00,2022-01-18 03:30:00 to 2022-01-20 03:30:00,290,0.05,2,0.3229595927986884,8.601082903732557,50.0,218.48984909057617,423
3,2022-01-06 03:30:00 to 2022-01-20 03:30:00,2022-01-21 03:30:00 to 2022-01-23 03:30:00,190,0.042,1,-23.16140927951038,29.866542904527247,0.0,217.44931197166443,425
4,2022-01-09 03:30:00 to 2022-01-23 03:30:00,2022-01-24 03:30:00 to 2022-01-26 03:30:00,50,0.052,2,3.6683744012441095,5.3350710259256005,100.0,206.46122312545776,426
5,2022-01-12 03:30:00 to 2022-01-26 03:30:00,2022-01-27 03:30:00 to 2022-01-29 03:30:00,215,0.056,2,4.244933463714988,3.2445400073740713,100.0,211.76676988601685,427
6,2022-01-15 03:30:00 to 2022-01-29 03:30:00,2022-01-30 03:30:00 to 2022-02-01 03:30:00,190,0.042,1,0.8619476019030481,2.8872562752825144,100.0,221.577201128006,429
7,2022-01-18 03:30:00 to 2022-02-01 03:30:00,2022-02-02 03:30:00 to 2022-02-04 03:30:00,220,0.034,2,7.256045854643453,2.6969585975725887,100.0,216.92880821228027,431
8,2022-01-21 03:30:00 to 2022-02-04 03:30:00,2022-02-05 03:30:00 to 2022-02-07 03:30:00,195,0.036,0,0.0,0.0,0.0,215.24880719184875,432
9,2022-01-24 03:30:00 to 2022-02-07 03:30:00,2022-02-08 03:30:00 to 2022-02-10 03:30:00,80,0.02,2,0.0961087847650014,3.5966008836579824,50.0,212.906760931015,433
10,2022-01-27 03:30:00 to 2022-02-10 03:30:00,2022-02-11 03:30:00 to 2022-02-13 03:30:00,70,0.02,2,-3.4218446179247444,8.837027701698128,50.0,203.24345421791077,435
11,2022-01-30 03:30:00 to 2022-02-13 03:30:00,2022-02-14 03:30:00 to 2022-02-16 03:30:00,25,0.02,3,1.7786065186451558,1.476655177811741,100.0,207.53702116012573,437
12,2022-02-02 03:30:00 to 2022-02-16 03:30:00,2022-02-17 03:30:00 to 2022-02-19 03:30:00,25,0.02,4,-2.342922727214409,5.881730874219991,75.0,208.60050702095032,438
13,2022-02-05 03:30:00 to 2022-02-19 03:30:00,2022-02-20 03:30:00 to 2022-02-22 03:30:00,65,0.048,3,-1.3047064996529845,5.439212336478658,66.66666666666666,208.38068771362305,439
14,2022-02-08 03:30:00 to 2022-02-22 03:30:00,2022-02-23 03:30:00 to 2022-02-25 03:30:00,70,0.05,1,-8.863508137312037,14.149689345520526,0.0,210.16190814971924,441
15,2022-02-11 03:30:00 to 2022-02-25 03:30:00,2022-02-26 03:30:00 to 2022-02-28 03:30:00,300,0.08,0,0.0,0.0,0.0,212.75689387321472,443
16,2022-02-14 03:30:00 to 2022-02-28 03:30:00,2022-03-01 03:30:00 to 2022-03-03 03:30:00,245,0.07,0,0.0,0.0,0.0,207.29280710220337,444
17,2022-02-17 03:30:00 to 2022-03-03 03:30:00,2022-03-04 03:30:00 to 2022-03-06 03:30:00,245,0.07,1,1.2970985349518742,2.1235892256716147,100.0,215.0175819396973,445
18,2022-02-20 03:30:00 to 2022-03-06 03:30:00,2022-03-07 03:30:00 to 2022-03-09 03:30:00,195,0.078,1,1.416040292701018,1.888708599133,100.0,211.73962378501892,447
19,2022-02-23 03:30:00 to 2022-03-09 03:30:00,2022-03-10 03:30:00 to 2022-03-12 03:30:00,140,0.042,1,0.2239550142247571,2.480970839170753,100.0,208.00944304466248,449
20,2022-02-26 03:30:00 to 2022-03-12 03:30:00,2022-03-13 03:30:00 to 2022-03-15 03:30:00,90,0.03,1,1.1630796795338756,0.2220459986485231,100.0,210.7810571193695,450
21,2022-03-01 03:30:00 to 2022-03-15 03:30:00,2022-03-16 03:30:00 to 2022-03-18 03:30:00,80,0.028,0,0.0,0.0,0.0,207.8004229068756,451
22,2022-03-04 03:30:00 to 2022-03-18 03:30:00,2022-03-19 03:30:00 to 2022-03-21 03:30:00,155,0.028,1,-0.9828942848135191,1.9607413144557424,0.0,204.23868894577024,453
23,2022-03-07 03:30:00 to 2022-03-21 03:30:00,2022-03-22 03:30:00 to 2022-03-24 03:30:00,170,0.02,1,1.0217193415965993,0.4070066568874239,100.0,203.1242837905884,455
24,2022-03-10 03:30:00 to 2022-03-24 03:30:00,2022-03-25 03:30:00 to 2022-03-27 03:30:00,150,0.02,1,1.6544833310855027,1.8193170566283587,100.0,202.1158308982849,456
25,2022-03-13 03:30:00 to 2022-03-27 03:30:00,2022-03-28 03:30:00 to 2022-03-30 03:30:00,150,0.02,2,6.44300817840347,2.931527057677601,100.0,197.2956290245056,457
26,2022-03-16 03:30:00 to 2022-03-30 03:30:00,2022-03-31 03:30:00 to 2022-04-02 03:30:00,270,0.02,1,3.2844711794110117,5.589363714927475,100.0,198.95772194862369,459
27,2022-03-19 03:30:00 to 2022-04-02 03:30:00,2022-04-03 03:30:00 to 2022-04-05 03:30:00,245,0.026,2,2.980613982695286,0.2133979382155168,100.0,203.80442094802856,461
28,2022-03-22 03:30:00 to 2022-04-05 03:30:00,2022-04-06 03:30:00 to 2022-04-08 03:30:00,295,0.022,2,-7.002367727380479,15.946729108498475,50.0,206.6579978466034,462
29,2022-03-25 03:30:00 to 2022-04-08 03:30:00,2022-04-09 03:30:00 to 2022-04-11 03:30:00,270,0.026,4,3.420450548108256,1.3590773258941298,75.0,208.1490888595581,463
30,2022-03-28 03:30:00 to 2022-04-11 03:30:00,2022-04-12 03:30:00 to 2022-04-14 03:30:00,300,0.078,1,2.5081586500132835,4.395769252379528,100.0,211.873055934906,465
31,2022-03-31 03:30:00 to 2022-04-14 03:30:00,2022-04-15 03:30:00 to 2022-04-17 03:30:00,130,0.02,1,0.584093712499216,1.1698275173105346,100.0,211.53890919685364,467
32,2022-04-03 03:30:00 to 2022-04-17 03:30:00,2022-04-18 03:30:00 to 2022-04-20 03:30:00,225,0.068,0,0.0,0.0,0.0,213.35290026664737,468
33,2022-04-06 03:30:00 to 2022-04-20 03:30:00,2022-04-21 03:30:00 to 2022-04-23 03:30:00,80,0.026,1,1.7970079007904496,1.577817247240955,100.0,209.81639885902405,469
34,2022-04-09 03:30:00 to 2022-04-23 03:30:00,2022-04-24 03:30:00 to 2022-04-26 03:30:00,225,0.064,1,7.918505833084055,1.12751070280452,100.0,206.42079210281372,471
35,2022-04-12 03:30:00 to 2022-04-26 03:30:00,2022-04-27 03:30:00 to 2022-04-29 03:30:00,260,0.026,2,4.1241757682485325,4.6146788519168185,50.0,204.8232779502869,473
36,2022-04-15 03:30:00 to 2022-04-29 03:30:00,2022-04-30 03:30:00 to 2022-05-02 03:30:00,250,0.042,2,-4.019303439427622,16.87849649603896,50.0,208.97520875930783,474
37,2022-04-18 03:30:00 to 2022-05-02 03:30:00,2022-05-03 03:30:00 to 2022-05-05 03:30:00,230,0.042,1,1.8014956427015203,0.7640056387798071,100.0,208.95349097251892,475
38,2022-04-21 03:30:00 to 2022-05-05 03:30:00,2022-05-06 03:30:00 to 2022-05-08 03:30:00,250,0.042,1,-6.298354770682618,8.079420060120082,0.0,207.75026106834412,477
39,2022-04-24 03:30:00 to 2022-05-08 03:30:00,2022-05-09 03:30:00 to 2022-05-11 03:30:00,70,0.056,2,-1.9860614520734456,13.477441914042736,0.0,209.7202172279358,479
40,2022-04-27 03:30:00 to 2022-05-11 03:30:00,2022-05-12 03:30:00 to 2022-05-14 03:30:00,20,0.068,2,-7.801008662495843,16.642731861326048,50.0,211.11634182929993,480
