Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-24 12:00:00 to 2023-03-10 12:00:00,2023-03-11 12:00:00 to 2023-03-13 12:00:00,165,0.078,1,2.9209230245231628,2.172172780921776,100.0,216.92995619773865,631
2,2023-02-27 12:00:00 to 2023-03-13 12:00:00,2023-03-14 12:00:00 to 2023-03-16 12:00:00,165,0.078,1,0.7172583771808423,2.515337286143845,0.0,220.1984260082245,633
3,2023-03-02 12:00:00 to 2023-03-16 12:00:00,2023-03-17 12:00:00 to 2023-03-19 12:00:00,20,0.04,1,1.2019340599455064,0.5219024269671109,100.0,214.7994396686554,635
4,2023-03-05 12:00:00 to 2023-03-19 12:00:00,2023-03-20 12:00:00 to 2023-03-22 12:00:00,55,0.02,5,1.8998544034202856,4.149169835777091,60.0,215.24695086479187,636
5,2023-03-08 12:00:00 to 2023-03-22 12:00:00,2023-03-23 12:00:00 to 2023-03-25 12:00:00,285,0.034,2,1.0963311785943004,4.08716979565781,50.0,217.6670126914978,637
6,2023-03-11 12:00:00 to 2023-03-25 12:00:00,2023-03-26 12:00:00 to 2023-03-28 12:00:00,35,0.02,1,-1.8031043724330449,6.189619297336661,0.0,208.23468112945557,639
7,2023-03-14 12:00:00 to 2023-03-28 12:00:00,2023-03-29 12:00:00 to 2023-03-31 12:00:00,195,0.032,1,0.6819561855794382,1.871450696481879,0.0,214.25485396385193,641
8,2023-03-17 12:00:00 to 2023-03-31 12:00:00,2023-04-01 12:00:00 to 2023-04-03 12:00:00,215,0.028,1,0.6764401966138758,1.0927870802956812,100.0,212.25029397010803,642
9,2023-03-20 12:00:00 to 2023-04-03 12:00:00,2023-04-04 12:00:00 to 2023-04-06 12:00:00,215,0.028,0,0.0,0.0,0.0,209.2521960735321,643
10,2023-03-23 12:00:00 to 2023-04-06 12:00:00,2023-04-07 12:00:00 to 2023-04-09 12:00:00,220,0.02,1,-6.812067519404409,8.283954649137074,0.0,205.87950992584229,645
11,2023-03-26 12:00:00 to 2023-04-09 12:00:00,2023-04-10 12:00:00 to 2023-04-12 12:00:00,105,0.028,1,-3.629052290837954,3.85959758170608,0.0,206.54390597343445,647
12,2023-03-29 12:00:00 to 2023-04-12 12:00:00,2023-04-13 12:00:00 to 2023-04-15 12:00:00,105,0.028,2,2.2953561422365603,0.7986956262408329,100.0,203.21708798408508,648
13,2023-04-01 12:00:00 to 2023-04-15 12:00:00,2023-04-16 12:00:00 to 2023-04-18 12:00:00,110,0.038,0,0.0,0.0,0.0,202.7622630596161,649
14,2023-04-04 12:00:00 to 2023-04-18 12:00:00,2023-04-19 12:00:00 to 2023-04-21 12:00:00,110,0.03,1,-16.73931342885262,16.9585184728037,0.0,206.04953980445865,651
15,2023-04-07 12:00:00 to 2023-04-21 12:00:00,2023-04-22 12:00:00 to 2023-04-24 12:00:00,45,0.05,0,0.0,0.0,0.0,205.9389860630035,653
16,2023-04-10 12:00:00 to 2023-04-24 12:00:00,2023-04-25 12:00:00 to 2023-04-27 12:00:00,110,0.078,0,0.0,0.0,0.0,205.5814950466156,654
17,2023-04-13 12:00:00 to 2023-04-27 12:00:00,2023-04-28 12:00:00 to 2023-04-30 12:00:00,45,0.05,0,0.0,0.0,0.0,209.41612911224365,655
