Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-03-01 12:30:00 to 2024-03-15 12:30:00,2024-03-16 12:30:00 to 2024-03-18 12:30:00,55,0.036,1,-4.055640073691374,8.548458034009265,0.0,208.04210996627808,817
2,2024-03-04 12:30:00 to 2024-03-18 12:30:00,2024-03-19 12:30:00 to 2024-03-21 12:30:00,50,0.034,3,5.787361543428469,2.0873014461128565,100.0,206.07785606384277,819
3,2024-03-07 12:30:00 to 2024-03-21 12:30:00,2024-03-22 12:30:00 to 2024-03-24 12:30:00,40,0.02,4,7.505689827088535,1.1707371702725051,75.0,205.8020579814911,820
4,2024-03-10 12:30:00 to 2024-03-24 12:30:00,2024-03-25 12:30:00 to 2024-03-27 12:30:00,40,0.02,3,-0.3992631839436035,2.7181154009725,66.66666666666666,211.42777609825137,821
5,2024-03-13 12:30:00 to 2024-03-27 12:30:00,2024-03-28 12:30:00 to 2024-03-30 12:30:00,40,0.02,2,0.6920176105745122,0.6188646690650554,100.0,210.3323278427124,823
6,2024-03-16 12:30:00 to 2024-03-30 12:30:00,2024-03-31 12:30:00 to 2024-04-02 12:30:00,40,0.02,5,3.730973787914645,1.720764333218541,80.0,207.31918811798096,825
7,2024-03-19 12:30:00 to 2024-04-02 12:30:00,2024-04-03 12:30:00 to 2024-04-05 12:30:00,40,0.02,2,1.0070278983632124,1.2030651729170805,100.0,199.54647397994995,826
8,2024-03-22 12:30:00 to 2024-04-05 12:30:00,2024-04-06 12:30:00 to 2024-04-08 12:30:00,40,0.02,0,0.0,0.0,0.0,207.21698784828183,827
9,2024-03-25 12:30:00 to 2024-04-08 12:30:00,2024-04-09 12:30:00 to 2024-04-11 12:30:00,280,0.026,0,0.0,0.0,0.0,204.1716270446777,829
10,2024-03-28 12:30:00 to 2024-04-11 12:30:00,2024-04-12 12:30:00 to 2024-04-14 12:30:00,45,0.02,6,2.380122411377324,12.892329498372144,66.66666666666666,202.48107481002808,831
11,2024-03-31 12:30:00 to 2024-04-14 12:30:00,2024-04-15 12:30:00 to 2024-04-17 12:30:00,185,0.074,1,2.8527991182143886,2.35906338141989,100.0,207.00684595108032,832
12,2024-04-03 12:30:00 to 2024-04-17 12:30:00,2024-04-18 12:30:00 to 2024-04-20 12:30:00,190,0.076,1,1.2450345829992149,1.4178642586657242,0.0,203.16801691055295,833
13,2024-04-06 12:30:00 to 2024-04-20 12:30:00,2024-04-21 12:30:00 to 2024-04-23 12:30:00,140,0.062,1,0.1783110920403487,1.0808071229350025,0.0,209.0518388748169,835
14,2024-04-09 12:30:00 to 2024-04-23 12:30:00,2024-04-24 12:30:00 to 2024-04-26 12:30:00,140,0.062,1,2.237934873428585,0.8961820262871697,100.0,215.76214718818665,837
15,2024-04-12 12:30:00 to 2024-04-26 12:30:00,2024-04-27 12:30:00 to 2024-04-29 12:30:00,150,0.044,0,0.0,0.0,0.0,209.57315587997437,838
16,2024-04-15 12:30:00 to 2024-04-29 12:30:00,2024-04-30 12:30:00 to 2024-05-02 12:30:00,150,0.044,1,0.6212005771210898,3.984227964689583,100.0,209.23950004577637,839
17,2024-04-18 12:30:00 to 2024-05-02 12:30:00,2024-05-03 12:30:00 to 2024-05-05 12:30:00,145,0.044,0,0.0,0.0,0.0,209.94092392921448,841
18,2024-04-21 12:30:00 to 2024-05-05 12:30:00,2024-05-06 12:30:00 to 2024-05-08 12:30:00,130,0.042,0,0.0,0.0,0.0,208.60937094688416,843
19,2024-04-24 12:30:00 to 2024-05-08 12:30:00,2024-05-09 12:30:00 to 2024-05-11 12:30:00,115,0.02,1,0.2143537870373256,0.4633301236238647,0.0,202.63779091835025,844
20,2024-04-27 12:30:00 to 2024-05-11 12:30:00,2024-05-12 12:30:00 to 2024-05-14 12:30:00,110,0.02,3,1.5710700084627025,2.7768949606601323,66.66666666666666,203.0837559700012,845
