Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-27 04:45:00,10000.0,10396.214096629968,3.9621409662996765,0.0,14.044350273394093,2,50.0
top5,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10396.214096629968,11038.880012494103,6.1817302903800275,-2.0119817920781102,19.71193715243583,2,50.0
top5,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,11038.880012494103,12072.203190235943,9.360761024418206,-2.4683839370886917,23.727567405852167,4,50.0
top5,2020,5,May,2020-05,2020-05-01 05:00:00,2020-05-28 08:00:00,12291.327730438737,12396.255811267172,0.8536757226689673,0.0,4.5172273249508645,2,0.0
top5,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,12396.255811267172,14570.726522412571,17.541350745351547,0.0,30.802325539098486,4,25.0
top5,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,14570.726522412571,15132.694350952735,3.8568277818937124,-0.4783970258305681,11.027420035604354,3,66.66666666666666
top5,2020,8,August,2020-08,2020-08-03 00:45:00,2020-08-31 08:15:00,14960.83418192254,16231.103765370279,8.490633396516278,-3.5171252963071997,22.10377880667376,6,83.33333333333334
top5,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-29 08:00:00,16464.316022131763,14969.180642551648,-9.081065849138925,-12.155475702996698,51.16339962051072,5,40.0
top5,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 07:00:00,14969.180642551648,15382.601602065803,2.761814219403269,-1.1102230246251565e-14,5.42753344962397,2,0.0
top5,2020,11,November,2020-11,2020-11-02 15:45:00,2020-11-30 16:15:00,15508.054114015104,16100.479000619254,3.8201110355215784,-15.425908246197118,54.10160071843704,4,100.0
top5,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-31 16:30:00,16637.00925294472,19055.35529778825,14.535942176118489,-2.631610357193437,19.737386950769945,6,50.0
top5,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 07:45:00,19145.830632400823,18969.219502372012,-0.9224521694552568,-16.298325165331928,58.838211247102066,6,66.66666666666666
top5,2021,2,February,2021-02,2021-02-01 07:00:00,2021-02-28 08:00:00,18969.219502372012,24349.33062779428,28.36232204888298,-4.139102730295619,24.838329353443918,8,75.0
top5,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-31 13:00:00,24349.33062779428,28059.36458245443,15.236697925589858,-8.306001934412732,50.31596201720561,6,83.33333333333334
top5,2021,4,April,2021-04,2021-04-01 09:00:00,2021-04-29 09:00:00,28059.36458245443,31470.06816922161,12.155312985597334,-12.209776249834636,46.99209780900111,10,70.0
top5,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,31470.06816922161,32406.96798998978,2.977114049230045,-11.805486763889817,57.32244601087907,6,50.0
top5,2021,6,June,2021-06,2021-06-04 09:00:00,2021-06-28 07:00:00,32406.96798998978,31346.00954360805,-3.2738590253474253,-7.768473587458158,33.22431539595031,4,50.0
top5,2021,7,July,2021-07,2021-07-02 08:00:00,2021-07-31 07:00:00,31346.00954360805,34003.31138076583,8.477320959980528,-8.315394185364822,32.325049455134106,3,33.33333333333333
top5,2021,8,August,2021-08,2021-08-01 18:45:00,2021-08-31 07:00:00,33798.33031616658,39243.76309752897,16.11154376687567,-2.2582399620071247,21.322641399853588,5,60.0
top5,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 00:00:00,39557.90073927302,46959.12079251782,18.70984029720484,-1.433966886681981,17.14674836301088,8,62.5
top5,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-31 07:00:00,46959.12079251782,46616.40702616146,-0.7298129960111255,-6.325307997824625,28.855099847868253,6,50.0
top5,2021,11,November,2021-11,2021-11-02 01:00:00,2021-11-28 23:30:00,47982.40713340701,41132.53925297669,-14.275790419153866,-16.41027319143674,42.0170312114555,5,60.0
top5,2021,12,December,2021-12,2021-12-01 08:00:00,2021-12-31 23:15:00,41132.53925297669,43050.466760067095,4.662798703709026,-4.710061068096538,24.942454238450733,5,40.0
top5,2022,1,January,2022-01,2022-01-01 00:45:00,2022-01-31 03:30:00,45938.81433881304,47136.196202326915,2.6064709782947615,-3.3051122733730787,20.66981898492665,6,50.0
top5,2022,2,February,2022-02,2022-02-02 15:00:00,2022-02-28 15:00:00,47035.5778131422,51166.72374499984,8.783023668316382,-1.4878295454545443,17.040483187867412,3,33.33333333333333
top5,2022,3,March,2022-03,2022-03-03 03:30:00,2022-03-31 07:00:00,51166.72374499984,52971.63776490341,3.5275153220650557,-0.8635665026008099,10.419058549499107,3,33.33333333333333
top5,2022,4,April,2022-04,2022-04-01 08:15:00,2022-04-29 07:45:00,54240.36427027717,57712.23834709703,6.400904793927409,0.0,24.35965321150353,4,25.0
top5,2022,5,May,2022-05,2022-05-01 16:00:00,2022-05-30 03:30:00,58169.481318888975,49115.28323033609,-15.565203407809614,-17.20545489992996,63.90934410958208,5,20.0
top5,2022,6,June,2022-06,2022-06-03 04:00:00,2022-06-29 00:30:00,49115.28323033609,44136.894839126195,-10.13612884580698,-14.634141303968917,70.17158736186786,4,50.0
top5,2022,7,July,2022-07,2022-07-01 07:00:00,2022-07-29 08:00:00,44136.89483912619,47935.62291254938,8.606695344720361,-2.965303949094844,25.956462291942508,4,75.0
top5,2022,8,August,2022-08,2022-08-03 08:00:00,2022-08-30 07:00:00,47935.62291254938,46196.94146892804,-3.6271176590179643,-6.882900846114848,29.36900130387646,4,25.0
top5,2022,9,September,2022-09,2022-09-02 03:45:00,2022-09-28 19:00:00,46727.00749921295,50042.88591060047,7.096278124473021,-2.2135545728528494,21.761249367068306,3,66.66666666666666
top5,2022,10,October,2022-10,2022-10-01 03:30:00,2022-10-31 16:15:00,50042.88591060047,51995.83410580111,3.902549102962416,-0.9312416049675809,14.239465124722111,2,0.0
top5,2022,11,November,2022-11,2022-11-02 07:00:00,2022-11-30 07:00:00,52470.30965363808,52357.04976424291,-0.21585519533391384,-9.57746697220333,49.058194056366794,3,33.33333333333333
top5,2022,12,December,2022-12,2022-12-04 07:00:00,2022-12-31 06:15:00,52357.04976424291,55266.51422269033,5.556967918452949,-1.1607878584487197,15.491711203714054,4,50.0
top5,2023,1,January,2023-01,2023-01-01 08:00:00,2023-01-29 03:30:00,55266.51422269033,66040.64081612055,19.494854605841528,-5.004964916786037,22.68939065761185,3,66.66666666666666
top5,2023,2,February,2023-02,2023-02-02 03:30:00,2023-02-27 03:00:00,66040.64081612055,72965.25962236144,10.485390088084356,-2.5438403569302936,33.13390004008395,3,33.33333333333333
top5,2023,3,March,2023-03,2023-03-01 22:15:00,2023-03-31 07:00:00,74120.12701630189,79954.91073807789,7.872063846426891,-0.25048746029644464,23.27184751683974,5,40.0
top5,2023,4,April,2023-04,2023-04-02 08:45:00,2023-04-27 03:00:00,78262.42671640786,85418.45220185502,9.14362841236418,-3.3952714200058853,27.53864824099898,5,80.0
top5,2023,5,May,2023-05,2023-05-01 14:45:00,2023-05-29 07:00:00,85418.45220185502,93478.09588968201,9.435483177312776,-1.3365062682940576,16.3204188440941,6,66.66666666666666
top5,2023,6,June,2023-06,2023-06-02 03:00:00,2023-06-30 03:30:00,93478.09588968201,95528.83582580948,2.1938186872651366,-1.8274889573842046,13.06876767002072,3,0.0
top5,2023,7,July,2023-07,2023-07-04 07:00:00,2023-07-29 02:30:00,95528.83582580948,99829.64357195974,4.502104216984804,0.0,10.259012633058592,4,25.0
top5,2023,8,August,2023-08,2023-08-01 02:30:00,2023-08-29 12:00:00,99829.64357195974,102664.12821413694,2.83932160905096,-1.1102230246251565e-14,5.247066364593116,5,60.0
top5,2023,9,September,2023-09,2023-09-02 08:00:00,2023-09-30 12:00:00,102664.12821413694,104070.82530442839,1.3701933818181855,0.0,4.392420516011825,4,25.0
top5,2023,10,October,2023-10,2023-10-04 03:00:00,2023-10-31 16:45:00,104070.82530442839,110546.19192151178,6.222076742585281,-1.9460320358826944,20.22450417588351,3,33.33333333333333
