Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-05-06 16:30:00 to 2023-05-20 16:30:00,2023-05-21 16:30:00 to 2023-05-23 16:30:00,285,0.044,1,0.5771496774193656,1.888792486600713,0.0,203.98111987113953,667
2,2023-05-09 16:30:00 to 2023-05-23 16:30:00,2023-05-24 16:30:00 to 2023-05-26 16:30:00,245,0.034,3,5.3371687954771545,1.060317941912084,100.0,203.79415917396545,669
3,2023-05-12 16:30:00 to 2023-05-26 16:30:00,2023-05-27 16:30:00 to 2023-05-29 16:30:00,300,0.024,1,0.1713082932692304,0.9228022729788016,0.0,202.77641701698303,670
4,2023-05-15 16:30:00 to 2023-05-29 16:30:00,2023-05-30 16:30:00 to 2023-06-01 16:30:00,295,0.022,1,-4.549010039481964,7.115621515812163,0.0,201.27958703041077,671
5,2023-05-18 16:30:00 to 2023-06-01 16:30:00,2023-06-02 16:30:00 to 2023-06-04 16:30:00,235,0.026,1,1.1985721666128484,0.0868686028794725,100.0,200.02335715293884,673
6,2023-05-21 16:30:00 to 2023-06-04 16:30:00,2023-06-05 16:30:00 to 2023-06-07 16:30:00,40,0.02,3,-6.272976196709696,6.7155419266827545,33.33333333333333,199.48438000679016,675
7,2023-05-24 16:30:00 to 2023-06-07 16:30:00,2023-06-08 16:30:00 to 2023-06-10 16:30:00,250,0.066,1,-3.632425453497544,10.74862730370798,0.0,199.91320085525513,676
8,2023-05-27 16:30:00 to 2023-06-10 16:30:00,2023-06-11 16:30:00 to 2023-06-13 16:30:00,250,0.066,1,0.5558515037594043,2.574817665461624,100.0,204.14351391792297,677
9,2023-05-30 16:30:00 to 2023-06-13 16:30:00,2023-06-14 16:30:00 to 2023-06-16 16:30:00,205,0.08,0,0.0,0.0,0.0,200.906583070755,679
10,2023-06-02 16:30:00 to 2023-06-16 16:30:00,2023-06-17 16:30:00 to 2023-06-19 16:30:00,205,0.08,0,0.0,0.0,0.0,204.1340537071228,681
11,2023-06-05 16:30:00 to 2023-06-19 16:30:00,2023-06-20 16:30:00 to 2023-06-22 16:30:00,35,0.058,0,0.0,0.0,0.0,200.80498480796817,682
12,2023-06-08 16:30:00 to 2023-06-22 16:30:00,2023-06-23 16:30:00 to 2023-06-25 16:30:00,210,0.024,4,6.456819659912016,2.2782955492563177,100.0,201.76996397972107,683
13,2023-06-11 16:30:00 to 2023-06-25 16:30:00,2023-06-26 16:30:00 to 2023-06-28 16:30:00,245,0.02,1,-6.215317002851862,7.07752011983205,0.0,202.17702102661133,685
14,2023-06-14 16:30:00 to 2023-06-28 16:30:00,2023-06-29 16:30:00 to 2023-07-01 16:30:00,190,0.02,1,1.6357665996879405,2.8082976864272737,100.0,196.99170112609863,687
15,2023-06-17 16:30:00 to 2023-07-01 16:30:00,2023-07-02 16:30:00 to 2023-07-04 16:30:00,25,0.02,1,0.3347905582615385,0.3214777070063792,100.0,199.97237610816956,688
16,2023-06-20 16:30:00 to 2023-07-04 16:30:00,2023-07-05 16:30:00 to 2023-07-07 16:30:00,25,0.02,2,1.6327361207011382,1.6964836298107882,100.0,203.20385694503784,689
17,2023-06-23 16:30:00 to 2023-07-07 16:30:00,2023-07-08 16:30:00 to 2023-07-10 16:30:00,25,0.02,0,0.0,0.0,0.0,201.6223781108856,691
18,2023-06-26 16:30:00 to 2023-07-10 16:30:00,2023-07-11 16:30:00 to 2023-07-13 16:30:00,25,0.02,0,0.0,0.0,0.0,199.71448802948,693
19,2023-06-29 16:30:00 to 2023-07-13 16:30:00,2023-07-14 16:30:00 to 2023-07-16 16:30:00,25,0.02,2,-0.4580901331815766,3.094684726147449,50.0,207.5486159324646,694
20,2023-07-02 16:30:00 to 2023-07-16 16:30:00,2023-07-17 16:30:00 to 2023-07-19 16:30:00,260,0.03,1,-1.900610208177368,3.789784312544934,0.0,198.1194519996643,695
21,2023-07-05 16:30:00 to 2023-07-19 16:30:00,2023-07-20 16:30:00 to 2023-07-22 16:30:00,75,0.024,0,0.0,0.0,0.0,196.6058428287506,697
22,2023-07-08 16:30:00 to 2023-07-22 16:30:00,2023-07-23 16:30:00 to 2023-07-25 16:30:00,75,0.022,2,0.5486009505559741,2.1039561492544196,50.0,195.46962785720825,699
23,2023-07-11 16:30:00 to 2023-07-25 16:30:00,2023-07-26 16:30:00 to 2023-07-28 16:30:00,75,0.022,1,0.5785081967213046,0.5102955599224066,100.0,198.3336889743805,700
24,2023-07-14 16:30:00 to 2023-07-28 16:30:00,2023-07-29 16:30:00 to 2023-07-31 16:30:00,270,0.036,0,0.0,0.0,0.0,204.09496593475345,701
25,2023-07-17 16:30:00 to 2023-07-31 16:30:00,2023-08-01 16:30:00 to 2023-08-03 16:30:00,195,0.036,0,0.0,0.0,0.0,194.0249879360199,703
26,2023-07-20 16:30:00 to 2023-08-03 16:30:00,2023-08-04 16:30:00 to 2023-08-06 16:30:00,275,0.04,0,0.0,0.0,0.0,198.85411715507507,705
27,2023-07-23 16:30:00 to 2023-08-06 16:30:00,2023-08-07 16:30:00 to 2023-08-09 16:30:00,120,0.02,1,1.000940694016881,1.7529404577320944,100.0,194.45493507385257,706
28,2023-07-26 16:30:00 to 2023-08-09 16:30:00,2023-08-10 16:30:00 to 2023-08-12 16:30:00,275,0.022,0,0.0,0.0,0.0,192.7484610080719,707
29,2023-07-29 16:30:00 to 2023-08-12 16:30:00,2023-08-13 16:30:00 to 2023-08-15 16:30:00,230,0.022,0,0.0,0.0,0.0,194.41848921775815,709
30,2023-08-01 16:30:00 to 2023-08-15 16:30:00,2023-08-16 16:30:00 to 2023-08-18 16:30:00,140,0.022,1,-18.523765065150737,26.436912182046964,0.0,192.9866123199463,711
31,2023-08-04 16:30:00 to 2023-08-18 16:30:00,2023-08-19 16:30:00 to 2023-08-21 16:30:00,25,0.022,0,0.0,0.0,0.0,201.02449321746823,712
32,2023-08-07 16:30:00 to 2023-08-21 16:30:00,2023-08-22 16:30:00 to 2023-08-24 16:30:00,25,0.022,0,0.0,0.0,0.0,198.33812308311465,713
33,2023-08-10 16:30:00 to 2023-08-24 16:30:00,2023-08-25 16:30:00 to 2023-08-27 16:30:00,25,0.022,0,0.0,0.0,0.0,195.1302831172943,715
34,2023-08-13 16:30:00 to 2023-08-27 16:30:00,2023-08-28 16:30:00 to 2023-08-30 16:30:00,25,0.022,1,0.0069900000000052,0.2744319532998827,0.0,203.46574592590332,717
35,2023-08-16 16:30:00 to 2023-08-30 16:30:00,2023-08-31 16:30:00 to 2023-09-02 16:30:00,60,0.054,0,0.0,0.0,0.0,201.0786969661713,718
36,2023-08-19 16:30:00 to 2023-09-02 16:30:00,2023-09-03 16:30:00 to 2023-09-05 16:30:00,300,0.022,1,0.283398816568042,0.6379789582725204,100.0,192.3866510391235,719
37,2023-08-22 16:30:00 to 2023-09-05 16:30:00,2023-09-06 16:30:00 to 2023-09-08 16:30:00,280,0.02,0,0.0,0.0,0.0,201.38220596313477,721
38,2023-08-25 16:30:00 to 2023-09-08 16:30:00,2023-09-09 16:30:00 to 2023-09-11 16:30:00,45,0.02,4,-4.124182426058178,5.839796077926157,50.0,194.58362317085263,723
39,2023-08-28 16:30:00 to 2023-09-11 16:30:00,2023-09-12 16:30:00 to 2023-09-14 16:30:00,20,0.02,0,0.0,0.0,0.0,199.22992706298828,724
40,2023-08-31 16:30:00 to 2023-09-14 16:30:00,2023-09-15 16:30:00 to 2023-09-17 16:30:00,20,0.022,0,0.0,0.0,0.0,193.22895503044128,725
41,2023-09-03 16:30:00 to 2023-09-17 16:30:00,2023-09-18 16:30:00 to 2023-09-20 16:30:00,20,0.02,0,0.0,0.0,0.0,200.10847520828247,727
42,2023-09-06 16:30:00 to 2023-09-20 16:30:00,2023-09-21 16:30:00 to 2023-09-23 16:30:00,20,0.02,0,0.0,0.0,0.0,201.73052287101743,729
43,2023-09-09 16:30:00 to 2023-09-23 16:30:00,2023-09-24 16:30:00 to 2023-09-26 16:30:00,205,0.02,1,0.1359286624203923,0.705886624203813,100.0,202.6084749698639,730
44,2023-09-12 16:30:00 to 2023-09-26 16:30:00,2023-09-27 16:30:00 to 2023-09-29 16:30:00,275,0.022,0,0.0,0.0,0.0,193.22175002098083,731
45,2023-09-15 16:30:00 to 2023-09-29 16:30:00,2023-09-30 16:30:00 to 2023-10-02 16:30:00,225,0.02,0,0.0,0.0,0.0,194.71573901176453,733
46,2023-09-18 16:30:00 to 2023-10-02 16:30:00,2023-10-03 16:30:00 to 2023-10-05 16:30:00,105,0.02,1,-6.3425239347711795,9.061196126089817,0.0,193.623779296875,735
47,2023-09-21 16:30:00 to 2023-10-05 16:30:00,2023-10-06 16:30:00 to 2023-10-08 16:30:00,295,0.042,1,0.4396372881356001,0.3739220338983068,0.0,199.37697887420657,736
48,2023-09-24 16:30:00 to 2023-10-08 16:30:00,2023-10-09 16:30:00 to 2023-10-11 16:30:00,280,0.046,2,0.8970426088010208,1.179078981522635,50.0,195.14687585830688,737
49,2023-09-27 16:30:00 to 2023-10-11 16:30:00,2023-10-12 16:30:00 to 2023-10-14 16:30:00,280,0.044,0,0.0,0.0,0.0,199.18715000152588,739
50,2023-09-30 16:30:00 to 2023-10-14 16:30:00,2023-10-15 16:30:00 to 2023-10-17 16:30:00,285,0.044,0,0.0,0.0,0.0,199.8641800880432,741
51,2023-10-03 16:30:00 to 2023-10-17 16:30:00,2023-10-18 16:30:00 to 2023-10-20 16:30:00,140,0.02,2,3.2241022558489387,3.3022863860296896,100.0,196.62000703811648,742
52,2023-10-06 16:30:00 to 2023-10-20 16:30:00,2023-10-21 16:30:00 to 2023-10-23 16:30:00,155,0.02,0,0.0,0.0,0.0,202.6442849636078,743
53,2023-10-09 16:30:00 to 2023-10-23 16:30:00,2023-10-24 16:30:00 to 2023-10-26 16:30:00,60,0.02,5,12.415351446087406,2.3429538289713405,100.0,200.46573424339297,745
54,2023-10-12 16:30:00 to 2023-10-26 16:30:00,2023-10-27 16:30:00 to 2023-10-29 16:30:00,60,0.02,2,-4.8882158172620445,8.116480739063643,0.0,201.5098028182983,747
55,2023-10-15 16:30:00 to 2023-10-29 16:30:00,2023-10-30 16:30:00 to 2023-11-01 16:30:00,150,0.022,2,-6.398918093338033,11.197216740175088,50.0,203.93502116203308,748
56,2023-10-18 16:30:00 to 2023-11-01 16:30:00,2023-11-02 16:30:00 to 2023-11-04 16:30:00,30,0.02,3,0.7200463492659946,1.9132721928086205,100.0,203.2954089641571,749
57,2023-10-21 16:30:00 to 2023-11-04 16:30:00,2023-11-05 16:30:00 to 2023-11-07 16:30:00,35,0.02,3,2.371956514299127,0.5075028424139577,66.66666666666666,207.8880090713501,751
58,2023-10-24 16:30:00 to 2023-11-07 16:30:00,2023-11-08 16:30:00 to 2023-11-10 16:30:00,25,0.022,3,6.292052967168384,2.3600964923369014,100.0,206.85787200927737,753
59,2023-10-27 16:30:00 to 2023-11-10 16:30:00,2023-11-11 16:30:00 to 2023-11-13 16:30:00,220,0.022,3,8.238536179316142,3.79221446277581,100.0,207.54618072509768,754
60,2023-10-30 16:30:00 to 2023-11-13 16:30:00,2023-11-14 16:30:00 to 2023-11-16 16:30:00,195,0.02,3,11.351035301843586,2.0709537946897165,66.66666666666666,206.50141096115112,755
61,2023-11-02 16:30:00 to 2023-11-16 16:30:00,2023-11-17 16:30:00 to 2023-11-19 16:30:00,235,0.02,1,-5.025989836732024,8.694762621454073,0.0,204.82231903076172,757
62,2023-11-05 16:30:00 to 2023-11-19 16:30:00,2023-11-20 16:30:00 to 2023-11-22 16:30:00,190,0.024,1,1.181277446371314,7.435257330706543,100.0,209.52381110191345,759
63,2023-11-08 16:30:00 to 2023-11-22 16:30:00,2023-11-23 16:30:00 to 2023-11-25 16:30:00,60,0.028,0,0.0,0.0,0.0,210.3652400970459,760
64,2023-11-11 16:30:00 to 2023-11-25 16:30:00,2023-11-26 16:30:00 to 2023-11-28 16:30:00,80,0.034,1,-0.2264782687602564,2.9901268386062085,0.0,208.8005931377411,761
65,2023-11-14 16:30:00 to 2023-11-28 16:30:00,2023-11-29 16:30:00 to 2023-12-01 16:30:00,185,0.05,0,0.0,0.0,0.0,203.89961504936215,763
66,2023-11-17 16:30:00 to 2023-12-01 16:30:00,2023-12-02 16:30:00 to 2023-12-04 16:30:00,40,0.02,2,2.548436611579946,1.995386590037392,50.0,198.62190413475037,765
67,2023-11-20 16:30:00 to 2023-12-04 16:30:00,2023-12-05 16:30:00 to 2023-12-07 16:30:00,70,0.02,3,2.1495239873495304,4.567773864067585,100.0,190.79974794387817,766
68,2023-11-23 16:30:00 to 2023-12-07 16:30:00,2023-12-08 16:30:00 to 2023-12-10 16:30:00,40,0.02,3,1.345937988214373,2.013839816768034,66.66666666666666,198.33184099197388,767
69,2023-11-26 16:30:00 to 2023-12-10 16:30:00,2023-12-11 16:30:00 to 2023-12-13 16:30:00,40,0.02,5,7.461791882328763,1.1696856104632642,100.0,200.63675093650815,769
70,2023-11-29 16:30:00 to 2023-12-13 16:30:00,2023-12-14 16:30:00 to 2023-12-16 16:30:00,40,0.02,3,-0.0605336584017277,2.764274168960727,66.66666666666666,201.65853905677795,771
71,2023-12-02 16:30:00 to 2023-12-16 16:30:00,2023-12-17 16:30:00 to 2023-12-19 16:30:00,40,0.02,3,-3.778858995499869,7.002383142112102,33.33333333333333,207.2105429172516,772
72,2023-12-05 16:30:00 to 2023-12-19 16:30:00,2023-12-20 16:30:00 to 2023-12-22 16:30:00,20,0.02,0,0.0,0.0,0.0,204.8123199939728,773
73,2023-12-08 16:30:00 to 2023-12-22 16:30:00,2023-12-23 16:30:00 to 2023-12-25 16:30:00,185,0.06,0,0.0,0.0,0.0,205.98415279388428,775
74,2023-12-11 16:30:00 to 2023-12-25 16:30:00,2023-12-26 16:30:00 to 2023-12-28 16:30:00,220,0.032,2,3.4431191475137526,2.1742968877088575,50.0,200.35511088371277,777
75,2023-12-14 16:30:00 to 2023-12-28 16:30:00,2023-12-29 16:30:00 to 2023-12-31 16:30:00,195,0.026,2,2.348604262226909,2.0542311221439533,100.0,200.4210398197174,778
76,2023-12-17 16:30:00 to 2023-12-31 16:30:00,2024-01-01 16:30:00 to 2024-01-03 16:30:00,230,0.02,2,3.5610956448531033,3.040655305425162,50.0,197.26554107666016,779
77,2023-12-20 16:30:00 to 2024-01-03 16:30:00,2024-01-04 16:30:00 to 2024-01-06 16:30:00,245,0.02,3,7.147843086745798,3.7100907517588984,100.0,199.78295612335205,781
