Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-09-28 03:30:00 to 2021-10-12 03:30:00,2021-10-13 03:30:00 to 2021-10-15 03:30:00,60,0.02,2,1.4374229640064005,2.5463985607461237,0.0,211.54055190086365,375
2,2021-10-01 03:30:00 to 2021-10-15 03:30:00,2021-10-16 03:30:00 to 2021-10-18 03:30:00,80,0.022,2,2.7154644723442107,2.0809418266903186,50.0,214.0406758785248,376
3,2021-10-04 03:30:00 to 2021-10-18 03:30:00,2021-10-19 03:30:00 to 2021-10-21 03:30:00,210,0.024,0,0.0,0.0,0.0,213.7839150428772,377
4,2021-10-07 03:30:00 to 2021-10-21 03:30:00,2021-10-22 03:30:00 to 2021-10-24 03:30:00,300,0.03,1,0.6338813981127168,2.1756986165845476,0.0,212.92055988311768,379
5,2021-10-10 03:30:00 to 2021-10-24 03:30:00,2021-10-25 03:30:00 to 2021-10-27 03:30:00,300,0.022,1,1.1979685323503872,0.5530943269415811,100.0,212.04772305488584,381
6,2021-10-13 03:30:00 to 2021-10-27 03:30:00,2021-10-28 03:30:00 to 2021-10-30 03:30:00,115,0.038,1,3.3201090279834533,4.35010234033222,100.0,208.21827101707456,382
7,2021-10-16 03:30:00 to 2021-10-30 03:30:00,2021-10-31 03:30:00 to 2021-11-02 03:30:00,300,0.066,0,0.0,0.0,0.0,209.0272991657257,383
8,2021-10-19 03:30:00 to 2021-11-02 03:30:00,2021-11-03 03:30:00 to 2021-11-05 03:30:00,210,0.034,1,6.700824979655118,3.815493688245617,100.0,207.36745309829712,385
9,2021-10-22 03:30:00 to 2021-11-05 03:30:00,2021-11-06 03:30:00 to 2021-11-08 03:30:00,255,0.026,2,4.607911212601612,6.845454720360714,50.0,212.2023727893829,387
10,2021-10-25 03:30:00 to 2021-11-08 03:30:00,2021-11-09 03:30:00 to 2021-11-11 03:30:00,210,0.034,4,5.903709081728084,4.391412648985539,75.0,214.91848301887512,388
11,2021-10-28 03:30:00 to 2021-11-11 03:30:00,2021-11-12 03:30:00 to 2021-11-14 03:30:00,195,0.02,2,2.775161237728371,8.310660959659879,100.0,217.7532901763916,389
12,2021-10-31 03:30:00 to 2021-11-14 03:30:00,2021-11-15 03:30:00 to 2021-11-17 03:30:00,150,0.03,2,-8.725092230657156,16.19645584978908,50.0,217.58532309532168,391
13,2021-11-03 03:30:00 to 2021-11-17 03:30:00,2021-11-18 03:30:00 to 2021-11-20 03:30:00,145,0.052,1,5.088164096711116,5.875199954198609,100.0,220.48872923851013,393
14,2021-11-06 03:30:00 to 2021-11-20 03:30:00,2021-11-21 03:30:00 to 2021-11-23 03:30:00,25,0.024,3,-2.7969767000253887,5.527092677799036,0.0,215.47603297233584,394
15,2021-11-09 03:30:00 to 2021-11-23 03:30:00,2021-11-24 03:30:00 to 2021-11-26 03:30:00,30,0.028,2,1.0082599455697163,1.4552923280455046,100.0,216.9488060474396,395
16,2021-11-12 03:30:00 to 2021-11-26 03:30:00,2021-11-27 03:30:00 to 2021-11-29 03:30:00,50,0.022,2,-2.945517740182604,7.963421650400385,50.0,214.05594205856323,397
17,2021-11-15 03:30:00 to 2021-11-29 03:30:00,2021-11-30 03:30:00 to 2021-12-02 03:30:00,175,0.06,1,0.4838033614348023,1.6875960476362757,0.0,217.6615161895752,399
18,2021-11-18 03:30:00 to 2021-12-02 03:30:00,2021-12-03 03:30:00 to 2021-12-05 03:30:00,195,0.056,1,-2.434409943060946,22.548717501615073,0.0,215.17939710617063,400
19,2021-11-21 03:30:00 to 2021-12-05 03:30:00,2021-12-06 03:30:00 to 2021-12-08 03:30:00,195,0.056,1,8.329806045659042,4.910174686808324,100.0,220.07820892333984,401
20,2021-11-24 03:30:00 to 2021-12-08 03:30:00,2021-12-09 03:30:00 to 2021-12-11 03:30:00,185,0.066,1,-1.4524893553809488,6.7672024123551235,0.0,218.3423297405243,403
21,2021-11-27 03:30:00 to 2021-12-11 03:30:00,2021-12-12 03:30:00 to 2021-12-14 03:30:00,155,0.07,1,-1.2524265830653167,2.202658060131651,0.0,217.72644305229187,405
22,2021-11-30 03:30:00 to 2021-12-14 03:30:00,2021-12-15 03:30:00 to 2021-12-17 03:30:00,60,0.07,0,0.0,0.0,0.0,217.5211191177368,406
