Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-01-31 18:30:00 to 2024-02-14 18:30:00,2024-02-15 18:30:00 to 2024-02-17 18:30:00,60,0.032,2,3.373791304588849,1.3795013862669654,100.0,209.08749175071716,803
2,2024-02-03 18:30:00 to 2024-02-17 18:30:00,2024-02-18 18:30:00 to 2024-02-20 18:30:00,285,0.022,3,1.5496719794584897,2.9571937311060505,66.66666666666666,206.0936348438263,804
3,2024-02-06 18:30:00 to 2024-02-20 18:30:00,2024-02-21 18:30:00 to 2024-02-23 18:30:00,290,0.022,1,-3.8099057786374217,8.207308551921686,0.0,202.22504806518555,805
4,2024-02-09 18:30:00 to 2024-02-23 18:30:00,2024-02-24 18:30:00 to 2024-02-26 18:30:00,90,0.022,3,2.4521537997569065,0.8365304249169635,100.0,203.80677008628845,807
5,2024-02-12 18:30:00 to 2024-02-26 18:30:00,2024-02-27 18:30:00 to 2024-02-29 18:30:00,90,0.022,2,3.66393153556226,2.414436268163287,100.0,205.3563539981842,809
6,2024-02-15 18:30:00 to 2024-02-29 18:30:00,2024-03-01 18:30:00 to 2024-03-03 18:30:00,70,0.028,2,2.9358488277921606,2.2164129092992275,100.0,200.91588020324707,810
7,2024-02-18 18:30:00 to 2024-03-03 18:30:00,2024-03-04 18:30:00 to 2024-03-06 18:30:00,25,0.02,8,11.393222812935184,4.009261779815021,100.0,205.3042392730713,811
8,2024-02-21 18:30:00 to 2024-03-06 18:30:00,2024-03-07 18:30:00 to 2024-03-09 18:30:00,230,0.02,0,0.0,0.0,0.0,202.8373191356659,813
9,2024-02-24 18:30:00 to 2024-03-09 18:30:00,2024-03-10 18:30:00 to 2024-03-12 18:30:00,240,0.024,2,2.6988537826274115,0.5452399229539446,100.0,203.40494322776792,815
10,2024-02-27 18:30:00 to 2024-03-12 18:30:00,2024-03-13 18:30:00 to 2024-03-15 18:30:00,25,0.02,6,11.257439174734518,4.39546646192725,100.0,204.3000249862671,816
11,2024-03-01 18:30:00 to 2024-03-15 18:30:00,2024-03-16 18:30:00 to 2024-03-18 18:30:00,125,0.02,4,14.3372062906871,4.071039426059251,100.0,207.80282998085025,817
12,2024-03-04 18:30:00 to 2024-03-18 18:30:00,2024-03-19 18:30:00 to 2024-03-21 18:30:00,85,0.02,4,-10.12882759670223,17.651981784229765,25.0,204.73674702644348,819
13,2024-03-07 18:30:00 to 2024-03-21 18:30:00,2024-03-22 18:30:00 to 2024-03-24 18:30:00,120,0.02,3,2.057957216956529,7.16800587920723,66.66666666666666,205.8750033378601,821
14,2024-03-10 18:30:00 to 2024-03-24 18:30:00,2024-03-25 18:30:00 to 2024-03-27 18:30:00,120,0.02,2,-1.945163198758746,6.020639566521135,50.0,211.964271068573,822
15,2024-03-13 18:30:00 to 2024-03-27 18:30:00,2024-03-28 18:30:00 to 2024-03-30 18:30:00,100,0.028,1,1.5562831858407118,0.3012014049123643,100.0,212.4077041149139,823
16,2024-03-16 18:30:00 to 2024-03-30 18:30:00,2024-03-31 18:30:00 to 2024-04-02 18:30:00,300,0.022,2,2.936723051997724,3.906871142685115,50.0,208.24975299835205,825
17,2024-03-19 18:30:00 to 2024-04-02 18:30:00,2024-04-03 18:30:00 to 2024-04-05 18:30:00,40,0.03,3,-11.15081368664838,15.482005026842796,33.33333333333333,201.77403807640076,827
18,2024-03-22 18:30:00 to 2024-04-05 18:30:00,2024-04-06 18:30:00 to 2024-04-08 18:30:00,100,0.026,1,1.23851709432598,1.1701611324809271,100.0,201.560861825943,828
19,2024-03-25 18:30:00 to 2024-04-08 18:30:00,2024-04-09 18:30:00 to 2024-04-11 18:30:00,255,0.044,2,3.1445933903114924,5.447868568735105,50.0,206.43440699577332,829
20,2024-03-28 18:30:00 to 2024-04-11 18:30:00,2024-04-12 18:30:00 to 2024-04-14 18:30:00,265,0.08,1,-8.02593852676795,27.81699460175386,0.0,205.46820616722107,831
21,2024-03-31 18:30:00 to 2024-04-14 18:30:00,2024-04-15 18:30:00 to 2024-04-17 18:30:00,95,0.076,1,0.3511362505184479,4.024264582121227,100.0,209.67757201194763,833
22,2024-04-03 18:30:00 to 2024-04-17 18:30:00,2024-04-18 18:30:00 to 2024-04-20 18:30:00,100,0.068,0,0.0,0.0,0.0,206.0836362838745,834
23,2024-04-06 18:30:00 to 2024-04-20 18:30:00,2024-04-21 18:30:00 to 2024-04-23 18:30:00,10,0.02,0,0.0,0.0,0.0,209.25463008880615,835
24,2024-04-09 18:30:00 to 2024-04-23 18:30:00,2024-04-24 18:30:00 to 2024-04-26 18:30:00,10,0.02,1,-3.0788309587728326,5.513138738589638,0.0,211.1745901107788,837
25,2024-04-12 18:30:00 to 2024-04-26 18:30:00,2024-04-27 18:30:00 to 2024-04-29 18:30:00,105,0.024,2,-0.6511906433406693,2.427633631668923,50.0,204.64968299865723,839
26,2024-04-15 18:30:00 to 2024-04-29 18:30:00,2024-04-30 18:30:00 to 2024-05-02 18:30:00,85,0.02,2,-1.7386781038817027,6.875666377846394,50.0,202.64015984535217,840
27,2024-04-18 18:30:00 to 2024-05-02 18:30:00,2024-05-03 18:30:00 to 2024-05-05 18:30:00,290,0.07,0,0.0,0.0,0.0,201.50596404075625,841
28,2024-04-21 18:30:00 to 2024-05-05 18:30:00,2024-05-06 18:30:00 to 2024-05-08 18:30:00,290,0.07,0,0.0,0.0,0.0,201.05114269256592,843
29,2024-04-24 18:30:00 to 2024-05-08 18:30:00,2024-05-09 18:30:00 to 2024-05-11 18:30:00,290,0.068,1,2.9528628215120807,2.4710722156456986,100.0,199.31682777404785,845
30,2024-04-27 18:30:00 to 2024-05-11 18:30:00,2024-05-12 18:30:00 to 2024-05-14 18:30:00,290,0.05,1,2.623742708749487,0.7092551615020795,100.0,198.76209783554077,846
31,2024-04-30 18:30:00 to 2024-05-14 18:30:00,2024-05-15 18:30:00 to 2024-05-17 18:30:00,45,0.026,1,0.242184998674802,1.483480138773359,100.0,193.98216605186465,847
32,2024-05-03 18:30:00 to 2024-05-17 18:30:00,2024-05-18 18:30:00 to 2024-05-20 18:30:00,260,0.026,1,4.224165286995904,2.912150463797238,100.0,197.60757613182068,849
33,2024-05-06 18:30:00 to 2024-05-20 18:30:00,2024-05-21 18:30:00 to 2024-05-23 18:30:00,270,0.026,3,1.0585505311358248,3.592936978632438,66.66666666666666,200.1792950630188,851
34,2024-05-09 18:30:00 to 2024-05-23 18:30:00,2024-05-24 18:30:00 to 2024-05-26 18:30:00,225,0.026,2,1.9850446520623153,3.1627181179223953,50.0,197.48119974136353,852
35,2024-05-12 18:30:00 to 2024-05-26 18:30:00,2024-05-27 18:30:00 to 2024-05-29 18:30:00,250,0.032,0,0.0,0.0,0.0,197.0279810428619,853
36,2024-05-15 18:30:00 to 2024-05-29 18:30:00,2024-05-30 18:30:00 to 2024-06-01 18:30:00,195,0.032,2,3.2696923680793404,3.990310861512136,50.0,199.452388048172,855
37,2024-05-18 18:30:00 to 2024-06-01 18:30:00,2024-06-02 18:30:00 to 2024-06-04 18:30:00,195,0.032,0,0.0,0.0,0.0,198.99237513542175,857
38,2024-05-21 18:30:00 to 2024-06-04 18:30:00,2024-06-05 18:30:00 to 2024-06-07 18:30:00,180,0.028,1,-6.578177810085418,12.716521857326295,0.0,197.9708571434021,858
39,2024-05-24 18:30:00 to 2024-06-07 18:30:00,2024-06-08 18:30:00 to 2024-06-10 18:30:00,110,0.024,3,2.825596476856626,1.5862738619180006,100.0,194.99335384368896,859
40,2024-05-27 18:30:00 to 2024-06-10 18:30:00,2024-06-11 18:30:00 to 2024-06-13 18:30:00,100,0.022,2,-4.445826649136634,5.702262397527975,0.0,197.84243893623352,861
41,2024-05-30 18:30:00 to 2024-06-13 18:30:00,2024-06-14 18:30:00 to 2024-06-16 18:30:00,285,0.064,1,1.760114621256598,1.9058186365885796,100.0,196.2661249637604,863
42,2024-06-02 18:30:00 to 2024-06-16 18:30:00,2024-06-17 18:30:00 to 2024-06-19 18:30:00,300,0.064,1,2.4332108863667603,9.874153546389214,100.0,201.5743818283081,864
43,2024-06-05 18:30:00 to 2024-06-19 18:30:00,2024-06-20 18:30:00 to 2024-06-22 18:30:00,300,0.074,0,0.0,0.0,0.0,204.46639108657837,865
44,2024-06-08 18:30:00 to 2024-06-22 18:30:00,2024-06-23 18:30:00 to 2024-06-25 18:30:00,265,0.072,1,2.848356362604627,1.207246632742995,100.0,198.4572820663452,867
45,2024-06-11 18:30:00 to 2024-06-25 18:30:00,2024-06-26 18:30:00 to 2024-06-28 18:30:00,290,0.072,0,0.0,0.0,0.0,204.37557315826416,869
46,2024-06-14 18:30:00 to 2024-06-28 18:30:00,2024-06-29 18:30:00 to 2024-07-01 18:30:00,240,0.076,0,0.0,0.0,0.0,200.68623304367063,870
47,2024-06-17 18:30:00 to 2024-07-01 18:30:00,2024-07-02 18:30:00 to 2024-07-04 18:30:00,100,0.028,2,1.0169734572113702,8.176342250318848,50.0,199.58994817733765,871
48,2024-06-20 18:30:00 to 2024-07-04 18:30:00,2024-07-05 18:30:00 to 2024-07-07 18:30:00,55,0.034,2,-2.8848822889184156,7.504749336054775,0.0,194.9679050445557,873
49,2024-06-23 18:30:00 to 2024-07-07 18:30:00,2024-07-08 18:30:00 to 2024-07-10 18:30:00,170,0.072,1,3.0440611888111744,1.7961426745315918,100.0,196.4893937110901,875
50,2024-06-26 18:30:00 to 2024-07-10 18:30:00,2024-07-11 18:30:00 to 2024-07-13 18:30:00,110,0.062,0,0.0,0.0,0.0,198.71303701400757,876
51,2024-06-29 18:30:00 to 2024-07-13 18:30:00,2024-07-14 18:30:00 to 2024-07-16 18:30:00,110,0.062,0,0.0,0.0,0.0,202.46065282821655,877
52,2024-07-02 18:30:00 to 2024-07-16 18:30:00,2024-07-17 18:30:00 to 2024-07-19 18:30:00,225,0.056,0,0.0,0.0,0.0,200.07880234718323,879
53,2024-07-05 18:30:00 to 2024-07-19 18:30:00,2024-07-20 18:30:00 to 2024-07-22 18:30:00,220,0.034,0,0.0,0.0,0.0,193.8528847694397,881
54,2024-07-08 18:30:00 to 2024-07-22 18:30:00,2024-07-23 18:30:00 to 2024-07-25 18:30:00,75,0.02,3,1.3521722047401818,5.350907903913157,66.66666666666666,195.5534541606903,882
55,2024-07-11 18:30:00 to 2024-07-25 18:30:00,2024-07-26 18:30:00 to 2024-07-28 18:30:00,70,0.02,1,2.7875266129592817,2.3365570702259637,100.0,190.41451382637024,883
56,2024-07-14 18:30:00 to 2024-07-28 18:30:00,2024-07-29 18:30:00 to 2024-07-31 18:30:00,70,0.02,1,-5.298692244996891,8.012206525493237,0.0,194.34735894203183,885
57,2024-07-17 18:30:00 to 2024-07-31 18:30:00,2024-08-01 18:30:00 to 2024-08-03 18:30:00,50,0.024,4,-6.940497148503217,8.835053236367314,50.0,195.96502780914307,887
58,2024-07-20 18:30:00 to 2024-08-03 18:30:00,2024-08-04 18:30:00 to 2024-08-06 18:30:00,40,0.038,2,0.572537208736976,11.236736181119744,50.0,201.2389931678772,888
59,2024-07-23 18:30:00 to 2024-08-06 18:30:00,2024-08-07 18:30:00 to 2024-08-09 18:30:00,160,0.08,0,0.0,0.0,0.0,199.88286185264587,889
60,2024-07-26 18:30:00 to 2024-08-09 18:30:00,2024-08-10 18:30:00 to 2024-08-12 18:30:00,135,0.078,0,0.0,0.0,0.0,203.02477622032168,891
61,2024-07-29 18:30:00 to 2024-08-12 18:30:00,2024-08-13 18:30:00 to 2024-08-15 18:30:00,135,0.078,0,0.0,0.0,0.0,203.85082507133484,893
62,2024-08-01 18:30:00 to 2024-08-15 18:30:00,2024-08-16 18:30:00 to 2024-08-18 18:30:00,160,0.07,0,0.0,0.0,0.0,202.8814377784729,894
63,2024-08-04 18:30:00 to 2024-08-18 18:30:00,2024-08-19 18:30:00 to 2024-08-21 18:30:00,70,0.036,0,0.0,0.0,0.0,197.88362288475037,895
64,2024-08-07 18:30:00 to 2024-08-21 18:30:00,2024-08-22 18:30:00 to 2024-08-24 18:30:00,110,0.024,0,0.0,0.0,0.0,195.26934099197388,897
65,2024-08-10 18:30:00 to 2024-08-24 18:30:00,2024-08-25 18:30:00 to 2024-08-27 18:30:00,115,0.024,2,-0.2329500729579012,3.0035300511458867,50.0,193.10858297348025,899
66,2024-08-13 18:30:00 to 2024-08-27 18:30:00,2024-08-28 18:30:00 to 2024-08-30 18:30:00,110,0.022,2,-0.314215685589752,6.541570077111721,50.0,195.5652892589569,900
67,2024-08-16 18:30:00 to 2024-08-30 18:30:00,2024-08-31 18:30:00 to 2024-09-02 18:30:00,70,0.02,2,1.485504234366508,1.1069142026373753,100.0,190.72317790985107,901
68,2024-08-19 18:30:00 to 2024-09-02 18:30:00,2024-09-03 18:30:00 to 2024-09-05 18:30:00,50,0.022,1,-1.3158968842287322,4.445716973385832,0.0,194.93956780433655,903
69,2024-08-22 18:30:00 to 2024-09-05 18:30:00,2024-09-06 18:30:00 to 2024-09-08 18:30:00,45,0.022,1,1.7195333655927971,1.8951752607184245,100.0,198.63713097572327,905
