Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,160,0.074,1,-1.1057426036192193,8.096549784233925,0.0,203.66806507110596,203
2,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,45,0.032,2,3.7257420743988585,4.349679115009074,100.0,205.69507813453671,204
3,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,35,0.026,3,11.183423128813702,3.434583841983035,66.66666666666666,204.76082611083984,205
4,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,30,0.034,3,2.6011435020210047,2.979621412603047,33.33333333333333,206.8515582084656,207
5,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,25,0.032,1,1.8149733646031927,1.6009878846328756,100.0,206.75328016281128,209
6,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,25,0.032,2,0.6450017348499386,1.3014056621795953,100.0,209.8131136894226,210
7,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,80,0.034,2,2.3553419576216585,2.347624729406499,100.0,213.31219911575317,211
8,2020-11-09 07:00:00 to 2020-11-23 07:00:00,2020-11-24 07:00:00 to 2020-11-26 07:00:00,225,0.026,2,-0.383825698264809,4.2908573124032605,50.0,209.33778309822085,213
9,2020-11-12 07:00:00 to 2020-11-26 07:00:00,2020-11-27 07:00:00 to 2020-11-29 07:00:00,45,0.024,3,1.7516689375289751,5.691435036678735,66.66666666666666,206.56923294067383,215
10,2020-11-15 07:00:00 to 2020-11-29 07:00:00,2020-11-30 07:00:00 to 2020-12-02 07:00:00,35,0.022,3,5.69121883686068,1.7446991387681985,100.0,209.2096271514893,216
11,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,40,0.022,4,4.7406737623167645,1.11277661901128,100.0,206.0494110584259,217
12,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,40,0.022,1,0.0800451685755615,0.7848683891791297,100.0,207.80705785751343,219
13,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,40,0.022,4,-1.5418867033963033,6.327425946243186,25.0,212.15355110168457,221
14,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,130,0.03,0,0.0,0.0,0.0,205.57723593711853,222
15,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,300,0.036,0,0.0,0.0,0.0,205.72414207458496,223
16,2020-12-03 07:00:00 to 2020-12-17 07:00:00,2020-12-18 07:00:00 to 2020-12-20 07:00:00,300,0.03,1,1.3747541196621569,0.7965899150342425,100.0,205.45303916931152,225
17,2020-12-06 07:00:00 to 2020-12-20 07:00:00,2020-12-21 07:00:00 to 2020-12-23 07:00:00,210,0.028,2,0.2352376706610812,5.662129047586705,50.0,203.68532299995425,227
18,2020-12-09 07:00:00 to 2020-12-23 07:00:00,2020-12-24 07:00:00 to 2020-12-26 07:00:00,20,0.02,2,1.9890876476509949,3.352600502006767,100.0,201.8565468788147,228
19,2020-12-12 07:00:00 to 2020-12-26 07:00:00,2020-12-27 07:00:00 to 2020-12-29 07:00:00,125,0.024,1,1.3710677543315617,0.6578891077211274,100.0,202.341157913208,229
20,2020-12-15 07:00:00 to 2020-12-29 07:00:00,2020-12-30 07:00:00 to 2021-01-01 07:00:00,20,0.02,3,-0.630192140832587,3.4195162181221495,33.33333333333333,206.54350399971008,231
21,2020-12-18 07:00:00 to 2021-01-01 07:00:00,2021-01-02 07:00:00 to 2021-01-04 07:00:00,20,0.02,2,2.931824074504948,0.709414220109073,100.0,205.0759129524231,233
22,2020-12-21 07:00:00 to 2021-01-04 07:00:00,2021-01-05 07:00:00 to 2021-01-07 07:00:00,20,0.02,7,1.480649232654232,12.592177982281504,71.42857142857143,205.70623588562012,234
23,2020-12-24 07:00:00 to 2021-01-07 07:00:00,2021-01-08 07:00:00 to 2021-01-10 07:00:00,15,0.05,2,4.064990807275554,3.192743490078028,100.0,204.60701322555545,235
24,2020-12-27 07:00:00 to 2021-01-10 07:00:00,2021-01-11 07:00:00 to 2021-01-13 07:00:00,15,0.05,4,2.0817689871711447,10.638673237978644,50.0,209.75219988822937,237
25,2020-12-30 07:00:00 to 2021-01-13 07:00:00,2021-01-14 07:00:00 to 2021-01-16 07:00:00,15,0.05,1,2.36997474205531,0.0,100.0,214.59528803825376,239
26,2021-01-02 07:00:00 to 2021-01-16 07:00:00,2021-01-17 07:00:00 to 2021-01-19 07:00:00,15,0.05,0,0.0,0.0,0.0,215.1836290359497,240
27,2021-01-05 07:00:00 to 2021-01-19 07:00:00,2021-01-20 07:00:00 to 2021-01-22 07:00:00,270,0.026,3,-2.769223181830312,18.437832223063673,66.66666666666666,221.2423858642578,241
28,2021-01-08 07:00:00 to 2021-01-22 07:00:00,2021-01-23 07:00:00 to 2021-01-25 07:00:00,245,0.032,1,1.361728702590717,0.32046741982851,100.0,219.5180389881134,243
29,2021-01-11 07:00:00 to 2021-01-25 07:00:00,2021-01-26 07:00:00 to 2021-01-28 07:00:00,30,0.036,3,3.239951337366092,1.900729811633745,100.0,215.2623770236969,245
30,2021-01-14 07:00:00 to 2021-01-28 07:00:00,2021-01-29 07:00:00 to 2021-01-31 07:00:00,15,0.02,4,-0.3090759047106257,3.5594924011113833,25.0,212.23974704742432,246
31,2021-01-17 07:00:00 to 2021-01-31 07:00:00,2021-02-01 07:00:00 to 2021-02-03 07:00:00,15,0.02,4,4.95146849273051,1.7262715785869407,100.0,212.00726294517517,247
32,2021-01-20 07:00:00 to 2021-02-03 07:00:00,2021-02-04 07:00:00 to 2021-02-06 07:00:00,165,0.032,2,4.618365212347107,0.5817286933144351,100.0,212.59984183311465,249
33,2021-01-23 07:00:00 to 2021-02-06 07:00:00,2021-02-07 07:00:00 to 2021-02-09 07:00:00,155,0.026,1,-3.914889085391387,10.21472481812074,0.0,213.34140586853027,251
34,2021-01-26 07:00:00 to 2021-02-09 07:00:00,2021-02-10 07:00:00 to 2021-02-12 07:00:00,95,0.028,2,7.060097778902764,2.7244196159987495,50.0,211.15255093574524,252
35,2021-01-29 07:00:00 to 2021-02-12 07:00:00,2021-02-13 07:00:00 to 2021-02-15 07:00:00,95,0.028,3,-0.5281466748740786,16.443765624427684,66.66666666666666,208.98562216758728,253
36,2021-02-01 07:00:00 to 2021-02-15 07:00:00,2021-02-16 07:00:00 to 2021-02-18 07:00:00,95,0.028,1,-0.4993881715126918,5.207895531088572,0.0,204.8236138820648,255
37,2021-02-04 07:00:00 to 2021-02-18 07:00:00,2021-02-19 07:00:00 to 2021-02-21 07:00:00,25,0.032,3,2.881443098035361,1.7394920599910413,100.0,213.9973120689392,257
38,2021-02-07 07:00:00 to 2021-02-21 07:00:00,2021-02-22 07:00:00 to 2021-02-24 07:00:00,145,0.024,1,-15.951284676492303,31.37226757226824,0.0,209.30752110481265,258
39,2021-02-10 07:00:00 to 2021-02-24 07:00:00,2021-02-25 07:00:00 to 2021-02-27 07:00:00,15,0.042,3,2.838185876156622,1.707507629624906,100.0,210.10802030563352,259
40,2021-02-13 07:00:00 to 2021-02-27 07:00:00,2021-02-28 07:00:00 to 2021-03-02 07:00:00,15,0.042,1,0.1617076052105767,2.175323103401962,100.0,216.4922261238098,261
41,2021-02-16 07:00:00 to 2021-03-02 07:00:00,2021-03-03 07:00:00 to 2021-03-05 07:00:00,15,0.042,1,1.2436448108740477,0.3771183004305278,100.0,222.94986081123352,263
42,2021-02-19 07:00:00 to 2021-03-05 07:00:00,2021-03-06 07:00:00 to 2021-03-08 07:00:00,15,0.042,0,0.0,0.0,0.0,219.4258558750153,264
43,2021-02-22 07:00:00 to 2021-03-08 07:00:00,2021-03-09 07:00:00 to 2021-03-11 07:00:00,145,0.042,2,2.090617363992151,2.173889714280164,50.0,221.73835706710815,265
44,2021-02-25 07:00:00 to 2021-03-11 07:00:00,2021-03-12 07:00:00 to 2021-03-14 07:00:00,155,0.02,2,3.672987905511599,4.336921169493923,100.0,219.22788214683533,267
45,2021-02-28 07:00:00 to 2021-03-14 07:00:00,2021-03-15 07:00:00 to 2021-03-17 07:00:00,155,0.02,5,7.702363867420209,5.865106345344557,80.0,218.0603587627411,269
46,2021-03-03 07:00:00 to 2021-03-17 07:00:00,2021-03-18 07:00:00 to 2021-03-20 07:00:00,170,0.02,1,1.8183118172389003,3.3899989815575395,100.0,212.343101978302,270
47,2021-03-06 07:00:00 to 2021-03-20 07:00:00,2021-03-21 07:00:00 to 2021-03-23 07:00:00,150,0.022,2,-7.091191904104853,8.776818603382566,0.0,210.87271690368652,271
48,2021-03-09 07:00:00 to 2021-03-23 07:00:00,2021-03-24 07:00:00 to 2021-03-26 07:00:00,50,0.03,3,-2.5437349179543163,8.735738182776387,66.66666666666666,212.4850790500641,273
49,2021-03-12 07:00:00 to 2021-03-26 07:00:00,2021-03-27 07:00:00 to 2021-03-29 07:00:00,180,0.044,0,0.0,0.0,0.0,216.8541419506073,275
50,2021-03-15 07:00:00 to 2021-03-29 07:00:00,2021-03-30 07:00:00 to 2021-04-01 07:00:00,50,0.03,1,1.1920548355128997,1.1847373260214822,100.0,210.91512393951416,276
51,2021-03-18 07:00:00 to 2021-04-01 07:00:00,2021-04-02 07:00:00 to 2021-04-04 07:00:00,180,0.052,1,0.7395896862240624,2.2078622001635613,0.0,215.18167304992676,277
52,2021-03-21 07:00:00 to 2021-04-04 07:00:00,2021-04-05 07:00:00 to 2021-04-07 07:00:00,190,0.026,3,1.976680962851824,1.6788817411851715,66.66666666666666,214.19935202598572,279
53,2021-03-24 07:00:00 to 2021-04-07 07:00:00,2021-04-08 07:00:00 to 2021-04-10 07:00:00,70,0.022,0,0.0,0.0,0.0,209.63895297050476,281
54,2021-03-27 07:00:00 to 2021-04-10 07:00:00,2021-04-11 07:00:00 to 2021-04-13 07:00:00,225,0.032,0,0.0,0.0,0.0,208.14777612686157,282
55,2021-03-30 07:00:00 to 2021-04-13 07:00:00,2021-04-14 07:00:00 to 2021-04-16 07:00:00,225,0.032,0,0.0,0.0,0.0,215.08656406402588,283
56,2021-04-02 07:00:00 to 2021-04-16 07:00:00,2021-04-17 07:00:00 to 2021-04-19 07:00:00,15,0.02,5,-10.68672951072098,20.203579077520164,60.0,214.00667119026184,285
57,2021-04-05 07:00:00 to 2021-04-19 07:00:00,2021-04-20 07:00:00 to 2021-04-22 07:00:00,130,0.062,1,6.263990967451809,3.6792146980783,100.0,209.3485119342804,287
58,2021-04-08 07:00:00 to 2021-04-22 07:00:00,2021-04-23 07:00:00 to 2021-04-25 07:00:00,130,0.062,1,-2.443028412538897,13.718607168931271,0.0,211.36697387695312,288
59,2021-04-11 07:00:00 to 2021-04-25 07:00:00,2021-04-26 07:00:00 to 2021-04-28 07:00:00,130,0.064,0,0.0,0.0,0.0,211.5752580165863,289
60,2021-04-14 07:00:00 to 2021-04-28 07:00:00,2021-04-29 07:00:00 to 2021-05-01 07:00:00,130,0.064,0,0.0,0.0,0.0,223.20275712013245,291
61,2021-04-17 07:00:00 to 2021-05-01 07:00:00,2021-05-02 07:00:00 to 2021-05-04 07:00:00,115,0.032,1,0.9054574836708889,2.101393270329731,0.0,219.0012092590332,293
62,2021-04-20 07:00:00 to 2021-05-04 07:00:00,2021-05-05 07:00:00 to 2021-05-07 07:00:00,290,0.068,1,5.241910900254569,1.3263705565073964,100.0,217.716557264328,294
63,2021-04-23 07:00:00 to 2021-05-07 07:00:00,2021-05-08 07:00:00 to 2021-05-10 07:00:00,50,0.02,3,5.794889797872274,3.2499575770444915,100.0,212.38813495635983,295
