Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-04-05 12:00:00 to 2023-04-19 12:00:00,2023-04-20 12:00:00 to 2023-04-22 12:00:00,70,0.026,2,-1.2518341226643133,6.160196045737402,50.0,209.0749819278717,651
2,2023-04-08 12:00:00 to 2023-04-22 12:00:00,2023-04-23 12:00:00 to 2023-04-25 12:00:00,45,0.03,3,2.3548077788813133,1.1803037669310554,100.0,207.86180305480957,653
3,2023-04-11 12:00:00 to 2023-04-25 12:00:00,2023-04-26 12:00:00 to 2023-04-28 12:00:00,55,0.026,2,6.564246116224258,1.9440640911435183,100.0,209.79606676101685,655
4,2023-04-14 12:00:00 to 2023-04-28 12:00:00,2023-04-29 12:00:00 to 2023-05-01 12:00:00,55,0.026,2,-0.9544979976805734,2.0801457836495225,50.0,216.2050349712372,656
5,2023-04-17 12:00:00 to 2023-05-01 12:00:00,2023-05-02 12:00:00 to 2023-05-04 12:00:00,45,0.03,1,0.6550913580246924,0.4803817985849249,100.0,216.61136102676392,657
6,2023-04-20 12:00:00 to 2023-05-04 12:00:00,2023-05-05 12:00:00 to 2023-05-07 12:00:00,185,0.034,1,-2.5075192020021495,4.756719245085652,0.0,209.3775396347046,659
7,2023-04-23 12:00:00 to 2023-05-07 12:00:00,2023-05-08 12:00:00 to 2023-05-10 12:00:00,155,0.02,2,-8.287964061765852,12.254806029268366,0.0,206.44895911216736,661
8,2023-04-26 12:00:00 to 2023-05-10 12:00:00,2023-05-11 12:00:00 to 2023-05-13 12:00:00,30,0.044,1,1.1993450051493346,0.4287791589480342,100.0,209.41745591163635,662
9,2023-04-29 12:00:00 to 2023-05-13 12:00:00,2023-05-14 12:00:00 to 2023-05-16 12:00:00,30,0.044,0,0.0,0.0,0.0,209.68108987808228,663
10,2023-05-02 12:00:00 to 2023-05-16 12:00:00,2023-05-17 12:00:00 to 2023-05-19 12:00:00,30,0.044,0,0.0,0.0,0.0,209.428936958313,665
11,2023-05-05 12:00:00 to 2023-05-19 12:00:00,2023-05-20 12:00:00 to 2023-05-22 12:00:00,30,0.044,0,0.0,0.0,0.0,208.41715693473816,667
12,2023-05-08 12:00:00 to 2023-05-22 12:00:00,2023-05-23 12:00:00 to 2023-05-25 12:00:00,185,0.024,1,1.790522138649321,3.2257992877328134,0.0,204.9555461406708,668
13,2023-05-11 12:00:00 to 2023-05-25 12:00:00,2023-05-26 12:00:00 to 2023-05-28 12:00:00,230,0.02,0,0.0,0.0,0.0,201.16644406318665,669
14,2023-05-14 12:00:00 to 2023-05-28 12:00:00,2023-05-29 12:00:00 to 2023-05-31 12:00:00,220,0.022,2,0.982635781162553,0.9294253957914388,50.0,201.89533185958865,671
15,2023-05-17 12:00:00 to 2023-05-31 12:00:00,2023-06-01 12:00:00 to 2023-06-03 12:00:00,285,0.028,1,3.197343876279065,2.3710977286704273,100.0,202.46404790878296,673
16,2023-05-20 12:00:00 to 2023-06-03 12:00:00,2023-06-04 12:00:00 to 2023-06-06 12:00:00,160,0.032,1,-12.592634013869992,13.91374829679189,0.0,200.8913872241974,674
17,2023-05-23 12:00:00 to 2023-06-06 12:00:00,2023-06-07 12:00:00 to 2023-06-09 12:00:00,105,0.066,0,0.0,0.0,0.0,200.80940198898315,675
18,2023-05-26 12:00:00 to 2023-06-09 12:00:00,2023-06-10 12:00:00 to 2023-06-12 12:00:00,105,0.066,1,-0.9677463556726617,3.92284854761288,0.0,201.28944778442383,677
19,2023-05-29 12:00:00 to 2023-06-12 12:00:00,2023-06-13 12:00:00 to 2023-06-15 12:00:00,145,0.072,0,0.0,0.0,0.0,205.96901297569275,679
20,2023-06-01 12:00:00 to 2023-06-15 12:00:00,2023-06-16 12:00:00 to 2023-06-18 12:00:00,145,0.072,0,0.0,0.0,0.0,207.0535171031952,680
21,2023-06-04 12:00:00 to 2023-06-18 12:00:00,2023-06-19 12:00:00 to 2023-06-21 12:00:00,125,0.028,1,1.287014705882357,0.2201985294117548,100.0,211.91851592063904,681
22,2023-06-07 12:00:00 to 2023-06-21 12:00:00,2023-06-22 12:00:00 to 2023-06-24 12:00:00,295,0.024,0,0.0,0.0,0.0,204.1019561290741,683
23,2023-06-10 12:00:00 to 2023-06-24 12:00:00,2023-06-25 12:00:00 to 2023-06-27 12:00:00,175,0.032,0,0.0,0.0,0.0,200.60459399223328,685
24,2023-06-13 12:00:00 to 2023-06-27 12:00:00,2023-06-28 12:00:00 to 2023-06-30 12:00:00,135,0.02,2,-0.7563208319311706,5.788299837179158,50.0,200.56559824943545,686
