Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-21 14:30:00 to 2023-03-07 14:30:00,2023-03-08 14:30:00 to 2023-03-10 14:30:00,40,0.034,3,1.4135053123622128,6.214893666721895,66.66666666666666,206.57008576393127,630
2,2023-02-24 14:30:00 to 2023-03-10 14:30:00,2023-03-11 14:30:00 to 2023-03-13 14:30:00,30,0.032,2,2.2692102312241875,2.9278556691975517,100.0,205.442969083786,631
3,2023-02-27 14:30:00 to 2023-03-13 14:30:00,2023-03-14 14:30:00 to 2023-03-16 14:30:00,130,0.08,1,2.4679887910328215,3.978015526787069,0.0,205.74686217308044,633
4,2023-03-02 14:30:00 to 2023-03-16 14:30:00,2023-03-17 14:30:00 to 2023-03-19 14:30:00,240,0.024,2,3.5901092879900167,0.8365948505192263,50.0,208.73058199882507,635
5,2023-03-05 14:30:00 to 2023-03-19 14:30:00,2023-03-20 14:30:00 to 2023-03-22 14:30:00,240,0.024,4,15.277993859290964,4.652557287023241,75.0,207.3377261161804,636
6,2023-03-08 14:30:00 to 2023-03-22 14:30:00,2023-03-23 14:30:00 to 2023-03-25 14:30:00,240,0.022,2,-9.784651124672363,12.688267337096187,50.0,208.29251289367676,637
7,2023-03-11 14:30:00 to 2023-03-25 14:30:00,2023-03-26 14:30:00 to 2023-03-28 14:30:00,265,0.02,3,1.676350797834148,8.990510006911322,66.66666666666666,209.86303091049191,639
8,2023-03-14 14:30:00 to 2023-03-28 14:30:00,2023-03-29 14:30:00 to 2023-03-31 14:30:00,105,0.026,2,-0.1799847282785231,6.900530701363788,50.0,213.29630589485168,641
9,2023-03-17 14:30:00 to 2023-03-31 14:30:00,2023-04-01 14:30:00 to 2023-04-03 14:30:00,235,0.036,2,3.8945114932707656,3.293536410410158,100.0,216.96059608459473,642
10,2023-03-20 14:30:00 to 2023-04-03 14:30:00,2023-04-04 14:30:00 to 2023-04-06 14:30:00,25,0.02,2,0.1697645374964849,1.438963778317315,50.0,206.1190140247345,643
11,2023-03-23 14:30:00 to 2023-04-06 14:30:00,2023-04-07 14:30:00 to 2023-04-09 14:30:00,220,0.042,1,1.7118127106290375,2.8650446400598724,100.0,207.1826848983765,645
12,2023-03-26 14:30:00 to 2023-04-09 14:30:00,2023-04-10 14:30:00 to 2023-04-12 14:30:00,205,0.022,1,1.2001807189183271,0.3774710167839922,100.0,201.68682503700256,647
13,2023-03-29 14:30:00 to 2023-04-12 14:30:00,2023-04-13 14:30:00 to 2023-04-15 14:30:00,110,0.022,3,5.021963173251861,1.7278840862850862,66.66666666666666,201.26028990745544,648
14,2023-04-01 14:30:00 to 2023-04-15 14:30:00,2023-04-16 14:30:00 to 2023-04-18 14:30:00,110,0.022,1,0.3668238805970031,1.5905303452325614,100.0,198.0913138389587,649
15,2023-04-04 14:30:00 to 2023-04-18 14:30:00,2023-04-19 14:30:00 to 2023-04-21 14:30:00,115,0.022,1,-8.518656889673911,9.186174787292664,0.0,197.32482194900513,651
16,2023-04-07 14:30:00 to 2023-04-21 14:30:00,2023-04-22 14:30:00 to 2023-04-24 14:30:00,90,0.026,2,0.7795823471277982,0.8924050998550402,100.0,197.574462890625,653
17,2023-04-10 14:30:00 to 2023-04-24 14:30:00,2023-04-25 14:30:00 to 2023-04-27 14:30:00,50,0.03,1,4.5323690219492345,2.0631694688566857,100.0,202.1065011024475,654
18,2023-04-13 14:30:00 to 2023-04-27 14:30:00,2023-04-28 14:30:00 to 2023-04-30 14:30:00,50,0.03,0,0.0,0.0,0.0,200.07363510131836,655
19,2023-04-16 14:30:00 to 2023-04-30 14:30:00,2023-05-01 14:30:00 to 2023-05-03 14:30:00,40,0.022,1,-0.4714075107905773,1.100715279741476,0.0,198.72666120529175,657
20,2023-04-19 14:30:00 to 2023-05-03 14:30:00,2023-05-04 14:30:00 to 2023-05-06 14:30:00,285,0.02,1,-7.301517665660722,8.485762029533396,0.0,198.89260816574097,659
21,2023-04-22 14:30:00 to 2023-05-06 14:30:00,2023-05-07 14:30:00 to 2023-05-09 14:30:00,80,0.034,1,-3.223988760680495,4.207070090334927,0.0,198.64769768714905,660
22,2023-04-25 14:30:00 to 2023-05-09 14:30:00,2023-05-10 14:30:00 to 2023-05-12 14:30:00,25,0.028,4,2.3285314931808534,0.9564539750727604,75.0,201.09834575653076,661
23,2023-04-28 14:30:00 to 2023-05-12 14:30:00,2023-05-13 14:30:00 to 2023-05-15 14:30:00,20,0.026,0,0.0,0.0,0.0,198.92880272865295,663
24,2023-05-01 14:30:00 to 2023-05-15 14:30:00,2023-05-16 14:30:00 to 2023-05-18 14:30:00,20,0.022,0,0.0,0.0,0.0,197.56558203697205,665
25,2023-05-04 14:30:00 to 2023-05-18 14:30:00,2023-05-19 14:30:00 to 2023-05-21 14:30:00,20,0.026,0,0.0,0.0,0.0,199.3996992111206,666
26,2023-05-07 14:30:00 to 2023-05-21 14:30:00,2023-05-22 14:30:00 to 2023-05-24 14:30:00,20,0.026,0,0.0,0.0,0.0,197.4386401176453,667
27,2023-05-10 14:30:00 to 2023-05-24 14:30:00,2023-05-25 14:30:00 to 2023-05-27 14:30:00,70,0.03,1,0.80178485639688,0.7684922125863708,100.0,195.1538827419281,669
28,2023-05-13 14:30:00 to 2023-05-27 14:30:00,2023-05-28 14:30:00 to 2023-05-30 14:30:00,280,0.048,0,0.0,0.0,0.0,193.98181986808777,671
29,2023-05-16 14:30:00 to 2023-05-30 14:30:00,2023-05-31 14:30:00 to 2023-06-02 14:30:00,280,0.048,1,0.8678580040187626,0.9138766871462104,100.0,194.9863548278809,672
30,2023-05-19 14:30:00 to 2023-06-02 14:30:00,2023-06-03 14:30:00 to 2023-06-05 14:30:00,245,0.046,0,0.0,0.0,0.0,196.93078136444092,673
31,2023-05-22 14:30:00 to 2023-06-05 14:30:00,2023-06-06 14:30:00 to 2023-06-08 14:30:00,275,0.058,1,3.274549402023931,1.6855848214257594,100.0,195.43998908996585,675
32,2023-05-25 14:30:00 to 2023-06-08 14:30:00,2023-06-09 14:30:00 to 2023-06-11 14:30:00,280,0.058,1,-2.880900993041341,7.967550449550455,0.0,194.11872720718384,677
33,2023-05-28 14:30:00 to 2023-06-11 14:30:00,2023-06-12 14:30:00 to 2023-06-14 14:30:00,225,0.062,0,0.0,0.0,0.0,197.2676818370819,678
34,2023-05-31 14:30:00 to 2023-06-14 14:30:00,2023-06-15 14:30:00 to 2023-06-17 14:30:00,135,0.056,0,0.0,0.0,0.0,200.977735042572,679
35,2023-06-03 14:30:00 to 2023-06-17 14:30:00,2023-06-18 14:30:00 to 2023-06-20 14:30:00,135,0.056,0,0.0,0.0,0.0,203.679132938385,681
36,2023-06-06 14:30:00 to 2023-06-20 14:30:00,2023-06-21 14:30:00 to 2023-06-23 14:30:00,130,0.048,1,-0.3203232558139461,1.4819595015181783,0.0,203.01318311691284,683
37,2023-06-09 14:30:00 to 2023-06-23 14:30:00,2023-06-24 14:30:00 to 2023-06-26 14:30:00,150,0.026,1,-1.4264484772256218,5.489129714904368,0.0,198.31525301933289,684
38,2023-06-12 14:30:00 to 2023-06-26 14:30:00,2023-06-27 14:30:00 to 2023-06-29 14:30:00,265,0.03,1,1.1160190435173354,5.990064216772563,100.0,200.6603946685791,685
39,2023-06-15 14:30:00 to 2023-06-29 14:30:00,2023-06-30 14:30:00 to 2023-07-02 14:30:00,165,0.026,2,4.785658166823378,2.2746496636890146,100.0,198.80126905441284,687
40,2023-06-18 14:30:00 to 2023-07-02 14:30:00,2023-07-03 14:30:00 to 2023-07-05 14:30:00,110,0.028,1,-2.07121393535097,4.054648803540403,0.0,196.3197491168976,689
41,2023-06-21 14:30:00 to 2023-07-05 14:30:00,2023-07-06 14:30:00 to 2023-07-08 14:30:00,60,0.02,1,-0.8347420529684859,3.325875607783071,0.0,203.74659395217896,690
42,2023-06-24 14:30:00 to 2023-07-08 14:30:00,2023-07-09 14:30:00 to 2023-07-11 14:30:00,35,0.022,1,0.8577732899022885,0.3275112020071728,100.0,198.1675322055817,691
43,2023-06-27 14:30:00 to 2023-07-11 14:30:00,2023-07-12 14:30:00 to 2023-07-14 14:30:00,60,0.02,1,-0.1443251053582207,1.4413893204109545,0.0,199.07234001159668,693
44,2023-06-30 14:30:00 to 2023-07-14 14:30:00,2023-07-15 14:30:00 to 2023-07-17 14:30:00,210,0.04,1,0.041023972602743,2.136665279797212,100.0,193.7665009498596,695
45,2023-07-03 14:30:00 to 2023-07-17 14:30:00,2023-07-18 14:30:00 to 2023-07-20 14:30:00,175,0.02,0,0.0,0.0,0.0,196.26171779632568,696
46,2023-07-06 14:30:00 to 2023-07-20 14:30:00,2023-07-21 14:30:00 to 2023-07-23 14:30:00,100,0.02,0,0.0,0.0,0.0,194.2674572467804,697
47,2023-07-09 14:30:00 to 2023-07-23 14:30:00,2023-07-24 14:30:00 to 2023-07-26 14:30:00,70,0.022,1,1.1942393419708424,0.9547216455245408,100.0,194.04248595237732,699
48,2023-07-12 14:30:00 to 2023-07-26 14:30:00,2023-07-27 14:30:00 to 2023-07-29 14:30:00,70,0.022,0,0.0,0.0,0.0,194.39936780929563,701
49,2023-07-15 14:30:00 to 2023-07-29 14:30:00,2023-07-30 14:30:00 to 2023-08-01 14:30:00,105,0.02,1,0.9901470888661787,0.3192949060258447,100.0,193.6430561542511,702
50,2023-07-18 14:30:00 to 2023-08-01 14:30:00,2023-08-02 14:30:00 to 2023-08-04 14:30:00,115,0.02,1,-1.3059412420740226,1.4115633471241562,0.0,192.0980763435364,703
51,2023-07-21 14:30:00 to 2023-08-04 14:30:00,2023-08-05 14:30:00 to 2023-08-07 14:30:00,295,0.022,1,0.3616806219902173,1.4988646592031665,100.0,191.9963641166687,705
52,2023-07-24 14:30:00 to 2023-08-07 14:30:00,2023-08-08 14:30:00 to 2023-08-10 14:30:00,290,0.022,1,0.2613103448275797,0.5550600749742344,0.0,191.40304517745972,707
53,2023-07-27 14:30:00 to 2023-08-10 14:30:00,2023-08-11 14:30:00 to 2023-08-13 14:30:00,225,0.02,1,0.2117432013769576,0.4477109603839062,100.0,193.08146500587463,708
54,2023-07-30 14:30:00 to 2023-08-13 14:30:00,2023-08-14 14:30:00 to 2023-08-16 14:30:00,60,0.038,0,0.0,0.0,0.0,193.33046293258667,709
55,2023-08-02 14:30:00 to 2023-08-16 14:30:00,2023-08-17 14:30:00 to 2023-08-19 14:30:00,60,0.038,1,9.322349994133964,1.5033997377651267,100.0,192.6875638961792,711
