Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-07 12:15:00 to 2025-01-21 12:15:00,2025-01-22 12:15:00 to 2025-01-24 12:15:00,195,0.08,1,-14.57157285263984,18.668036644122605,0.0,231.56375575065613,973
2,2025-01-10 12:15:00 to 2025-01-24 12:15:00,2025-01-25 12:15:00 to 2025-01-27 12:15:00,275,0.078,1,-25.716011237533365,31.237479552009624,0.0,228.15252709388733,975
3,2025-01-13 12:15:00 to 2025-01-27 12:15:00,2025-01-28 12:15:00 to 2025-01-30 12:15:00,190,0.078,1,-6.912369928627758,14.606450896392642,0.0,225.86799120903015,976
4,2025-01-16 12:15:00 to 2025-01-30 12:15:00,2025-01-31 12:15:00 to 2025-02-02 12:15:00,160,0.08,3,13.848579163304366,7.82534432321847,66.66666666666666,228.1867709159851,977
5,2025-01-19 12:15:00 to 2025-02-02 12:15:00,2025-02-03 12:15:00 to 2025-02-05 12:15:00,50,0.08,3,14.002082434019558,15.866322524506682,100.0,220.98320698738095,979
6,2025-01-22 12:15:00 to 2025-02-05 12:15:00,2025-02-06 12:15:00 to 2025-02-08 12:15:00,10,0.05,2,-3.7032275546253186,7.330586201475854,50.0,223.22309684753415,981
7,2025-01-25 12:15:00 to 2025-02-08 12:15:00,2025-02-09 12:15:00 to 2025-02-11 12:15:00,175,0.08,0,0.0,0.0,0.0,228.6322319507599,982
8,2025-01-28 12:15:00 to 2025-02-11 12:15:00,2025-02-12 12:15:00 to 2025-02-14 12:15:00,265,0.08,1,-10.713270280850193,14.674702519276462,0.0,228.86991691589355,983
9,2025-01-31 12:15:00 to 2025-02-14 12:15:00,2025-02-15 12:15:00 to 2025-02-17 12:15:00,15,0.078,0,0.0,0.0,0.0,225.1239168643951,985
10,2025-02-03 12:15:00 to 2025-02-17 12:15:00,2025-02-18 12:15:00 to 2025-02-20 12:15:00,290,0.08,1,-0.979952494061763,2.968027279468497,0.0,220.68511486053467,987
11,2025-02-06 12:15:00 to 2025-02-20 12:15:00,2025-02-21 12:15:00 to 2025-02-23 12:15:00,135,0.024,2,-2.8478266575596356,4.747414484022017,50.0,216.65149211883545,988
12,2025-02-09 12:15:00 to 2025-02-23 12:15:00,2025-02-24 12:15:00 to 2025-02-26 12:15:00,290,0.078,1,18.044563191418035,8.087093809054645,100.0,218.35563206672668,989
13,2025-02-12 12:15:00 to 2025-02-26 12:15:00,2025-02-27 12:15:00 to 2025-03-01 12:15:00,295,0.02,3,10.64493842060736,5.593713237202415,66.66666666666666,219.64521312713623,991
14,2025-02-15 12:15:00 to 2025-03-01 12:15:00,2025-03-02 12:15:00 to 2025-03-04 12:15:00,215,0.038,3,5.838676349378366,7.42056055659839,66.66666666666666,221.4505200386047,993
15,2025-02-18 12:15:00 to 2025-03-04 12:15:00,2025-03-05 12:15:00 to 2025-03-07 12:15:00,20,0.026,5,9.479396018590068,5.401604873553236,80.0,221.23270201683044,994
