Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-05-10 12:30:00 to 2023-05-24 12:30:00,2023-05-25 12:30:00 to 2023-05-27 12:30:00,175,0.046,0,0.0,0.0,0.0,202.74785709381104,669
2,2023-05-13 12:30:00 to 2023-05-27 12:30:00,2023-05-28 12:30:00 to 2023-05-30 12:30:00,300,0.042,0,0.0,0.0,0.0,200.18380904197693,671
3,2023-05-16 12:30:00 to 2023-05-30 12:30:00,2023-05-31 12:30:00 to 2023-06-02 12:30:00,225,0.054,0,0.0,0.0,0.0,197.64349007606504,672
4,2023-05-19 12:30:00 to 2023-06-02 12:30:00,2023-06-03 12:30:00 to 2023-06-05 12:30:00,245,0.028,1,-0.390093023255813,0.5761395348837323,0.0,195.09427881240845,673
5,2023-05-22 12:30:00 to 2023-06-05 12:30:00,2023-06-06 12:30:00 to 2023-06-08 12:30:00,200,0.05,1,1.4330270270270375,1.9332372015094168,100.0,196.7316279411316,675
6,2023-05-25 12:30:00 to 2023-06-08 12:30:00,2023-06-09 12:30:00 to 2023-06-11 12:30:00,45,0.022,2,-12.169323089244864,15.899299232736576,0.0,195.57379984855652,677
7,2023-05-28 12:30:00 to 2023-06-11 12:30:00,2023-06-12 12:30:00 to 2023-06-14 12:30:00,230,0.076,0,0.0,0.0,0.0,200.50756192207336,678
8,2023-05-31 12:30:00 to 2023-06-14 12:30:00,2023-06-15 12:30:00 to 2023-06-17 12:30:00,230,0.076,0,0.0,0.0,0.0,202.5757040977478,679
9,2023-06-03 12:30:00 to 2023-06-17 12:30:00,2023-06-18 12:30:00 to 2023-06-20 12:30:00,230,0.08,0,0.0,0.0,0.0,205.48720002174375,681
10,2023-06-06 12:30:00 to 2023-06-20 12:30:00,2023-06-21 12:30:00 to 2023-06-23 12:30:00,230,0.076,0,0.0,0.0,0.0,203.6510980129242,683
11,2023-06-09 12:30:00 to 2023-06-23 12:30:00,2023-06-24 12:30:00 to 2023-06-26 12:30:00,80,0.04,1,-0.0451302774426949,0.9136465621230307,0.0,198.82166814804077,684
12,2023-06-12 12:30:00 to 2023-06-26 12:30:00,2023-06-27 12:30:00 to 2023-06-29 12:30:00,260,0.024,1,-4.00362240082537,8.219327601929898,0.0,194.8561689853668,685
13,2023-06-15 12:30:00 to 2023-06-29 12:30:00,2023-06-30 12:30:00 to 2023-07-02 12:30:00,140,0.03,0,0.0,0.0,0.0,193.5770812034607,687
14,2023-06-18 12:30:00 to 2023-07-02 12:30:00,2023-07-03 12:30:00 to 2023-07-05 12:30:00,50,0.022,1,-0.0458526315789458,0.3244904024767857,0.0,192.76427602767944,689
15,2023-06-21 12:30:00 to 2023-07-05 12:30:00,2023-07-06 12:30:00 to 2023-07-08 12:30:00,50,0.022,1,1.405753846153857,0.4003382209800444,100.0,198.94949221611023,690
16,2023-06-24 12:30:00 to 2023-07-08 12:30:00,2023-07-09 12:30:00 to 2023-07-11 12:30:00,145,0.032,1,0.5765719844357955,0.7562427548550676,100.0,196.9494218826294,691
17,2023-06-27 12:30:00 to 2023-07-11 12:30:00,2023-07-12 12:30:00 to 2023-07-14 12:30:00,125,0.022,0,0.0,0.0,0.0,191.9496991634369,693
18,2023-06-30 12:30:00 to 2023-07-14 12:30:00,2023-07-15 12:30:00 to 2023-07-17 12:30:00,145,0.02,1,-0.0078166147510637,2.9266079131142946,0.0,193.8440339565277,695
19,2023-07-03 12:30:00 to 2023-07-17 12:30:00,2023-07-18 12:30:00 to 2023-07-20 12:30:00,155,0.02,1,0.5366772756206228,0.82515690311089,100.0,198.11846113204956,696
20,2023-07-06 12:30:00 to 2023-07-20 12:30:00,2023-07-21 12:30:00 to 2023-07-23 12:30:00,220,0.02,1,0.8053324921135573,0.2808525024319936,0.0,193.06514191627505,697
