Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-18 07:00:00 to 2020-10-02 07:00:00,2020-10-03 07:00:00 to 2020-10-05 07:00:00,65,0.032,2,0.570611455688886,3.2737631117712604,50.0,216.96230912208557,187
2,2020-09-21 07:00:00 to 2020-10-05 07:00:00,2020-10-06 07:00:00 to 2020-10-08 07:00:00,30,0.03,5,-2.097151394445755,10.157377053479616,60.0,213.84832787513733,189
3,2020-09-24 07:00:00 to 2020-10-08 07:00:00,2020-10-09 07:00:00 to 2020-10-11 07:00:00,25,0.034,1,0.3920240574506352,0.9012486776215888,100.0,214.13745617866516,190
4,2020-09-27 07:00:00 to 2020-10-11 07:00:00,2020-10-12 07:00:00 to 2020-10-14 07:00:00,35,0.044,0,0.0,0.0,0.0,213.4113931655884,191
5,2020-09-30 07:00:00 to 2020-10-14 07:00:00,2020-10-15 07:00:00 to 2020-10-17 07:00:00,60,0.066,0,0.0,0.0,0.0,209.89040994644165,193
6,2020-10-03 07:00:00 to 2020-10-17 07:00:00,2020-10-18 07:00:00 to 2020-10-20 07:00:00,45,0.024,0,0.0,0.0,0.0,210.33007907867432,195
7,2020-10-06 07:00:00 to 2020-10-20 07:00:00,2020-10-21 07:00:00 to 2020-10-23 07:00:00,60,0.022,2,1.8428543918862488,0.7974220666400856,50.0,201.42313075065613,196
8,2020-10-09 07:00:00 to 2020-10-23 07:00:00,2020-10-24 07:00:00 to 2020-10-26 07:00:00,45,0.024,2,2.2590607390270634,1.3403715265883769,100.0,201.47779297828671,197
9,2020-10-12 07:00:00 to 2020-10-26 07:00:00,2020-10-27 07:00:00 to 2020-10-29 07:00:00,65,0.02,2,-0.5493368450866729,4.960423909633604,50.0,205.24387407302856,199
10,2020-10-15 07:00:00 to 2020-10-29 07:00:00,2020-10-30 07:00:00 to 2020-11-01 07:00:00,60,0.022,2,-2.8533084068766037,5.342350601580583,0.0,203.43987607955933,201
11,2020-10-18 07:00:00 to 2020-11-01 07:00:00,2020-11-02 07:00:00 to 2020-11-04 07:00:00,30,0.024,2,1.0331941120291597,2.1703829446369984,100.0,201.76123690605164,202
12,2020-10-21 07:00:00 to 2020-11-04 07:00:00,2020-11-05 07:00:00 to 2020-11-07 07:00:00,30,0.024,3,5.8182676199280285,4.656877797622655,66.66666666666666,200.0510058403015,203
13,2020-10-24 07:00:00 to 2020-11-07 07:00:00,2020-11-08 07:00:00 to 2020-11-10 07:00:00,15,0.028,3,1.634368264889581,1.5969735617790757,33.33333333333333,205.43057417869568,205
14,2020-10-27 07:00:00 to 2020-11-10 07:00:00,2020-11-11 07:00:00 to 2020-11-13 07:00:00,105,0.054,2,5.349241049558586,0.5622139718954388,100.0,205.68048000335693,207
15,2020-10-30 07:00:00 to 2020-11-13 07:00:00,2020-11-14 07:00:00 to 2020-11-16 07:00:00,120,0.026,1,1.555679643006497,4.329487840368183,0.0,203.7839970588684,208
16,2020-11-02 07:00:00 to 2020-11-16 07:00:00,2020-11-17 07:00:00 to 2020-11-19 07:00:00,225,0.022,2,0.4693567085413269,7.470517627951799,50.0,209.98800420761108,209
17,2020-11-05 07:00:00 to 2020-11-19 07:00:00,2020-11-20 07:00:00 to 2020-11-22 07:00:00,170,0.03,3,3.458876436084793,1.8847628791534057,66.66666666666666,208.07383489608765,211
18,2020-11-08 07:00:00 to 2020-11-22 07:00:00,2020-11-23 07:00:00 to 2020-11-25 07:00:00,70,0.022,2,1.6476571829948623,4.402282754988176,50.0,212.60016798973083,213
19,2020-11-11 07:00:00 to 2020-11-25 07:00:00,2020-11-26 07:00:00 to 2020-11-28 07:00:00,20,0.022,5,-1.6058524239889267,7.076752993594377,60.0,209.4641396999359,214
20,2020-11-14 07:00:00 to 2020-11-28 07:00:00,2020-11-29 07:00:00 to 2020-12-01 07:00:00,15,0.024,0,0.0,0.0,0.0,215.07217288017273,215
21,2020-11-17 07:00:00 to 2020-12-01 07:00:00,2020-12-02 07:00:00 to 2020-12-04 07:00:00,145,0.03,2,2.372861768020084,0.75364377876326,50.0,210.0858130455017,217
22,2020-11-20 07:00:00 to 2020-12-04 07:00:00,2020-12-05 07:00:00 to 2020-12-07 07:00:00,70,0.034,2,2.7376103518533093,1.16543679060776,100.0,207.3924219608307,219
23,2020-11-23 07:00:00 to 2020-12-07 07:00:00,2020-12-08 07:00:00 to 2020-12-10 07:00:00,295,0.046,1,-3.747647344605885,6.953805605027541,0.0,208.095232963562,220
24,2020-11-26 07:00:00 to 2020-12-10 07:00:00,2020-12-11 07:00:00 to 2020-12-13 07:00:00,40,0.036,1,-1.2158570941616744,2.574801450811101,0.0,203.80252695083615,221
25,2020-11-29 07:00:00 to 2020-12-13 07:00:00,2020-12-14 07:00:00 to 2020-12-16 07:00:00,110,0.06,0,0.0,0.0,0.0,207.36905813217163,223
26,2020-12-02 07:00:00 to 2020-12-16 07:00:00,2020-12-17 07:00:00 to 2020-12-19 07:00:00,110,0.06,0,0.0,0.0,0.0,205.76714706420896,225
27,2020-12-05 07:00:00 to 2020-12-19 07:00:00,2020-12-20 07:00:00 to 2020-12-22 07:00:00,105,0.044,3,-1.8372373241566855,5.977136087634322,66.66666666666666,195.90889406204224,226
28,2020-12-08 07:00:00 to 2020-12-22 07:00:00,2020-12-23 07:00:00 to 2020-12-25 07:00:00,70,0.022,1,-5.9262532359301625,10.634094547833431,0.0,204.5813081264496,227
29,2020-12-11 07:00:00 to 2020-12-25 07:00:00,2020-12-26 07:00:00 to 2020-12-28 07:00:00,45,0.038,0,0.0,0.0,0.0,199.10224413871765,229
30,2020-12-14 07:00:00 to 2020-12-28 07:00:00,2020-12-29 07:00:00 to 2020-12-31 07:00:00,45,0.038,1,0.8767373562576721,0.8446385977132665,100.0,205.01623725891113,231
31,2020-12-17 07:00:00 to 2020-12-31 07:00:00,2021-01-01 07:00:00 to 2021-01-03 07:00:00,45,0.02,5,6.904755241272197,5.877381744973794,80.0,206.99350881576535,232
32,2020-12-20 07:00:00 to 2021-01-03 07:00:00,2021-01-04 07:00:00 to 2021-01-06 07:00:00,195,0.022,1,1.7159233020727516,0.0245256697818286,100.0,207.04011797904968,233
33,2020-12-23 07:00:00 to 2021-01-06 07:00:00,2021-01-07 07:00:00 to 2021-01-09 07:00:00,35,0.02,4,0.4246856522404414,9.666061100878665,50.0,204.8911647796631,235
34,2020-12-26 07:00:00 to 2021-01-09 07:00:00,2021-01-10 07:00:00 to 2021-01-12 07:00:00,170,0.024,1,-7.955792831006201,23.633338384702576,0.0,206.97185897827148,237
35,2020-12-29 07:00:00 to 2021-01-12 07:00:00,2021-01-13 07:00:00 to 2021-01-15 07:00:00,35,0.036,2,2.741107110575831,1.493993935242531,100.0,207.69109106063843,238
36,2021-01-01 07:00:00 to 2021-01-15 07:00:00,2021-01-16 07:00:00 to 2021-01-18 07:00:00,35,0.056,0,0.0,0.0,0.0,211.35755276679993,239
37,2021-01-04 07:00:00 to 2021-01-18 07:00:00,2021-01-19 07:00:00 to 2021-01-21 07:00:00,35,0.022,6,2.53057578027172,6.571316532103788,66.66666666666666,211.79935598373413,241
38,2021-01-07 07:00:00 to 2021-01-21 07:00:00,2021-01-22 07:00:00 to 2021-01-24 07:00:00,10,0.026,2,2.1811207592816753,1.684812931308708,100.0,212.2326462268829,243
39,2021-01-10 07:00:00 to 2021-01-24 07:00:00,2021-01-25 07:00:00 to 2021-01-27 07:00:00,35,0.022,4,10.929415496956844,3.0753455523010693,100.0,210.55124402046204,244
40,2021-01-13 07:00:00 to 2021-01-27 07:00:00,2021-01-28 07:00:00 to 2021-01-30 07:00:00,35,0.02,4,5.593908103113099,6.434021798760884,75.0,207.75359725952148,245
41,2021-01-16 07:00:00 to 2021-01-30 07:00:00,2021-01-31 07:00:00 to 2021-02-02 07:00:00,60,0.02,2,-4.0494536110447,9.57740444601168,0.0,209.02779293060303,247
42,2021-01-19 07:00:00 to 2021-02-02 07:00:00,2021-02-03 07:00:00 to 2021-02-05 07:00:00,115,0.022,3,3.9651684663483135,0.7282720110423936,66.66666666666666,210.85952806472775,249
43,2021-01-22 07:00:00 to 2021-02-05 07:00:00,2021-02-06 07:00:00 to 2021-02-08 07:00:00,20,0.022,5,1.2555783872128994,3.976566645345778,60.0,198.91836309432983,250
44,2021-01-25 07:00:00 to 2021-02-08 07:00:00,2021-02-09 07:00:00 to 2021-02-11 07:00:00,20,0.022,1,2.617968624368841,3.8646178178767014,100.0,202.88374090194705,251
