Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-20 10:30:00 to 2024-09-03 10:30:00,2024-09-04 10:30:00 to 2024-09-06 10:30:00,30,0.022,4,2.880681373884818,1.2399734837774372,50.0,213.570476770401,903
2,2024-08-23 10:30:00 to 2024-09-06 10:30:00,2024-09-07 10:30:00 to 2024-09-09 10:30:00,45,0.03,1,1.8419412915851172,0.1168205920747987,100.0,210.6153609752655,905
3,2024-08-26 10:30:00 to 2024-09-09 10:30:00,2024-09-10 10:30:00 to 2024-09-12 10:30:00,230,0.036,1,1.7303089005235597,1.7251742679426023,100.0,209.97278380393985,906
4,2024-08-29 10:30:00 to 2024-09-12 10:30:00,2024-09-13 10:30:00 to 2024-09-15 10:30:00,160,0.03,1,1.4500177890724264,0.3425491053023317,100.0,204.3423101902008,907
5,2024-09-01 10:30:00 to 2024-09-15 10:30:00,2024-09-16 10:30:00 to 2024-09-18 10:30:00,250,0.03,1,1.1248974626387098,5.795846029297405,100.0,203.55284595489505,909
6,2024-09-04 10:30:00 to 2024-09-18 10:30:00,2024-09-19 10:30:00 to 2024-09-21 10:30:00,235,0.03,0,0.0,0.0,0.0,199.74326300621033,911
7,2024-09-07 10:30:00 to 2024-09-21 10:30:00,2024-09-22 10:30:00 to 2024-09-24 10:30:00,295,0.03,1,1.508446351931325,1.8863838939340332,100.0,199.11190915107727,912
8,2024-09-10 10:30:00 to 2024-09-24 10:30:00,2024-09-25 10:30:00 to 2024-09-27 10:30:00,110,0.02,1,1.4380626199444124,2.031935746273158,100.0,201.90738725662231,913
9,2024-09-13 10:30:00 to 2024-09-27 10:30:00,2024-09-28 10:30:00 to 2024-09-30 10:30:00,115,0.02,2,-0.356407673856811,2.9419169955646773,0.0,201.03631472587583,915
10,2024-09-16 10:30:00 to 2024-09-30 10:30:00,2024-10-01 10:30:00 to 2024-10-03 10:30:00,115,0.02,2,-8.813081316262451,14.171714133281656,50.0,197.78062200546265,917
11,2024-09-19 10:30:00 to 2024-10-03 10:30:00,2024-10-04 10:30:00 to 2024-10-06 10:30:00,80,0.02,1,0.7635246872942844,0.4327583936800511,100.0,198.7236819267273,918
12,2024-09-22 10:30:00 to 2024-10-06 10:30:00,2024-10-07 10:30:00 to 2024-10-09 10:30:00,80,0.028,1,-0.0654341846758507,1.525497994908894,0.0,200.61286520957947,919
13,2024-09-25 10:30:00 to 2024-10-09 10:30:00,2024-10-10 10:30:00 to 2024-10-12 10:30:00,80,0.036,0,0.0,0.0,0.0,199.73782110214233,921
14,2024-09-28 10:30:00 to 2024-10-12 10:30:00,2024-10-13 10:30:00 to 2024-10-15 10:30:00,80,0.02,1,-0.0330249027606441,2.674985921881623,0.0,201.90566396713257,923
15,2024-10-01 10:30:00 to 2024-10-15 10:30:00,2024-10-16 10:30:00 to 2024-10-18 10:30:00,60,0.02,3,2.245062993205047,0.9683885880863145,100.0,200.92510199546817,924
16,2024-10-04 10:30:00 to 2024-10-18 10:30:00,2024-10-19 10:30:00 to 2024-10-21 10:30:00,90,0.02,1,1.0850467289719563,0.186224299065434,100.0,197.69246006011963,925
17,2024-10-07 10:30:00 to 2024-10-21 10:30:00,2024-10-22 10:30:00 to 2024-10-24 10:30:00,90,0.02,5,4.25895234476884,6.039589914234225,60.0,197.16754531860352,927
18,2024-10-10 10:30:00 to 2024-10-24 10:30:00,2024-10-25 10:30:00 to 2024-10-27 10:30:00,90,0.02,2,-2.2520126902719673,6.798968798077382,50.0,194.34476113319397,929
19,2024-10-13 10:30:00 to 2024-10-27 10:30:00,2024-10-28 10:30:00 to 2024-10-30 10:30:00,100,0.02,1,0.932029589778067,0.2710965820598219,100.0,200.02670621871948,930
20,2024-10-16 10:30:00 to 2024-10-30 10:30:00,2024-10-31 10:30:00 to 2024-11-02 10:30:00,70,0.02,2,-1.9548596294728309,4.91227456282395,50.0,200.01386618614197,931
21,2024-10-19 10:30:00 to 2024-11-02 10:30:00,2024-11-03 10:30:00 to 2024-11-05 10:30:00,35,0.02,3,2.155987040333366,2.866276010148315,66.66666666666666,201.02049088478088,933
22,2024-10-22 10:30:00 to 2024-11-05 10:30:00,2024-11-06 10:30:00 to 2024-11-08 10:30:00,35,0.02,2,0.9824525524678394,0.8669188202469168,50.0,201.07405591011047,935
23,2024-10-25 10:30:00 to 2024-11-08 10:30:00,2024-11-09 10:30:00 to 2024-11-11 10:30:00,35,0.02,3,3.678475484968767,1.9803377897828032,100.0,201.30102801322937,936
24,2024-10-28 10:30:00 to 2024-11-11 10:30:00,2024-11-12 10:30:00 to 2024-11-14 10:30:00,65,0.02,3,2.8117307914532463,4.358373624926089,100.0,199.239155292511,937
25,2024-10-31 10:30:00 to 2024-11-14 10:30:00,2024-11-15 10:30:00 to 2024-11-17 10:30:00,65,0.02,2,4.550944619374568,1.5857750489376223,100.0,205.42974424362183,939
26,2024-11-03 10:30:00 to 2024-11-17 10:30:00,2024-11-18 10:30:00 to 2024-11-20 10:30:00,120,0.02,3,3.018526782067056,3.150017524701462,100.0,201.5819311141968,941
27,2024-11-06 10:30:00 to 2024-11-20 10:30:00,2024-11-21 10:30:00 to 2024-11-23 10:30:00,65,0.02,3,5.7213908668802285,1.9287990672305024,100.0,202.4320240020752,942
28,2024-11-09 10:30:00 to 2024-11-23 10:30:00,2024-11-24 10:30:00 to 2024-11-26 10:30:00,120,0.02,2,-1.0608839022063512,3.6933859368119815,50.0,203.9326689243317,943
29,2024-11-12 10:30:00 to 2024-11-26 10:30:00,2024-11-27 10:30:00 to 2024-11-29 10:30:00,65,0.022,1,1.1809947970863686,0.2562106443628452,100.0,199.7332887649536,945
30,2024-11-15 10:30:00 to 2024-11-29 10:30:00,2024-11-30 10:30:00 to 2024-12-02 10:30:00,45,0.02,2,1.638666853383402,1.1660665958401455,50.0,200.99241089820865,947
31,2024-11-18 10:30:00 to 2024-12-02 10:30:00,2024-12-03 10:30:00 to 2024-12-05 10:30:00,45,0.02,3,9.667195669069352,1.5533506804757558,100.0,199.52632188796997,948
32,2024-11-21 10:30:00 to 2024-12-05 10:30:00,2024-12-06 10:30:00 to 2024-12-08 10:30:00,45,0.02,3,3.25782374024162,1.581070119294801,33.33333333333333,197.60808324813843,949
33,2024-11-24 10:30:00 to 2024-12-08 10:30:00,2024-12-09 10:30:00 to 2024-12-11 10:30:00,45,0.02,4,-13.001769481377124,18.27720638857339,25.0,198.2056210041046,951
34,2024-11-27 10:30:00 to 2024-12-11 10:30:00,2024-12-12 10:30:00 to 2024-12-14 10:30:00,15,0.04,0,0.0,0.0,0.0,198.17887210845947,953
35,2024-11-30 10:30:00 to 2024-12-14 10:30:00,2024-12-15 10:30:00 to 2024-12-17 10:30:00,20,0.02,5,2.166647521214436,0.770439337222773,80.0,202.55739307403564,954
36,2024-12-03 10:30:00 to 2024-12-17 10:30:00,2024-12-18 10:30:00 to 2024-12-20 10:30:00,20,0.02,6,-11.332993199642024,12.945547523557252,33.33333333333333,206.7829201221466,955
37,2024-12-06 10:30:00 to 2024-12-20 10:30:00,2024-12-21 10:30:00 to 2024-12-23 10:30:00,55,0.058,0,0.0,0.0,0.0,208.27442502975464,957
38,2024-12-09 10:30:00 to 2024-12-23 10:30:00,2024-12-24 10:30:00 to 2024-12-26 10:30:00,100,0.08,0,0.0,0.0,0.0,209.55747199058533,959
39,2024-12-12 10:30:00 to 2024-12-26 10:30:00,2024-12-27 10:30:00 to 2024-12-29 10:30:00,80,0.058,0,0.0,0.0,0.0,208.5071287155151,960
40,2024-12-15 10:30:00 to 2024-12-29 10:30:00,2024-12-30 10:30:00 to 2025-01-01 10:30:00,85,0.066,0,0.0,0.0,0.0,206.54850888252255,961
41,2024-12-18 10:30:00 to 2025-01-01 10:30:00,2025-01-02 10:30:00 to 2025-01-04 10:30:00,195,0.032,0,0.0,0.0,0.0,206.73789191246033,963
42,2024-12-21 10:30:00 to 2025-01-04 10:30:00,2025-01-05 10:30:00 to 2025-01-07 10:30:00,60,0.02,1,0.2342935779816616,0.5707482134667773,0.0,202.6346471309662,965
43,2024-12-24 10:30:00 to 2025-01-07 10:30:00,2025-01-08 10:30:00 to 2025-01-10 10:30:00,235,0.026,1,-4.585373167981961,8.900567912423258,0.0,198.85522723197937,966
44,2024-12-27 10:30:00 to 2025-01-10 10:30:00,2025-01-11 10:30:00 to 2025-01-13 10:30:00,55,0.022,2,-3.623648855629235,5.111603323956053,50.0,200.7040147781372,967
45,2024-12-30 10:30:00 to 2025-01-13 10:30:00,2025-01-14 10:30:00 to 2025-01-16 10:30:00,65,0.02,1,1.5870386597938158,0.2894131772237814,100.0,197.987633228302,969
46,2025-01-02 10:30:00 to 2025-01-16 10:30:00,2025-01-17 10:30:00 to 2025-01-19 10:30:00,65,0.02,2,-6.037950964397915,7.27401613370441,0.0,199.79431986808777,971
47,2025-01-05 10:30:00 to 2025-01-19 10:30:00,2025-01-20 10:30:00 to 2025-01-22 10:30:00,275,0.058,2,4.884655747555771,3.3547140511808484,100.0,205.18618178367615,972
48,2025-01-08 10:30:00 to 2025-01-22 10:30:00,2025-01-23 10:30:00 to 2025-01-25 10:30:00,285,0.058,1,-0.6822066420664123,1.3282112587893438,0.0,204.91482973098755,973
49,2025-01-11 10:30:00 to 2025-01-25 10:30:00,2025-01-26 10:30:00 to 2025-01-28 10:30:00,195,0.044,1,4.582544010884321,3.113155448339351,100.0,204.1397089958191,975
50,2025-01-14 10:30:00 to 2025-01-28 10:30:00,2025-01-29 10:30:00 to 2025-01-31 10:30:00,220,0.04,2,3.9378383922836657,0.2681985702938982,100.0,208.8816556930542,977
51,2025-01-17 10:30:00 to 2025-01-31 10:30:00,2025-02-01 10:30:00 to 2025-02-03 10:30:00,200,0.038,1,-22.683804300823923,29.98790060188159,0.0,209.98612475395203,978
52,2025-01-20 10:30:00 to 2025-02-03 10:30:00,2025-02-04 10:30:00 to 2025-02-06 10:30:00,55,0.08,0,0.0,0.0,0.0,205.9987051486969,979
53,2025-01-23 10:30:00 to 2025-02-06 10:30:00,2025-02-07 10:30:00 to 2025-02-09 10:30:00,55,0.08,0,0.0,0.0,0.0,207.1428451538086,981
54,2025-01-26 10:30:00 to 2025-02-09 10:30:00,2025-02-10 10:30:00 to 2025-02-12 10:30:00,55,0.08,0,0.0,0.0,0.0,209.0631091594696,983
55,2025-01-29 10:30:00 to 2025-02-12 10:30:00,2025-02-13 10:30:00 to 2025-02-15 10:30:00,10,0.022,4,2.4350278559294747,1.6389793436293438,100.0,206.0087080001831,984
56,2025-02-01 10:30:00 to 2025-02-15 10:30:00,2025-02-16 10:30:00 to 2025-02-18 10:30:00,160,0.024,3,2.236315941124758,6.017630351357342,66.66666666666666,210.65603685379028,985
57,2025-02-04 10:30:00 to 2025-02-18 10:30:00,2025-02-19 10:30:00 to 2025-02-21 10:30:00,35,0.026,1,1.5165503731343233,0.0183397224386545,100.0,206.36680507659912,987
58,2025-02-07 10:30:00 to 2025-02-21 10:30:00,2025-02-22 10:30:00 to 2025-02-24 10:30:00,35,0.026,2,-0.1556052069891666,1.5082386351113706,50.0,207.99324703216553,989
59,2025-02-10 10:30:00 to 2025-02-24 10:30:00,2025-02-25 10:30:00 to 2025-02-27 10:30:00,30,0.028,2,3.355633309668974,0.8195094234477942,100.0,204.46226692199707,990
60,2025-02-13 10:30:00 to 2025-02-27 10:30:00,2025-02-28 10:30:00 to 2025-03-02 10:30:00,30,0.028,1,1.031533980582517,0.7237184538363074,100.0,206.9260292053223,991
61,2025-02-16 10:30:00 to 2025-03-02 10:30:00,2025-03-03 10:30:00 to 2025-03-05 10:30:00,235,0.022,1,-6.996391711536817,12.453968919902673,0.0,197.82041668891907,993
62,2025-02-19 10:30:00 to 2025-03-05 10:30:00,2025-03-06 10:30:00 to 2025-03-08 10:30:00,270,0.08,0,0.0,0.0,0.0,196.707133769989,995
