Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-02 14:00:00 to 2025-01-16 14:00:00,2025-01-17 14:00:00 to 2025-01-19 14:00:00,50,0.08,2,-21.60872604689879,26.698916708016984,50.0,221.8136818408966,971
2,2025-01-05 14:00:00 to 2025-01-19 14:00:00,2025-01-20 14:00:00 to 2025-01-22 14:00:00,10,0.056,1,0.9210638297872172,2.111274951586204,100.0,222.5686159133911,972
3,2025-01-08 14:00:00 to 2025-01-22 14:00:00,2025-01-23 14:00:00 to 2025-01-25 14:00:00,10,0.072,0,0.0,0.0,0.0,223.44244575500488,973
4,2025-01-11 14:00:00 to 2025-01-25 14:00:00,2025-01-26 14:00:00 to 2025-01-28 14:00:00,10,0.072,0,0.0,0.0,0.0,222.12018203735352,975
5,2025-01-14 14:00:00 to 2025-01-28 14:00:00,2025-01-29 14:00:00 to 2025-01-31 14:00:00,10,0.072,0,0.0,0.0,0.0,222.43568181991577,977
6,2025-01-17 14:00:00 to 2025-01-31 14:00:00,2025-02-01 14:00:00 to 2025-02-03 14:00:00,10,0.072,2,5.259568420216911,5.327053548987222,100.0,223.1438648700714,978
7,2025-01-20 14:00:00 to 2025-02-03 14:00:00,2025-02-04 14:00:00 to 2025-02-06 14:00:00,10,0.068,0,0.0,0.0,0.0,219.80008912086487,979
8,2025-01-23 14:00:00 to 2025-02-06 14:00:00,2025-02-07 14:00:00 to 2025-02-09 14:00:00,15,0.074,1,-3.801463163596964,6.390237269772497,0.0,227.30589604377747,981
9,2025-01-26 14:00:00 to 2025-02-09 14:00:00,2025-02-10 14:00:00 to 2025-02-12 14:00:00,290,0.048,3,3.728984292212008,4.708937087325393,66.66666666666666,227.74395489692688,983
10,2025-01-29 14:00:00 to 2025-02-12 14:00:00,2025-02-13 14:00:00 to 2025-02-15 14:00:00,300,0.05,1,-26.012432900432913,27.99951300719905,0.0,227.56984996795657,984
11,2025-02-01 14:00:00 to 2025-02-15 14:00:00,2025-02-16 14:00:00 to 2025-02-18 14:00:00,155,0.046,5,16.70508711526223,3.75429863382043,100.0,228.96623420715332,985
12,2025-02-04 14:00:00 to 2025-02-18 14:00:00,2025-02-19 14:00:00 to 2025-02-21 14:00:00,135,0.048,2,5.358245573013756,1.819918645592267,100.0,228.0950837135315,987
13,2025-02-07 14:00:00 to 2025-02-21 14:00:00,2025-02-22 14:00:00 to 2025-02-24 14:00:00,155,0.052,2,-2.692773327370323,9.58707909870702,50.0,228.33179879188535,989
14,2025-02-10 14:00:00 to 2025-02-24 14:00:00,2025-02-25 14:00:00 to 2025-02-27 14:00:00,130,0.046,1,12.381057493155566,5.652571935532571,100.0,228.84189891815183,990
15,2025-02-13 14:00:00 to 2025-02-27 14:00:00,2025-02-28 14:00:00 to 2025-03-02 14:00:00,260,0.064,2,17.76200410673246,5.672423389586398,50.0,225.67030501365664,991
16,2025-02-16 14:00:00 to 2025-03-02 14:00:00,2025-03-03 14:00:00 to 2025-03-05 14:00:00,300,0.06,1,3.067542906178496,16.76532567729945,0.0,223.23403406143188,993
17,2025-02-19 14:00:00 to 2025-03-05 14:00:00,2025-03-06 14:00:00 to 2025-03-08 14:00:00,300,0.06,1,-17.33000131839157,19.1627248447527,0.0,216.92298889160156,995
