normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
68,LTCUSDT,6,2020-02-08 08:00:00 to 2020-02-10 08:00:00,-2.0811642060184155,0,1,0.0,-2.0811642060184155,1.0,67,8,2,2,6,4.0
78,XLMUSDT,9,2020-02-28 08:00:00 to 2020-03-01 08:00:00,0.0,0,0,0.0,0.0,0.0,77,8,9,1,8,6.9
81,ZECUSDT,6,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0.0,0,0,0.0,0.0,0.0,80,8,2,2,2,2.0
87,ZECUSDT,10,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,0,0,0.0,0.0,0.0,86,8,3,3,4,3.5
93,XRPUSDT,24,2020-03-30 08:15:00 to 2020-04-01 08:15:00,0.0,0,0,0.0,0.0,0.0,92,8,5,5,7,6.0
96,ETHUSDT,39,2020-04-04 07:45:00 to 2020-04-06 07:45:00,0.0,0,0,0.0,0.0,0.0,95,8,2,2,7,4.5
99,XRPUSDT,28,2020-04-11 08:15:00 to 2020-04-13 08:15:00,0.0,0,0,0.0,0.0,0.0,98,8,4,4,6,5.0
102,LINKUSDT,26,2020-04-16 08:00:00 to 2020-04-18 08:00:00,0.0,0,0,0.0,0.0,0.0,101,8,11,7,4,6.7
104,ONTUSDT,19,2020-04-20 08:00:00 to 2020-04-22 08:00:00,0.0,0,0,0.0,0.0,0.0,103,8,4,4,6,5.0
105,QTUMUSDT,17,2020-04-23 08:00:00 to 2020-04-25 08:00:00,0.0,0,0,0.0,0.0,0.0,104,8,5,5,7,6.0
108,BNBUSDT,22,2020-04-28 08:00:00 to 2020-04-30 08:00:00,0.0,0,0,0.0,0.0,0.0,107,8,1,1,8,4.5
110,ZECUSDT,25,2020-05-02 08:00:00 to 2020-05-04 08:00:00,-1.0172092814296874,0,1,0.0,-1.0172092814296874,1.0,109,8,17,8,5,9.2
111,ZECUSDT,26,2020-05-05 08:00:00 to 2020-05-07 08:00:00,0.0,0,0,0.0,0.0,0.0,110,8,8,1,1,3.1
112,BTCUSDT,76,2020-05-05 17:45:00 to 2020-05-07 17:45:00,0.0,0,0,0.0,0.0,0.0,111,8,17,7,3,8.0
114,ETHUSDT,51,2020-05-10 07:45:00 to 2020-05-12 07:45:00,1.5549994930209365,1,1,100.0,-2.9206413233873962,0.532417137485896,113,8,1,1,5,3.0
117,TRXUSDT,37,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0.0,0,0,0.0,0.0,0.0,116,8,8,1,1,3.1
122,ZECUSDT,33,2020-05-26 08:00:00 to 2020-05-28 08:00:00,0.0,0,0,0.0,0.0,0.0,121,8,20,5,2,8.0
123,QTUMUSDT,29,2020-05-29 08:00:00 to 2020-05-31 08:00:00,0.0,0,0,0.0,0.0,0.0,122,8,1,1,2,1.5
129,TRXUSDT,45,2020-06-10 08:00:00 to 2020-06-12 08:00:00,0.0,0,0,0.0,0.0,0.0,128,8,1,1,8,4.5
131,IOSTUSDT,34,2020-06-14 08:00:00 to 2020-06-16 08:00:00,-1.063662762312656,0,1,0.0,-1.063662762312656,1.0,130,8,8,4,4,5.2
135,QTUMUSDT,37,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0.0,0,0,0.0,0.0,0.0,134,8,1,1,2,1.5
