Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-01-26 07:00:00 to 2021-02-09 07:00:00,2021-02-10 07:00:00 to 2021-02-12 07:00:00,40,0.02,2,-3.70377797009578,9.906810151664526,50.0,213.8004810810089,252
2,2021-01-29 07:00:00 to 2021-02-12 07:00:00,2021-02-13 07:00:00 to 2021-02-15 07:00:00,55,0.026,5,33.56774877474703,4.044056463264952,100.0,215.5728380680084,253
3,2021-02-01 07:00:00 to 2021-02-15 07:00:00,2021-02-16 07:00:00 to 2021-02-18 07:00:00,55,0.026,4,12.084671009943175,3.7547717962835128,100.0,211.80553483963013,255
4,2021-02-04 07:00:00 to 2021-02-18 07:00:00,2021-02-19 07:00:00 to 2021-02-21 07:00:00,55,0.026,2,0.9039667790249224,9.041093437991533,50.0,219.3538229465485,257
5,2021-02-07 07:00:00 to 2021-02-21 07:00:00,2021-02-22 07:00:00 to 2021-02-24 07:00:00,45,0.04,4,-20.25099090569563,39.36685701660407,50.0,213.95988297462463,258
6,2021-02-10 07:00:00 to 2021-02-24 07:00:00,2021-02-25 07:00:00 to 2021-02-27 07:00:00,280,0.02,6,17.35057636198018,4.819366978763515,100.0,217.56118297576904,259
7,2021-02-13 07:00:00 to 2021-02-27 07:00:00,2021-02-28 07:00:00 to 2021-03-02 07:00:00,275,0.026,2,3.561093906489823,9.985713380939984,100.0,221.6643030643463,261
8,2021-02-16 07:00:00 to 2021-03-02 07:00:00,2021-03-03 07:00:00 to 2021-03-05 07:00:00,270,0.026,0,0.0,0.0,0.0,218.80298972129825,263
9,2021-02-19 07:00:00 to 2021-03-05 07:00:00,2021-03-06 07:00:00 to 2021-03-08 07:00:00,215,0.026,1,0.7127546995223202,5.95055769338798,100.0,222.38984775543213,264
10,2021-02-22 07:00:00 to 2021-03-08 07:00:00,2021-03-09 07:00:00 to 2021-03-11 07:00:00,245,0.036,0,0.0,0.0,0.0,219.59709692001343,265
11,2021-02-25 07:00:00 to 2021-03-11 07:00:00,2021-03-12 07:00:00 to 2021-03-14 07:00:00,40,0.03,3,-1.8963492774714177,12.440287900493733,33.33333333333333,215.87233686447144,267
12,2021-02-28 07:00:00 to 2021-03-14 07:00:00,2021-03-15 07:00:00 to 2021-03-17 07:00:00,25,0.02,7,-0.3812174814969876,8.343536392419773,57.14285714285714,210.33329391479492,269
13,2021-03-03 07:00:00 to 2021-03-17 07:00:00,2021-03-18 07:00:00 to 2021-03-20 07:00:00,180,0.02,2,1.288725976130081,4.219328908079066,50.0,213.76462507247925,270
14,2021-03-06 07:00:00 to 2021-03-20 07:00:00,2021-03-21 07:00:00 to 2021-03-23 07:00:00,180,0.02,4,14.734017980138706,4.143794198874125,75.0,211.3977689743042,271
15,2021-03-09 07:00:00 to 2021-03-23 07:00:00,2021-03-24 07:00:00 to 2021-03-26 07:00:00,180,0.022,4,22.418214800637287,11.094771216514946,100.0,217.16283702850345,273
16,2021-03-12 07:00:00 to 2021-03-26 07:00:00,2021-03-27 07:00:00 to 2021-03-29 07:00:00,180,0.022,3,8.71336369292865,3.132928070767072,66.66666666666666,222.9529528617859,275
17,2021-03-15 07:00:00 to 2021-03-29 07:00:00,2021-03-30 07:00:00 to 2021-04-01 07:00:00,210,0.026,3,3.295416727792308,5.430417397351471,66.66666666666666,217.59047675132751,276
18,2021-03-18 07:00:00 to 2021-04-01 07:00:00,2021-04-02 07:00:00 to 2021-04-04 07:00:00,210,0.026,1,-2.3659220217900474,6.259676177733344,0.0,222.04272985458377,277
19,2021-03-21 07:00:00 to 2021-04-04 07:00:00,2021-04-05 07:00:00 to 2021-04-07 07:00:00,155,0.03,2,-8.428741336817001,10.758763382664982,50.0,218.57319927215576,279
