Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-04-28 12:00:00 to 2023-05-12 12:00:00,2023-05-13 12:00:00 to 2023-05-15 12:00:00,40,0.03,0,0.0,0.0,0.0,227.32728910446167,663
2,2023-05-01 12:00:00 to 2023-05-15 12:00:00,2023-05-16 12:00:00 to 2023-05-18 12:00:00,40,0.03,1,0.6265179160254957,0.463370589920815,100.0,227.2867729663849,665
3,2023-05-04 12:00:00 to 2023-05-18 12:00:00,2023-05-19 12:00:00 to 2023-05-21 12:00:00,280,0.02,1,1.0442453483340617,1.1401780159292176,100.0,214.1081290245056,666
4,2023-05-07 12:00:00 to 2023-05-21 12:00:00,2023-05-22 12:00:00 to 2023-05-24 12:00:00,280,0.02,2,2.9448666803002563,1.6035809871446507,50.0,220.2447769641876,667
5,2023-05-10 12:00:00 to 2023-05-24 12:00:00,2023-05-25 12:00:00 to 2023-05-27 12:00:00,220,0.022,1,0.0872129849368138,3.697974346409392,100.0,218.2072732448578,669
6,2023-05-13 12:00:00 to 2023-05-27 12:00:00,2023-05-28 12:00:00 to 2023-05-30 12:00:00,285,0.02,0,0.0,0.0,0.0,212.41836810112,671
7,2023-05-16 12:00:00 to 2023-05-30 12:00:00,2023-05-31 12:00:00 to 2023-06-02 12:00:00,285,0.024,1,-0.929081592205366,5.009585473825555,0.0,210.04160690307617,672
8,2023-05-19 12:00:00 to 2023-06-02 12:00:00,2023-06-03 12:00:00 to 2023-06-05 12:00:00,290,0.044,1,0.5922649697475572,0.57673378278244,0.0,216.96860814094543,673
9,2023-05-22 12:00:00 to 2023-06-05 12:00:00,2023-06-06 12:00:00 to 2023-06-08 12:00:00,290,0.074,2,9.23087678078504,1.991942195887901,50.0,218.3908040523529,675
10,2023-05-25 12:00:00 to 2023-06-08 12:00:00,2023-06-09 12:00:00 to 2023-06-11 12:00:00,290,0.074,1,-4.42259844767048,8.731213806463387,0.0,217.180401802063,677
