Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-15 11:30:00 to 2024-11-29 11:30:00,2024-11-30 11:30:00 to 2024-12-02 11:30:00,180,0.038,2,-1.3482891251355795,4.115723209743957,50.0,227.6702218055725,947
2,2024-11-18 11:30:00 to 2024-12-02 11:30:00,2024-12-03 11:30:00 to 2024-12-05 11:30:00,250,0.046,1,2.9765670023237725,0.9852257685796274,100.0,231.4318130016327,948
3,2024-11-21 11:30:00 to 2024-12-05 11:30:00,2024-12-06 11:30:00 to 2024-12-08 11:30:00,185,0.034,0,0.0,0.0,0.0,226.5122458934784,949
4,2024-11-24 11:30:00 to 2024-12-08 11:30:00,2024-12-09 11:30:00 to 2024-12-11 11:30:00,220,0.03,1,-19.89320925592635,28.527145627359356,0.0,219.7026169300079,951
5,2024-11-27 11:30:00 to 2024-12-11 11:30:00,2024-12-12 11:30:00 to 2024-12-14 11:30:00,10,0.034,0,0.0,0.0,0.0,220.129371881485,953
6,2024-11-30 11:30:00 to 2024-12-14 11:30:00,2024-12-15 11:30:00 to 2024-12-17 11:30:00,50,0.05,1,0.5596837163677083,1.3328122197309495,100.0,220.41086387634277,954
7,2024-12-03 11:30:00 to 2024-12-17 11:30:00,2024-12-18 11:30:00 to 2024-12-20 11:30:00,10,0.034,3,-7.47695962315358,9.104691166095185,66.66666666666666,217.2913398742676,955
8,2024-12-06 11:30:00 to 2024-12-20 11:30:00,2024-12-21 11:30:00 to 2024-12-23 11:30:00,50,0.074,1,-1.0123076775982554,3.48881101899583,0.0,219.9983627796173,957
9,2024-12-09 11:30:00 to 2024-12-23 11:30:00,2024-12-24 11:30:00 to 2024-12-26 11:30:00,120,0.06,1,-0.6564857142856999,1.1001220046944749,0.0,220.63900780677795,959
10,2024-12-12 11:30:00 to 2024-12-26 11:30:00,2024-12-27 11:30:00 to 2024-12-29 11:30:00,120,0.06,0,0.0,0.0,0.0,220.10663866996765,960
11,2024-12-15 11:30:00 to 2024-12-29 11:30:00,2024-12-30 11:30:00 to 2025-01-01 11:30:00,120,0.06,1,0.5369880000000011,0.2195784357527851,0.0,224.0646779537201,961
12,2024-12-18 11:30:00 to 2025-01-01 11:30:00,2025-01-02 11:30:00 to 2025-01-04 11:30:00,195,0.044,0,0.0,0.0,0.0,222.84123373031616,963
13,2024-12-21 11:30:00 to 2025-01-04 11:30:00,2025-01-05 11:30:00 to 2025-01-07 11:30:00,235,0.046,1,-3.201174846848244,3.201174846848244,0.0,218.87457370758057,965
14,2024-12-24 11:30:00 to 2025-01-07 11:30:00,2025-01-08 11:30:00 to 2025-01-10 11:30:00,235,0.046,1,-11.464197193025065,15.569129744027558,0.0,221.985445022583,966
15,2024-12-27 11:30:00 to 2025-01-10 11:30:00,2025-01-11 11:30:00 to 2025-01-13 11:30:00,25,0.03,0,0.0,0.0,0.0,217.22989082336423,967
16,2024-12-30 11:30:00 to 2025-01-13 11:30:00,2025-01-14 11:30:00 to 2025-01-16 11:30:00,25,0.03,1,-0.094697661372993,1.442136354935628,0.0,213.86581802368164,969
17,2025-01-02 11:30:00 to 2025-01-16 11:30:00,2025-01-17 11:30:00 to 2025-01-19 11:30:00,25,0.03,2,-9.477977793404808,9.477977793404806,0.0,217.59023213386536,971
18,2025-01-05 11:30:00 to 2025-01-19 11:30:00,2025-01-20 11:30:00 to 2025-01-22 11:30:00,35,0.058,2,4.410895173004537,2.774310538272366,100.0,222.88659405708313,972
19,2025-01-08 11:30:00 to 2025-01-22 11:30:00,2025-01-23 11:30:00 to 2025-01-25 11:30:00,135,0.046,3,4.8221458289182735,2.999013703703889,66.66666666666666,223.35418701171875,973
20,2025-01-11 11:30:00 to 2025-01-25 11:30:00,2025-01-26 11:30:00 to 2025-01-28 11:30:00,205,0.076,1,-4.459743190637801,5.004791641313919,0.0,222.3708689212799,975
21,2025-01-14 11:30:00 to 2025-01-28 11:30:00,2025-01-29 11:30:00 to 2025-01-31 11:30:00,60,0.064,1,3.4461255510492084,0.0187407667697159,100.0,222.93731379508972,977
22,2025-01-17 11:30:00 to 2025-01-31 11:30:00,2025-02-01 11:30:00 to 2025-02-03 11:30:00,110,0.068,1,-31.21477128021448,38.77334685143196,0.0,223.46122431755063,978
23,2025-01-20 11:30:00 to 2025-02-03 11:30:00,2025-02-04 11:30:00 to 2025-02-06 11:30:00,20,0.076,0,0.0,0.0,0.0,222.91608810424805,979
24,2025-01-23 11:30:00 to 2025-02-06 11:30:00,2025-02-07 11:30:00 to 2025-02-09 11:30:00,20,0.076,0,0.0,0.0,0.0,221.3849070072174,981
25,2025-01-26 11:30:00 to 2025-02-09 11:30:00,2025-02-10 11:30:00 to 2025-02-12 11:30:00,20,0.076,0,0.0,0.0,0.0,221.2048900127411,983
26,2025-01-29 11:30:00 to 2025-02-12 11:30:00,2025-02-13 11:30:00 to 2025-02-15 11:30:00,20,0.074,0,0.0,0.0,0.0,222.17391204833984,984
27,2025-02-01 11:30:00 to 2025-02-15 11:30:00,2025-02-16 11:30:00 to 2025-02-18 11:30:00,160,0.02,6,3.085925980051197,4.667639883896242,83.33333333333334,224.4414658546448,985
28,2025-02-04 11:30:00 to 2025-02-18 11:30:00,2025-02-19 11:30:00 to 2025-02-21 11:30:00,265,0.024,1,1.084888692593795,4.452083806845007,100.0,217.60121989250183,987
29,2025-02-07 11:30:00 to 2025-02-21 11:30:00,2025-02-22 11:30:00 to 2025-02-24 11:30:00,160,0.02,4,-2.7415316583021743,9.40968398594702,75.0,214.8613359928131,989
30,2025-02-10 11:30:00 to 2025-02-24 11:30:00,2025-02-25 11:30:00 to 2025-02-27 11:30:00,40,0.03,4,8.584375250897828,1.9610100332223632,100.0,216.4429371356964,990
31,2025-02-13 11:30:00 to 2025-02-27 11:30:00,2025-02-28 11:30:00 to 2025-03-02 11:30:00,40,0.03,3,0.4959988311784399,2.504736930676127,66.66666666666666,216.7536609172821,991
32,2025-02-16 11:30:00 to 2025-03-02 11:30:00,2025-03-03 11:30:00 to 2025-03-05 11:30:00,40,0.03,2,-13.854384225373234,21.00208346337105,50.0,218.67422223091123,993
33,2025-02-19 11:30:00 to 2025-03-05 11:30:00,2025-03-06 11:30:00 to 2025-03-08 11:30:00,10,0.034,1,0.4748890649762325,0.4934358161648197,100.0,218.2781581878662,995
