Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-10 16:30:00 to 2023-11-24 16:30:00,2023-11-25 16:30:00 to 2023-11-27 16:30:00,280,0.048,0,0.0,0.0,0.0,204.2371039390564,761
2,2023-11-13 16:30:00 to 2023-11-27 16:30:00,2023-11-28 16:30:00 to 2023-11-30 16:30:00,25,0.022,5,0.6847866115799479,3.7468585868015727,80.0,202.99346733093265,763
3,2023-11-16 16:30:00 to 2023-11-30 16:30:00,2023-12-01 16:30:00 to 2023-12-03 16:30:00,25,0.022,0,0.0,0.0,0.0,201.48181200027463,764
4,2023-11-19 16:30:00 to 2023-12-03 16:30:00,2023-12-04 16:30:00 to 2023-12-06 16:30:00,220,0.024,4,5.364987012722631,2.693513045831337,75.0,204.31912994384768,765
5,2023-11-22 16:30:00 to 2023-12-06 16:30:00,2023-12-07 16:30:00 to 2023-12-09 16:30:00,105,0.02,1,2.7222077254038597,3.651501105850889,100.0,202.11858987808228,767
6,2023-11-25 16:30:00 to 2023-12-09 16:30:00,2023-12-10 16:30:00 to 2023-12-12 16:30:00,255,0.022,2,-3.270205084090594,6.233709708572649,50.0,202.1565136909485,769
7,2023-11-28 16:30:00 to 2023-12-12 16:30:00,2023-12-13 16:30:00 to 2023-12-15 16:30:00,200,0.042,1,1.6278719086873936,1.0174952796033785,100.0,201.63672184944153,770
8,2023-12-01 16:30:00 to 2023-12-15 16:30:00,2023-12-16 16:30:00 to 2023-12-18 16:30:00,200,0.034,1,-6.9840190081139735,11.728552838421534,0.0,203.90170764923096,771
9,2023-12-04 16:30:00 to 2023-12-18 16:30:00,2023-12-19 16:30:00 to 2023-12-21 16:30:00,140,0.05,0,0.0,0.0,0.0,204.1562068462372,773
10,2023-12-07 16:30:00 to 2023-12-21 16:30:00,2023-12-22 16:30:00 to 2023-12-24 16:30:00,75,0.034,0,0.0,0.0,0.0,205.68513107299805,775
11,2023-12-10 16:30:00 to 2023-12-24 16:30:00,2023-12-25 16:30:00 to 2023-12-27 16:30:00,70,0.024,1,-4.848229620251296,7.998276778794255,0.0,197.13730096817017,776
12,2023-12-13 16:30:00 to 2023-12-27 16:30:00,2023-12-28 16:30:00 to 2023-12-30 16:30:00,290,0.074,1,1.1281881421232902,0.5389753991807067,0.0,196.9394519329071,777
13,2023-12-16 16:30:00 to 2023-12-30 16:30:00,2023-12-31 16:30:00 to 2024-01-02 16:30:00,90,0.038,0,0.0,0.0,0.0,196.5759527683258,779
14,2023-12-19 16:30:00 to 2024-01-02 16:30:00,2024-01-03 16:30:00 to 2024-01-05 16:30:00,280,0.042,1,7.266615445719271,3.5282428942651167,100.0,198.6237440109253,781
15,2023-12-22 16:30:00 to 2024-01-05 16:30:00,2024-01-06 16:30:00 to 2024-01-08 16:30:00,295,0.042,1,3.36092412322023,7.831525281477214,100.0,202.12601804733276,782
16,2023-12-25 16:30:00 to 2024-01-08 16:30:00,2024-01-09 16:30:00 to 2024-01-11 16:30:00,125,0.036,1,2.0405472772277244,0.7047988382764252,100.0,201.96178221702576,783
17,2023-12-28 16:30:00 to 2024-01-11 16:30:00,2024-01-12 16:30:00 to 2024-01-14 16:30:00,115,0.042,1,2.1477124820343487,3.823886622190904,100.0,201.22124218940735,785
18,2023-12-31 16:30:00 to 2024-01-14 16:30:00,2024-01-15 16:30:00 to 2024-01-17 16:30:00,115,0.042,0,0.0,0.0,0.0,204.3762218952179,787
19,2024-01-03 16:30:00 to 2024-01-17 16:30:00,2024-01-18 16:30:00 to 2024-01-20 16:30:00,140,0.03,1,0.7512533292108128,5.792255220577085,100.0,201.73535323143005,788
20,2024-01-06 16:30:00 to 2024-01-20 16:30:00,2024-01-21 16:30:00 to 2024-01-23 16:30:00,120,0.044,1,-1.5318833923127386,4.735389181274454,0.0,200.6920771598816,789
