Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-08-12 03:30:00 to 2021-08-26 03:30:00,2021-08-27 03:30:00 to 2021-08-29 03:30:00,40,0.024,5,4.53799275615318,1.620518034354801,60.0,214.4241080284119,351
2,2021-08-15 03:30:00 to 2021-08-29 03:30:00,2021-08-30 03:30:00 to 2021-09-01 03:30:00,50,0.022,3,3.8829333609041896,2.551721546322915,100.0,211.52944684028623,353
3,2021-08-18 03:30:00 to 2021-09-01 03:30:00,2021-09-02 03:30:00 to 2021-09-04 03:30:00,50,0.02,3,3.0639642960977107,0.4340670588902045,100.0,208.24922800064087,354
4,2021-08-21 03:30:00 to 2021-09-04 03:30:00,2021-09-05 03:30:00 to 2021-09-07 03:30:00,50,0.02,6,6.74444681815883,3.544520160653428,66.66666666666666,210.19810009002688,355
5,2021-08-24 03:30:00 to 2021-09-07 03:30:00,2021-09-08 03:30:00 to 2021-09-10 03:30:00,15,0.032,2,3.7046790908355063,1.214366637706335,100.0,208.4825060367584,357
6,2021-08-27 03:30:00 to 2021-09-10 03:30:00,2021-09-11 03:30:00 to 2021-09-13 03:30:00,30,0.056,0,0.0,0.0,0.0,207.93627381324768,359
7,2021-08-30 03:30:00 to 2021-09-13 03:30:00,2021-09-14 03:30:00 to 2021-09-16 03:30:00,30,0.056,0,0.0,0.0,0.0,207.42708706855777,360
8,2021-09-02 03:30:00 to 2021-09-16 03:30:00,2021-09-17 03:30:00 to 2021-09-19 03:30:00,30,0.056,0,0.0,0.0,0.0,209.43437123298645,361
9,2021-09-05 03:30:00 to 2021-09-19 03:30:00,2021-09-20 03:30:00 to 2021-09-22 03:30:00,300,0.028,1,-13.109441944872124,17.26157103731186,0.0,214.66907715797424,363
10,2021-09-08 03:30:00 to 2021-09-22 03:30:00,2021-09-23 03:30:00 to 2021-09-25 03:30:00,80,0.02,3,1.7466759950913728,5.36644862585781,66.66666666666666,212.14203333854675,365
11,2021-09-11 03:30:00 to 2021-09-25 03:30:00,2021-09-26 03:30:00 to 2021-09-28 03:30:00,80,0.02,1,-8.207340404647184,9.706651349076632,0.0,213.0388958454132,366
12,2021-09-14 03:30:00 to 2021-09-28 03:30:00,2021-09-29 03:30:00 to 2021-10-01 03:30:00,60,0.08,0,0.0,0.0,0.0,211.4122416973114,367
13,2021-09-17 03:30:00 to 2021-10-01 03:30:00,2021-10-02 03:30:00 to 2021-10-04 03:30:00,210,0.08,0,0.0,0.0,0.0,211.70677614212036,369
14,2021-09-20 03:30:00 to 2021-10-04 03:30:00,2021-10-05 03:30:00 to 2021-10-07 03:30:00,180,0.024,1,-1.2674733668929548,2.5637895453507773,0.0,211.8096699714661,371
15,2021-09-23 03:30:00 to 2021-10-07 03:30:00,2021-10-08 03:30:00 to 2021-10-10 03:30:00,30,0.024,1,0.6162926058865741,0.4615386929652744,100.0,206.04121899604797,372
16,2021-09-26 03:30:00 to 2021-10-10 03:30:00,2021-10-11 03:30:00 to 2021-10-13 03:30:00,270,0.022,3,4.399943274713242,5.742134179567103,66.66666666666666,201.6899049282074,373
17,2021-09-29 03:30:00 to 2021-10-13 03:30:00,2021-10-14 03:30:00 to 2021-10-16 03:30:00,60,0.02,2,1.505929129375818,0.4153092376519708,100.0,206.0232470035553,375
18,2021-10-02 03:30:00 to 2021-10-16 03:30:00,2021-10-17 03:30:00 to 2021-10-19 03:30:00,60,0.02,2,-1.1743630543892687,3.686272009546351,50.0,210.16650986671448,377
19,2021-10-05 03:30:00 to 2021-10-19 03:30:00,2021-10-20 03:30:00 to 2021-10-22 03:30:00,270,0.026,1,1.0352227191413292,0.7259898569758871,0.0,211.95160484313965,378
20,2021-10-08 03:30:00 to 2021-10-22 03:30:00,2021-10-23 03:30:00 to 2021-10-25 03:30:00,75,0.022,1,0.3780607548327679,1.0746142976605624,100.0,207.25745368003845,379
21,2021-10-11 03:30:00 to 2021-10-25 03:30:00,2021-10-26 03:30:00 to 2021-10-28 03:30:00,75,0.022,1,-3.9141559753535513,7.06878367675301,0.0,204.49549794197085,381
22,2021-10-14 03:30:00 to 2021-10-28 03:30:00,2021-10-29 03:30:00 to 2021-10-31 03:30:00,275,0.036,0,0.0,0.0,0.0,202.42356085777283,383
23,2021-10-17 03:30:00 to 2021-10-31 03:30:00,2021-11-01 03:30:00 to 2021-11-03 03:30:00,105,0.02,2,3.958841871494351,1.2320169009534587,100.0,203.92038798332217,384
24,2021-10-20 03:30:00 to 2021-11-03 03:30:00,2021-11-04 03:30:00 to 2021-11-06 03:30:00,125,0.02,1,-8.941013681228869,16.3124645816518,0.0,205.2107310295105,385
25,2021-10-23 03:30:00 to 2021-11-06 03:30:00,2021-11-07 03:30:00 to 2021-11-09 03:30:00,125,0.02,4,1.1744406309457371,7.707189834232227,75.0,208.267765045166,387
26,2021-10-26 03:30:00 to 2021-11-09 03:30:00,2021-11-10 03:30:00 to 2021-11-12 03:30:00,125,0.02,1,-8.924611017944935,12.48160212100935,0.0,209.26073908805847,389
27,2021-10-29 03:30:00 to 2021-11-12 03:30:00,2021-11-13 03:30:00 to 2021-11-15 03:30:00,175,0.074,0,0.0,0.0,0.0,210.64185214042664,390
28,2021-11-01 03:30:00 to 2021-11-15 03:30:00,2021-11-16 03:30:00 to 2021-11-18 03:30:00,200,0.02,2,5.783436810328204,15.310203002880607,50.0,208.3349609375,391
