Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-01-17 08:00:00 to 2020-01-31 08:00:00,2020-02-01 08:00:00 to 2020-02-03 08:00:00,60,0.03,0,0.0,0.0,0.0,202.18994998931885,65
2,2020-01-20 08:00:00 to 2020-02-03 08:00:00,2020-02-04 08:00:00 to 2020-02-06 08:00:00,60,0.02,1,0.6296603773585048,0.6294949389821818,100.0,201.2516777515411,66
3,2020-01-23 08:00:00 to 2020-02-06 08:00:00,2020-02-07 08:00:00 to 2020-02-09 08:00:00,60,0.02,1,1.4050062814070408,0.5691934673366995,100.0,197.86647391319275,67
4,2020-01-26 08:00:00 to 2020-02-09 08:00:00,2020-02-10 08:00:00 to 2020-02-12 08:00:00,55,0.02,1,1.0212003615546927,1.0875065859040718,100.0,198.24298214912417,69
5,2020-01-29 08:00:00 to 2020-02-12 08:00:00,2020-02-13 08:00:00 to 2020-02-15 08:00:00,55,0.02,2,4.81874141503502,2.370036894696386,100.0,200.8628499507904,71
6,2020-02-01 08:00:00 to 2020-02-15 08:00:00,2020-02-16 08:00:00 to 2020-02-18 08:00:00,55,0.02,3,0.9592056582792792,8.775796091291168,66.66666666666666,200.3827521800995,72
7,2020-02-04 08:00:00 to 2020-02-18 08:00:00,2020-02-19 08:00:00 to 2020-02-21 08:00:00,165,0.02,1,-2.5847126498217223,6.815023015802984,0.0,202.4359669685364,73
8,2020-02-07 08:00:00 to 2020-02-21 08:00:00,2020-02-22 08:00:00 to 2020-02-24 08:00:00,185,0.02,2,3.2230575734499145,2.152817593452874,50.0,207.32686614990232,75
9,2020-02-10 08:00:00 to 2020-02-24 08:00:00,2020-02-25 08:00:00 to 2020-02-27 08:00:00,185,0.02,2,-3.102127972832259,14.00277157380256,50.0,210.70840191841123,77
10,2020-02-13 08:00:00 to 2020-02-27 08:00:00,2020-02-28 08:00:00 to 2020-03-01 08:00:00,30,0.028,2,1.7239299631485117,2.007417068311517,100.0,213.1442108154297,78
11,2020-02-16 08:00:00 to 2020-03-01 08:00:00,2020-03-02 08:00:00 to 2020-03-04 08:00:00,30,0.028,0,0.0,0.0,0.0,209.07043981552124,79
12,2020-02-19 08:00:00 to 2020-03-04 08:00:00,2020-03-05 08:00:00 to 2020-03-07 08:00:00,35,0.024,0,0.0,0.0,0.0,206.55012917518616,81
13,2020-02-22 08:00:00 to 2020-03-07 08:00:00,2020-03-08 08:00:00 to 2020-03-10 08:00:00,45,0.02,6,5.1166540063191315,8.366055025222808,83.33333333333334,211.85501194000244,83
14,2020-02-25 08:00:00 to 2020-03-10 08:00:00,2020-03-11 08:00:00 to 2020-03-13 08:00:00,35,0.02,5,-21.895817561927377,45.501590130841656,40.0,205.90773916244507,84
15,2020-02-28 08:00:00 to 2020-03-13 08:00:00,2020-03-14 08:00:00 to 2020-03-16 08:00:00,10,0.078,1,0.8093946587537174,1.0415453992649644,100.0,210.72439408302307,85
16,2020-03-02 08:00:00 to 2020-03-16 08:00:00,2020-03-17 08:00:00 to 2020-03-19 08:00:00,10,0.066,0,0.0,0.0,0.0,216.74539613723755,87
17,2020-03-05 08:00:00 to 2020-03-19 08:00:00,2020-03-20 08:00:00 to 2020-03-22 08:00:00,10,0.066,1,2.048654562828469,0.3159043224556779,100.0,223.12205481529236,89
18,2020-03-08 08:00:00 to 2020-03-22 08:00:00,2020-03-23 08:00:00 to 2020-03-25 08:00:00,10,0.066,0,0.0,0.0,0.0,220.9907910823822,90
19,2020-03-11 08:00:00 to 2020-03-25 08:00:00,2020-03-26 08:00:00 to 2020-03-28 08:00:00,165,0.056,1,-0.6315740479548548,1.9844561071664868,0.0,224.13283395767212,91
20,2020-03-14 08:00:00 to 2020-03-28 08:00:00,2020-03-29 08:00:00 to 2020-03-31 08:00:00,200,0.02,1,1.0943946348508689,2.991390801008256,100.0,217.7625551223755,93
21,2020-03-17 08:00:00 to 2020-03-31 08:00:00,2020-04-01 08:00:00 to 2020-04-03 08:00:00,165,0.03,0,0.0,0.0,0.0,207.76535606384277,95
22,2020-03-20 08:00:00 to 2020-04-03 08:00:00,2020-04-04 08:00:00 to 2020-04-06 08:00:00,290,0.056,0,0.0,0.0,0.0,208.48452973365784,96
23,2020-03-23 08:00:00 to 2020-04-06 08:00:00,2020-04-07 08:00:00 to 2020-04-09 08:00:00,115,0.02,0,0.0,0.0,0.0,203.79359579086304,97
24,2020-03-26 08:00:00 to 2020-04-09 08:00:00,2020-04-10 08:00:00 to 2020-04-12 08:00:00,40,0.02,2,-4.03918652455668,8.26754902270164,50.0,198.5565321445465,99
25,2020-03-29 08:00:00 to 2020-04-12 08:00:00,2020-04-13 08:00:00 to 2020-04-15 08:00:00,230,0.02,2,0.5610561816862537,2.531579837153057,50.0,199.10433197021484,101
26,2020-04-01 08:00:00 to 2020-04-15 08:00:00,2020-04-16 08:00:00 to 2020-04-18 08:00:00,110,0.02,1,5.1935201260137545,1.19188066700852,100.0,197.26644897460935,102
27,2020-04-04 08:00:00 to 2020-04-18 08:00:00,2020-04-19 08:00:00 to 2020-04-21 08:00:00,110,0.02,3,2.374267228526496,3.7823659823991393,66.66666666666666,202.78311681747437,103
28,2020-04-07 08:00:00 to 2020-04-21 08:00:00,2020-04-22 08:00:00 to 2020-04-24 08:00:00,125,0.02,0,0.0,0.0,0.0,204.710058927536,105
29,2020-04-10 08:00:00 to 2020-04-24 08:00:00,2020-04-25 08:00:00 to 2020-04-27 08:00:00,80,0.026,2,1.021706883166262,0.7726578275958798,50.0,205.22067975997925,107
30,2020-04-13 08:00:00 to 2020-04-27 08:00:00,2020-04-28 08:00:00 to 2020-04-30 08:00:00,95,0.028,0,0.0,0.0,0.0,206.7059161663055,108
31,2020-04-16 08:00:00 to 2020-04-30 08:00:00,2020-05-01 08:00:00 to 2020-05-03 08:00:00,280,0.03,0,0.0,0.0,0.0,200.23068499565125,109
32,2020-04-19 08:00:00 to 2020-05-03 08:00:00,2020-05-04 08:00:00 to 2020-05-06 08:00:00,85,0.026,1,2.361864979358634,2.108891879039666,100.0,200.2059869766235,111
33,2020-04-22 08:00:00 to 2020-05-06 08:00:00,2020-05-07 08:00:00 to 2020-05-09 08:00:00,230,0.034,0,0.0,0.0,0.0,201.3359990119934,113
34,2020-04-25 08:00:00 to 2020-05-09 08:00:00,2020-05-10 08:00:00 to 2020-05-12 08:00:00,220,0.03,1,1.3374686648501484,9.468160744874712,100.0,202.5225999355316,114
35,2020-04-28 08:00:00 to 2020-05-12 08:00:00,2020-05-13 08:00:00 to 2020-05-15 08:00:00,165,0.02,0,0.0,0.0,0.0,205.8569359779358,115
36,2020-05-01 08:00:00 to 2020-05-15 08:00:00,2020-05-16 08:00:00 to 2020-05-18 08:00:00,145,0.026,1,1.3165522758620682,0.5760435624242112,100.0,204.2189629077911,117
37,2020-05-04 08:00:00 to 2020-05-18 08:00:00,2020-05-19 08:00:00 to 2020-05-21 08:00:00,140,0.026,0,0.0,0.0,0.0,203.93976974487305,119
38,2020-05-07 08:00:00 to 2020-05-21 08:00:00,2020-05-22 08:00:00 to 2020-05-24 08:00:00,140,0.034,1,1.6243397905759047,0.8075501218532068,100.0,206.07323479652405,120
39,2020-05-10 08:00:00 to 2020-05-24 08:00:00,2020-05-25 08:00:00 to 2020-05-27 08:00:00,140,0.022,1,0.4784996100857643,0.7558710051474365,100.0,199.00428104400635,121
40,2020-05-13 08:00:00 to 2020-05-27 08:00:00,2020-05-28 08:00:00 to 2020-05-30 08:00:00,255,0.03,0,0.0,0.0,0.0,197.6494059562683,123
41,2020-05-16 08:00:00 to 2020-05-30 08:00:00,2020-05-31 08:00:00 to 2020-06-02 08:00:00,110,0.02,0,0.0,0.0,0.0,202.58005905151367,125
42,2020-05-19 08:00:00 to 2020-06-02 08:00:00,2020-06-03 08:00:00 to 2020-06-05 08:00:00,110,0.02,1,0.9239187700780166,0.5871626924306055,100.0,201.13892078399655,126
43,2020-05-22 08:00:00 to 2020-06-05 08:00:00,2020-06-06 08:00:00 to 2020-06-08 08:00:00,105,0.02,2,1.610404590395465,0.3935673855099071,100.0,198.58073019981384,127
44,2020-05-25 08:00:00 to 2020-06-08 08:00:00,2020-06-09 08:00:00 to 2020-06-11 08:00:00,110,0.02,0,0.0,0.0,0.0,198.92672610282895,129
45,2020-05-28 08:00:00 to 2020-06-11 08:00:00,2020-06-12 08:00:00 to 2020-06-14 08:00:00,80,0.046,0,0.0,0.0,0.0,199.11917114257812,131
46,2020-05-31 08:00:00 to 2020-06-14 08:00:00,2020-06-15 08:00:00 to 2020-06-17 08:00:00,175,0.042,1,0.3757076359832718,1.821975764206383,100.0,201.99313926696777,132
47,2020-06-03 08:00:00 to 2020-06-17 08:00:00,2020-06-18 08:00:00 to 2020-06-20 08:00:00,215,0.036,0,0.0,0.0,0.0,202.75722002983093,133
48,2020-06-06 08:00:00 to 2020-06-20 08:00:00,2020-06-21 08:00:00 to 2020-06-23 08:00:00,215,0.036,0,0.0,0.0,0.0,202.42590522766113,135
49,2020-06-09 08:00:00 to 2020-06-23 08:00:00,2020-06-24 08:00:00 to 2020-06-26 08:00:00,240,0.038,0,0.0,0.0,0.0,204.45879888534543,137
50,2020-06-12 08:00:00 to 2020-06-26 08:00:00,2020-06-27 08:00:00 to 2020-06-29 08:00:00,280,0.02,1,0.6820153588107678,4.962877749668859,100.0,200.26891589164737,138
51,2020-06-15 08:00:00 to 2020-06-29 08:00:00,2020-06-30 08:00:00 to 2020-07-02 08:00:00,200,0.036,0,0.0,0.0,0.0,196.59589767456055,139
52,2020-06-18 08:00:00 to 2020-07-02 08:00:00,2020-07-03 08:00:00 to 2020-07-05 08:00:00,200,0.036,0,0.0,0.0,0.0,198.22942113876343,141
53,2020-06-21 08:00:00 to 2020-07-05 08:00:00,2020-07-06 08:00:00 to 2020-07-08 08:00:00,230,0.026,0,0.0,0.0,0.0,202.72799611091617,143
54,2020-06-24 08:00:00 to 2020-07-08 08:00:00,2020-07-09 08:00:00 to 2020-07-11 08:00:00,30,0.02,4,5.140312685837908,3.077304789151076,100.0,198.9554100036621,144
55,2020-06-27 08:00:00 to 2020-07-11 08:00:00,2020-07-12 08:00:00 to 2020-07-14 08:00:00,50,0.02,1,-0.939654907924778,6.293542583374484,0.0,197.59759998321533,145
56,2020-06-30 08:00:00 to 2020-07-14 08:00:00,2020-07-15 08:00:00 to 2020-07-17 08:00:00,170,0.02,3,3.9170269503084816,0.6381870391471243,100.0,203.64166712760925,147
