Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-16 07:00:00 to 2020-09-30 07:00:00,2020-10-01 07:00:00 to 2020-10-03 07:00:00,35,0.05,2,4.6623525517694,2.712273317656798,100.0,208.0981800556183,186
2,2020-09-19 07:00:00 to 2020-10-03 07:00:00,2020-10-04 07:00:00 to 2020-10-06 07:00:00,290,0.07,0,0.0,0.0,0.0,208.97516202926636,187
3,2020-09-22 07:00:00 to 2020-10-06 07:00:00,2020-10-07 07:00:00 to 2020-10-09 07:00:00,80,0.04,0,0.0,0.0,0.0,206.99662113189697,189
4,2020-09-25 07:00:00 to 2020-10-09 07:00:00,2020-10-10 07:00:00 to 2020-10-12 07:00:00,295,0.024,2,2.499096931855747,0.8436292580478493,50.0,208.3921458721161,191
5,2020-09-28 07:00:00 to 2020-10-12 07:00:00,2020-10-13 07:00:00 to 2020-10-15 07:00:00,295,0.024,2,-7.469155601572639,13.09159964548077,50.0,209.59192514419556,192
6,2020-10-01 07:00:00 to 2020-10-15 07:00:00,2020-10-16 07:00:00 to 2020-10-18 07:00:00,35,0.032,3,-0.5789279592423554,5.5767000126857065,66.66666666666666,207.88330793380737,193
7,2020-10-04 07:00:00 to 2020-10-18 07:00:00,2020-10-19 07:00:00 to 2020-10-21 07:00:00,15,0.024,3,-0.1776367372167805,1.5919531827174978,66.66666666666666,209.9966959953308,195
8,2020-10-07 07:00:00 to 2020-10-21 07:00:00,2020-10-22 07:00:00 to 2020-10-24 07:00:00,15,0.024,1,0.6985061890966426,0.1059289694420033,100.0,211.5184028148651,197
9,2020-10-10 07:00:00 to 2020-10-24 07:00:00,2020-10-25 07:00:00 to 2020-10-27 07:00:00,15,0.024,2,-2.081150908597574,4.744294958637827,50.0,210.29180216789248,198
10,2020-10-13 07:00:00 to 2020-10-27 07:00:00,2020-10-28 07:00:00 to 2020-10-30 07:00:00,45,0.04,2,0.8713564135200613,0.796772615754381,50.0,210.49060726165771,199
11,2020-10-16 07:00:00 to 2020-10-30 07:00:00,2020-10-31 07:00:00 to 2020-11-02 07:00:00,45,0.04,0,0.0,0.0,0.0,205.32362604141235,201
12,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,40,0.036,2,0.1665411105595376,1.4772112970711169,50.0,208.06834197044373,203
13,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,35,0.034,2,-0.7855595843948867,8.008907738147817,50.0,206.54357481002808,204
14,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,105,0.05,0,0.0,0.0,0.0,210.6747329235077,205
15,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,110,0.05,1,2.0365081766609183,4.578812850431099,100.0,208.64369893074036,207
16,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,300,0.026,2,4.7390377724943935,2.2664227349168584,100.0,209.10505414009097,209
17,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,180,0.03,1,0.6263156525833438,4.952676039539969,100.0,207.5245702266693,210
18,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,145,0.026,2,3.168406763997609,0.6880416914830312,100.0,208.0472710132599,211
19,2020-11-09 07:00:00 to 2020-11-23 07:00:00,2020-11-24 07:00:00 to 2020-11-26 07:00:00,255,0.026,1,-3.131025034789873,5.420635609989841,0.0,208.07661986351013,213
20,2020-11-12 07:00:00 to 2020-11-26 07:00:00,2020-11-27 07:00:00 to 2020-11-29 07:00:00,40,0.038,1,0.96926256983239,1.094377752048356,100.0,210.9380760192871,215
21,2020-11-15 07:00:00 to 2020-11-29 07:00:00,2020-11-30 07:00:00 to 2020-12-02 07:00:00,40,0.038,1,2.746882845188302,1.5191452366158515,100.0,207.0208601951599,216
22,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,15,0.03,2,1.1236789111406325,0.97080628745195,100.0,204.0206470489502,217
23,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,15,0.03,0,0.0,0.0,0.0,209.97612309455872,219
24,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,240,0.022,2,-0.5445057000554152,6.366295009115256,50.0,207.17459797859192,221
25,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,100,0.02,0,0.0,0.0,0.0,205.5608651638031,222
26,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,100,0.02,0,0.0,0.0,0.0,209.52307510375977,223
27,2020-12-03 07:00:00 to 2020-12-17 07:00:00,2020-12-18 07:00:00 to 2020-12-20 07:00:00,175,0.022,3,3.474112855046369,0.9041722020211588,66.66666666666666,204.4622209072113,225
28,2020-12-06 07:00:00 to 2020-12-20 07:00:00,2020-12-21 07:00:00 to 2020-12-23 07:00:00,85,0.02,3,-0.6899303609526396,4.836223549353977,33.33333333333333,204.98598384857175,227
29,2020-12-09 07:00:00 to 2020-12-23 07:00:00,2020-12-24 07:00:00 to 2020-12-26 07:00:00,30,0.042,0,0.0,0.0,0.0,200.822368144989,228
30,2020-12-12 07:00:00 to 2020-12-26 07:00:00,2020-12-27 07:00:00 to 2020-12-29 07:00:00,20,0.028,2,-0.0285724407279303,2.30296217196929,50.0,202.05990982055664,229
31,2020-12-15 07:00:00 to 2020-12-29 07:00:00,2020-12-30 07:00:00 to 2021-01-01 07:00:00,20,0.036,0,0.0,0.0,0.0,205.43898177146912,231
32,2020-12-18 07:00:00 to 2021-01-01 07:00:00,2021-01-02 07:00:00 to 2021-01-04 07:00:00,20,0.032,0,0.0,0.0,0.0,208.34452199935913,233
33,2020-12-21 07:00:00 to 2021-01-04 07:00:00,2021-01-05 07:00:00 to 2021-01-07 07:00:00,285,0.022,1,3.4021692384931885,3.0771193861414647,100.0,209.5192060470581,234
34,2020-12-24 07:00:00 to 2021-01-07 07:00:00,2021-01-08 07:00:00 to 2021-01-10 07:00:00,185,0.032,2,10.386423174883602,3.0000473221750172,100.0,207.17906880378723,235
35,2020-12-27 07:00:00 to 2021-01-10 07:00:00,2021-01-11 07:00:00 to 2021-01-13 07:00:00,180,0.034,1,-11.86519020052794,22.174519224157947,0.0,208.4579401016235,237
36,2020-12-30 07:00:00 to 2021-01-13 07:00:00,2021-01-14 07:00:00 to 2021-01-16 07:00:00,30,0.042,1,1.0633459412278172,1.115520938650858,100.0,208.2475068569183,239
