Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-18 13:00:00 to 2025-02-01 13:00:00,2025-02-02 13:00:00 to 2025-02-04 13:00:00,15,0.056,2,-1.25075286698926,5.8919225495254235,50.0,222.08676886558533,979
2,2025-01-21 13:00:00 to 2025-02-04 13:00:00,2025-02-05 13:00:00 to 2025-02-07 13:00:00,125,0.08,1,1.2481646277525216,1.1675029487405642,0.0,217.9153709411621,980
3,2025-01-24 13:00:00 to 2025-02-07 13:00:00,2025-02-08 13:00:00 to 2025-02-10 13:00:00,125,0.08,1,1.9929134733441056,3.5323985163608858,100.0,218.86962580680847,981
4,2025-01-27 13:00:00 to 2025-02-10 13:00:00,2025-02-11 13:00:00 to 2025-02-13 13:00:00,125,0.08,0,0.0,0.0,0.0,216.24087619781497,983
5,2025-01-30 13:00:00 to 2025-02-13 13:00:00,2025-02-14 13:00:00 to 2025-02-16 13:00:00,220,0.072,1,1.1042015579357394,1.9674670938735044,0.0,219.24225997924805,985
6,2025-02-02 13:00:00 to 2025-02-16 13:00:00,2025-02-17 13:00:00 to 2025-02-19 13:00:00,155,0.06,1,-1.3763311871734183,6.763608945794325,0.0,215.51269721984863,986
7,2025-02-05 13:00:00 to 2025-02-19 13:00:00,2025-02-20 13:00:00 to 2025-02-22 13:00:00,155,0.06,0,0.0,0.0,0.0,212.4721531867981,987
8,2025-02-08 13:00:00 to 2025-02-22 13:00:00,2025-02-23 13:00:00 to 2025-02-25 13:00:00,145,0.054,1,-6.859790327427199,10.967135663002669,0.0,208.5991039276123,989
9,2025-02-11 13:00:00 to 2025-02-25 13:00:00,2025-02-26 13:00:00 to 2025-02-28 13:00:00,40,0.026,2,-6.153478298015507,9.254608639092268,50.0,206.54911613464355,991
10,2025-02-14 13:00:00 to 2025-02-28 13:00:00,2025-03-01 13:00:00 to 2025-03-03 13:00:00,150,0.062,0,0.0,0.0,0.0,209.2830560207367,992
11,2025-02-17 13:00:00 to 2025-03-03 13:00:00,2025-03-04 13:00:00 to 2025-03-06 13:00:00,285,0.08,1,8.03029142208834,5.55121767249341,100.0,198.25789785385132,993
12,2025-02-20 13:00:00 to 2025-03-06 13:00:00,2025-03-07 13:00:00 to 2025-03-09 13:00:00,285,0.08,1,-1.7124009077155826,2.53532567525962,0.0,200.0366289615631,995
