Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-07-24 12:00:00 to 2023-08-07 12:00:00,2023-08-08 12:00:00 to 2023-08-10 12:00:00,40,0.026,3,-0.8263851250481093,1.675709797137929,0.0,205.24586701393127,707
2,2023-07-27 12:00:00 to 2023-08-10 12:00:00,2023-08-11 12:00:00 to 2023-08-13 12:00:00,70,0.048,0,0.0,0.0,0.0,199.87383818626404,708
3,2023-07-30 12:00:00 to 2023-08-13 12:00:00,2023-08-14 12:00:00 to 2023-08-16 12:00:00,115,0.05,1,-1.5739086562040212,1.6842568661108452,0.0,199.85640025138855,709
4,2023-08-02 12:00:00 to 2023-08-16 12:00:00,2023-08-17 12:00:00 to 2023-08-19 12:00:00,100,0.054,1,6.846066306483299,1.663482691821784,100.0,201.82828330993652,711
5,2023-08-05 12:00:00 to 2023-08-19 12:00:00,2023-08-20 12:00:00 to 2023-08-22 12:00:00,60,0.042,0,0.0,0.0,0.0,196.82654905319217,713
6,2023-08-08 12:00:00 to 2023-08-22 12:00:00,2023-08-23 12:00:00 to 2023-08-25 12:00:00,35,0.03,0,0.0,0.0,0.0,200.60803890228271,714
7,2023-08-11 12:00:00 to 2023-08-25 12:00:00,2023-08-26 12:00:00 to 2023-08-28 12:00:00,145,0.078,0,0.0,0.0,0.0,197.92407417297363,715
8,2023-08-14 12:00:00 to 2023-08-28 12:00:00,2023-08-29 12:00:00 to 2023-08-31 12:00:00,300,0.06,1,2.300774033950347,2.194492194830673,100.0,204.20368695259097,717
9,2023-08-17 12:00:00 to 2023-08-31 12:00:00,2023-09-01 12:00:00 to 2023-09-03 12:00:00,35,0.03,2,2.120777243485445,0.5663891345272866,100.0,202.2308578491211,719
10,2023-08-20 12:00:00 to 2023-09-03 12:00:00,2023-09-04 12:00:00 to 2023-09-06 12:00:00,240,0.056,1,0.8212802690582794,2.0661517047644256,100.0,201.82544684410095,720
