Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top4,2020,1,January,2020-01,2020-01-22 07:45:00,2020-01-24 12:00:00,10000.0,10189.986983052164,1.8998698305216388,0.0,6.907445920604577,1,100.0,10189.986983052164,,,
top4,2020,2,February,2020-02,2020-02-06 08:00:00,2020-02-27 12:15:00,10189.986983052164,10442.521228991694,2.478258768726027,-1.5922823276755094,18.019218790920657,2,50.0,10442.521228991694,,,
top4,2020,3,March,2020-03,2020-03-01 12:00:00,2020-03-29 08:00:00,10442.521228991694,9484.98541373722,-9.169584569251876,-19.193609524452484,65.94702183786137,7,42.857142857142854,9484.985413737222,,,
top4,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 12:00:00,9484.98541373722,10134.416962586592,6.8469430423033995,-0.9542167115370703,16.779764736281457,3,33.33333333333333,10134.416962586594,,,
top4,2020,5,May,2020-05,2020-05-01 04:45:00,2020-05-28 08:45:00,10134.416962586592,10471.932192950937,3.3303862630712278,-2.220446049250313e-14,8.314740097410459,3,33.33333333333333,10471.932192950939,,,
top4,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,10471.932192950937,11251.857509121,7.44776896755559,0.0,25.149228912480414,3,33.33333333333333,11251.857509121002,,,
top4,2020,7,July,2020-07,2020-07-03 08:45:00,2020-07-31 08:00:00,11251.857509121,11781.179999170434,4.704312062433713,0.0,9.140581558769322,3,33.33333333333333,11781.179999170434,,,
top4,2020,8,August,2020-08,2020-08-02 16:45:00,2020-08-31 00:30:00,11781.179999170434,14589.443842339799,23.836863908089924,-6.86785421774101,43.427120131786964,6,66.66666666666666,14589.4438423398,,,
top4,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-30 08:00:00,14589.443842339799,19580.52443177858,34.2102183152057,0.0,43.235928563492884,7,42.857142857142854,19580.52443177858,,,
top4,2020,10,October,2020-10,2020-10-01 19:15:00,2020-10-31 08:00:00,19580.52443177858,19506.524761753662,-0.37792486244555556,-1.59854198293925,6.930769226654411,3,33.33333333333333,19506.524761753662,,,
top4,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-29 09:00:00,19506.524761753662,24257.31891325593,24.354897704880397,-6.382021879486799,34.62844016701887,7,42.857142857142854,24257.31891325593,,,
top4,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 07:00:00,24257.31891325593,26094.692219915214,7.57451107119349,-5.926253235930156,25.272289465235005,5,60.0,26094.692219915214,,,
top4,2021,1,January,2021-01,2021-01-02 01:45:00,2021-01-31 09:00:00,26094.692219915214,37532.27930297271,43.83108636295179,-2.7691921849369416,35.96583583535279,6,66.66666666666666,37532.27930297271,,,
top4,2021,2,February,2021-02,2021-02-01 07:00:00,2021-02-28 15:00:00,37532.27930297271,41145.6533669185,9.627377103259471,-5.181569082611571,38.786969242564005,9,77.77777777777779,54687.67571473624,45.708378841795394,True,3.1249260771829963
top4,2021,3,March,2021-03,2021-03-01 20:15:00,2021-03-28 07:00:00,41145.6533669185,55659.12300127191,35.27339693680105,-8.618560008949371,39.634206731334444,8,100.0,73977.8766451057,,,
top4,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 08:00:00,55659.12300127191,62564.894657355064,12.407259194373843,-13.18939088273986,81.84335508818123,9,55.55555555555556,83156.50354695812,,,
top4,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,62564.894657355064,71489.02942381032,14.263805310197464,-5.74956856512051,48.27980440577971,5,60.0,95017.78531566367,,,
top4,2021,6,June,2021-06,2021-06-04 08:00:00,2021-06-28 08:45:00,71489.02942381032,73772.15197531875,3.193668413055839,-13.782259540283825,62.313630747410286,6,66.66666666666666,98052.33831207524,,,
top4,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-31 20:45:00,73772.15197531875,80418.04734381313,9.008677652127917,-5.997548317579692,33.68916538316041,3,66.66666666666666,106885.557400984,,,
top4,2021,8,August,2021-08,2021-08-02 01:45:00,2021-08-31 07:00:00,80418.04734381313,99554.37965754692,23.796066860365038,-3.7450637727655223,33.00916915326093,6,50.0,132320.11610419603,,,
top4,2021,9,September,2021-09,2021-09-03 04:15:00,2021-09-30 12:00:00,99554.37965754692,119297.22871247306,19.83122100990311,-2.5774112807223637,24.64928361972288,7,42.857142857142854,158560.81076937955,,,
top4,2021,10,October,2021-10,2021-10-01 05:00:00,2021-10-30 03:30:00,119297.22871247306,115259.2329259707,-3.38481943803961,-8.581496994510163,29.852964775435492,8,37.5,153193.81362534437,,,
top4,2021,11,November,2021-11,2021-11-03 03:30:00,2021-11-28 07:00:00,115259.2329259707,115137.86377630448,-0.10530102151917742,-6.87148553164123,24.10200740397862,4,50.0,153032.49897469272,,,
top4,2021,12,December,2021-12,2021-12-01 03:30:00,2021-12-31 23:00:00,115137.86377630448,120549.63070413987,4.700249553309099,-1.7038201301224243,15.600337613937555,4,50.0,160225.40832416847,,,
top4,2022,1,January,2022-01,2022-01-02 07:00:00,2022-01-30 03:30:00,120549.63070413987,132095.0349364488,9.577303692156747,-0.14239474776066574,11.875006899472542,4,75.0,175570.6822713723,,,
top4,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-28 07:00:00,132095.0349364488,146375.2505310519,10.810561957512888,-4.0245459154343965,39.220451087954885,3,33.33333333333333,194550.8596575471,,,
top4,2022,3,March,2022-03,2022-03-03 07:00:00,2022-03-31 07:00:00,146375.2505310519,171141.32602049847,16.91957854869237,-4.233470212233293,28.679461694348706,3,33.33333333333333,227468.045174462,,,
top4,2022,4,April,2022-04,2022-04-01 08:15:00,2022-04-30 03:45:00,171141.32602049847,206860.50268024128,20.871158060014405,-4.997342148321138,38.96025353097751,4,25.0,274943.26041884895,,,
top4,2022,5,May,2022-05,2022-05-02 07:00:00,2022-05-30 15:00:00,206860.50268024128,183582.9663181172,-11.252769891072823,-17.28557774831797,67.69096407099417,5,40.0,244004.52799290273,,,
