Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-25 11:45:00 to 2024-12-09 11:45:00,2024-12-10 11:45:00 to 2024-12-12 11:45:00,10,0.028,8,5.801630515346242,4.011420801594557,75.0,257.47732615470886,951
2,2024-11-28 11:45:00 to 2024-12-12 11:45:00,2024-12-13 11:45:00 to 2024-12-15 11:45:00,15,0.024,8,-4.797136342069825,7.747424511992164,75.0,245.50771570205688,953
3,2024-12-01 11:45:00 to 2024-12-15 11:45:00,2024-12-16 11:45:00 to 2024-12-18 11:45:00,300,0.06,4,1.8221437323642025,1.2586429933333596,100.0,228.97740626335144,955
4,2024-12-04 11:45:00 to 2024-12-18 11:45:00,2024-12-19 11:45:00 to 2024-12-21 11:45:00,300,0.036,2,3.3527158925633196,0.0231831857387829,100.0,234.20674991607663,956
5,2024-12-07 11:45:00 to 2024-12-21 11:45:00,2024-12-22 11:45:00 to 2024-12-24 11:45:00,25,0.028,6,11.50821328969312,2.264205644436172,100.0,242.04396414756775,957
6,2024-12-10 11:45:00 to 2024-12-24 11:45:00,2024-12-25 11:45:00 to 2024-12-27 11:45:00,130,0.02,4,-12.95381814346596,18.023093241439785,75.0,248.2983291149139,959
7,2024-12-13 11:45:00 to 2024-12-27 11:45:00,2024-12-28 11:45:00 to 2024-12-30 11:45:00,25,0.022,5,-7.259102484204232,8.372088220247473,40.0,247.4523379802704,961
8,2024-12-16 11:45:00 to 2024-12-30 11:45:00,2024-12-31 11:45:00 to 2025-01-02 11:45:00,130,0.028,2,5.515570146102291,2.7298349962806596,100.0,243.7497742176056,962
9,2024-12-19 11:45:00 to 2025-01-02 11:45:00,2025-01-03 11:45:00 to 2025-01-05 11:45:00,240,0.024,7,2.0701783338627684,1.3476512678425954,85.71428571428571,238.20996594429016,963
10,2024-12-22 11:45:00 to 2025-01-05 11:45:00,2025-01-06 11:45:00 to 2025-01-08 11:45:00,240,0.024,1,-18.89450087726136,18.89450087726136,0.0,236.4010772705078,965
11,2024-12-25 11:45:00 to 2025-01-08 11:45:00,2025-01-09 11:45:00 to 2025-01-11 11:45:00,175,0.02,18,0.9775655721235488,10.136396250016205,94.44444444444444,243.66812539100647,967
12,2024-12-28 11:45:00 to 2025-01-11 11:45:00,2025-01-12 11:45:00 to 2025-01-14 11:45:00,135,0.02,4,-16.439013142688726,25.8923899842979,75.0,248.82794380187988,968
