Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-05-19 07:00:00 to 2021-06-02 07:00:00,2021-06-03 07:00:00 to 2021-06-05 07:00:00,25,0.046,1,-1.195339159489431,6.130506813683033,0.0,220.4176933765411,309
2,2021-05-22 07:00:00 to 2021-06-05 07:00:00,2021-06-06 07:00:00 to 2021-06-08 07:00:00,135,0.032,2,-11.126162110820042,15.152991983826608,50.0,214.97954106330872,310
3,2021-05-25 07:00:00 to 2021-06-08 07:00:00,2021-06-09 07:00:00 to 2021-06-11 07:00:00,15,0.04,2,1.3068823148643425,1.874291448784931,100.0,217.16983604431152,311
4,2021-05-28 07:00:00 to 2021-06-11 07:00:00,2021-06-12 07:00:00 to 2021-06-14 07:00:00,15,0.03,2,-0.0944393376061998,4.136230365209048,50.0,215.8310718536377,313
5,2021-05-31 07:00:00 to 2021-06-14 07:00:00,2021-06-15 07:00:00 to 2021-06-17 07:00:00,235,0.056,1,2.1822905915824595,1.3780403845701177,100.0,208.61400413513184,315
6,2021-06-03 07:00:00 to 2021-06-17 07:00:00,2021-06-18 07:00:00 to 2021-06-20 07:00:00,300,0.036,1,-3.4275685810066534,6.365317803503391,0.0,212.24843192100525,316
7,2021-06-06 07:00:00 to 2021-06-20 07:00:00,2021-06-21 07:00:00 to 2021-06-23 07:00:00,265,0.038,1,-16.317648057768,35.64511691256295,0.0,215.31738018989563,317
8,2021-06-09 07:00:00 to 2021-06-23 07:00:00,2021-06-24 07:00:00 to 2021-06-26 07:00:00,20,0.07,1,0.8070789233378309,1.9406693077975017,100.0,209.54047179222107,319
9,2021-06-12 07:00:00 to 2021-06-26 07:00:00,2021-06-27 07:00:00 to 2021-06-29 07:00:00,45,0.078,0,0.0,0.0,0.0,210.23105907440183,321
10,2021-06-15 07:00:00 to 2021-06-29 07:00:00,2021-06-30 07:00:00 to 2021-07-02 07:00:00,45,0.078,0,0.0,0.0,0.0,214.47916507720947,322
