Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-01 07:00:00 to 2020-09-15 07:00:00,2020-09-16 07:00:00 to 2020-09-18 07:00:00,15,0.05,0,0.0,0.0,0.0,215.32960200309753,179
2,2020-09-04 07:00:00 to 2020-09-18 07:00:00,2020-09-19 07:00:00 to 2020-09-21 07:00:00,145,0.032,1,-14.13053209129659,15.4458853729464,0.0,215.48042798042297,180
3,2020-09-07 07:00:00 to 2020-09-21 07:00:00,2020-09-22 07:00:00 to 2020-09-24 07:00:00,10,0.026,1,-0.3420910203702442,2.316713098145154,0.0,214.43852996826172,181
4,2020-09-10 07:00:00 to 2020-09-24 07:00:00,2020-09-25 07:00:00 to 2020-09-27 07:00:00,110,0.08,0,0.0,0.0,0.0,212.84052991867063,183
5,2020-09-13 07:00:00 to 2020-09-27 07:00:00,2020-09-28 07:00:00 to 2020-09-30 07:00:00,70,0.078,0,0.0,0.0,0.0,209.16443920135495,185
6,2020-09-16 07:00:00 to 2020-09-30 07:00:00,2020-10-01 07:00:00 to 2020-10-03 07:00:00,45,0.064,1,-1.4239118632916143,5.990383679956611,0.0,204.452486038208,186
7,2020-09-19 07:00:00 to 2020-10-03 07:00:00,2020-10-04 07:00:00 to 2020-10-06 07:00:00,65,0.056,0,0.0,0.0,0.0,211.5635991096497,187
8,2020-09-22 07:00:00 to 2020-10-06 07:00:00,2020-10-07 07:00:00 to 2020-10-09 07:00:00,75,0.044,1,2.2009116568914213,4.439744888381569,100.0,206.45435428619385,189
9,2020-09-25 07:00:00 to 2020-10-09 07:00:00,2020-10-10 07:00:00 to 2020-10-12 07:00:00,75,0.048,0,0.0,0.0,0.0,207.7863290309906,191
10,2020-09-28 07:00:00 to 2020-10-12 07:00:00,2020-10-13 07:00:00 to 2020-10-15 07:00:00,75,0.048,0,0.0,0.0,0.0,208.5375459194183,192
11,2020-10-01 07:00:00 to 2020-10-15 07:00:00,2020-10-16 07:00:00 to 2020-10-18 07:00:00,35,0.024,1,0.1240163047506212,1.2010996959139792,100.0,208.23330092430115,193
12,2020-10-04 07:00:00 to 2020-10-18 07:00:00,2020-10-19 07:00:00 to 2020-10-21 07:00:00,300,0.068,1,-0.2882623318385595,1.5342088179918467,0.0,206.5939939022064,195
13,2020-10-07 07:00:00 to 2020-10-21 07:00:00,2020-10-22 07:00:00 to 2020-10-24 07:00:00,35,0.024,2,0.4247900246328754,1.2377666940136458,100.0,202.59234189987183,197
14,2020-10-10 07:00:00 to 2020-10-24 07:00:00,2020-10-25 07:00:00 to 2020-10-27 07:00:00,35,0.024,1,-1.0721547185831697,3.96569164285429,0.0,204.8992419242859,198
15,2020-10-13 07:00:00 to 2020-10-27 07:00:00,2020-10-28 07:00:00 to 2020-10-30 07:00:00,300,0.04,1,-11.92201853272476,12.1448696705849,0.0,208.5690200328827,199
16,2020-10-16 07:00:00 to 2020-10-30 07:00:00,2020-10-31 07:00:00 to 2020-11-02 07:00:00,80,0.074,0,0.0,0.0,0.0,206.514976978302,201
17,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,190,0.08,0,0.0,0.0,0.0,209.28529000282288,203
18,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,70,0.04,2,2.459444809312881,3.656841964231488,50.0,209.37436890602112,204
19,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,15,0.03,1,0.0094216478190537,1.38530943787697,100.0,211.4169569015503,205
20,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,50,0.024,2,3.968581493559322,1.8746807563757928,100.0,209.56767916679385,207
21,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,70,0.024,1,0.2877606128701518,4.072789839788402,100.0,210.40411710739136,209
22,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,105,0.02,2,4.543523782108169,4.768654217978884,100.0,206.55719184875488,210
23,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,105,0.02,1,1.774562332833193,0.3823170792059482,100.0,212.03643321990967,211
