Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-10 08:00:00 to 2020-02-24 08:00:00,2020-02-25 08:00:00 to 2020-02-27 08:00:00,75,0.036,2,-3.1249261895100244,8.729269990839187,50.0,214.54312992095947,77
2,2020-02-13 08:00:00 to 2020-02-27 08:00:00,2020-02-28 08:00:00 to 2020-03-01 08:00:00,65,0.038,1,1.5512777172729146,0.9547868597086944,100.0,213.20992302894592,78
3,2020-02-16 08:00:00 to 2020-03-01 08:00:00,2020-03-02 08:00:00 to 2020-03-04 08:00:00,35,0.02,1,0.4848480148883209,0.2925068012706565,100.0,210.48381304740903,79
4,2020-02-19 08:00:00 to 2020-03-04 08:00:00,2020-03-05 08:00:00 to 2020-03-07 08:00:00,35,0.02,1,0.7252529485089508,0.2377700352386138,100.0,206.8115751743317,81
5,2020-02-22 08:00:00 to 2020-03-07 08:00:00,2020-03-08 08:00:00 to 2020-03-10 08:00:00,35,0.02,2,-12.215537658669165,14.89604285935544,0.0,209.85857510566711,83
6,2020-02-25 08:00:00 to 2020-03-10 08:00:00,2020-03-11 08:00:00 to 2020-03-13 08:00:00,20,0.028,6,-17.907098748326845,40.91226135313601,66.66666666666666,209.7385101318359,84
7,2020-02-28 08:00:00 to 2020-03-13 08:00:00,2020-03-14 08:00:00 to 2020-03-16 08:00:00,10,0.08,0,0.0,0.0,0.0,210.19462418556213,85
8,2020-03-02 08:00:00 to 2020-03-16 08:00:00,2020-03-17 08:00:00 to 2020-03-19 08:00:00,10,0.08,0,0.0,0.0,0.0,214.58386301994324,87
9,2020-03-05 08:00:00 to 2020-03-19 08:00:00,2020-03-20 08:00:00 to 2020-03-22 08:00:00,10,0.08,0,0.0,0.0,0.0,219.09489631652832,89
10,2020-03-08 08:00:00 to 2020-03-22 08:00:00,2020-03-23 08:00:00 to 2020-03-25 08:00:00,20,0.064,0,0.0,0.0,0.0,223.74667406082153,90
11,2020-03-11 08:00:00 to 2020-03-25 08:00:00,2020-03-26 08:00:00 to 2020-03-28 08:00:00,175,0.072,0,0.0,0.0,0.0,222.4555070400238,91
12,2020-03-14 08:00:00 to 2020-03-28 08:00:00,2020-03-29 08:00:00 to 2020-03-31 08:00:00,200,0.036,1,0.9629804749713368,3.7199912682204217,100.0,211.28814005851743,93
13,2020-03-17 08:00:00 to 2020-03-31 08:00:00,2020-04-01 08:00:00 to 2020-04-03 08:00:00,155,0.042,0,0.0,0.0,0.0,210.42538905143735,95
14,2020-03-20 08:00:00 to 2020-04-03 08:00:00,2020-04-04 08:00:00 to 2020-04-06 08:00:00,50,0.02,0,0.0,0.0,0.0,207.5232400894165,96
15,2020-03-23 08:00:00 to 2020-04-06 08:00:00,2020-04-07 08:00:00 to 2020-04-09 08:00:00,50,0.02,1,2.0026952842511307,2.2888726560117885,100.0,206.52344703674316,97
