Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-06-22 08:45:00 to 2020-07-06 08:45:00,2020-07-07 08:45:00 to 2020-07-09 08:45:00,270,0.026,2,9.152518730608117,3.055010046901006,100.0,198.40317702293396,143
2,2020-06-25 08:45:00 to 2020-07-09 08:45:00,2020-07-10 08:45:00 to 2020-07-12 08:45:00,275,0.02,1,0.901124550224904,1.0483566734820002,100.0,200.61299395561215,145
3,2020-06-28 08:45:00 to 2020-07-12 08:45:00,2020-07-13 08:45:00 to 2020-07-15 08:45:00,120,0.02,2,3.676072264946834,4.469883681745302,100.0,202.68109893798828,146
4,2020-07-01 08:45:00 to 2020-07-15 08:45:00,2020-07-16 08:45:00 to 2020-07-18 08:45:00,120,0.02,1,2.172909467691807,3.3365974323021153,100.0,200.27740907669067,147
5,2020-07-04 08:45:00 to 2020-07-18 08:45:00,2020-07-19 08:45:00 to 2020-07-21 08:45:00,170,0.028,2,-0.1126664961867572,3.4054083279265144,50.0,205.8235499858856,149
6,2020-07-07 08:45:00 to 2020-07-21 08:45:00,2020-07-22 08:45:00 to 2020-07-24 08:45:00,160,0.034,1,0.4804794601455069,0.6649057480525629,0.0,198.31993293762207,151
7,2020-07-10 08:45:00 to 2020-07-24 08:45:00,2020-07-25 08:45:00 to 2020-07-27 08:45:00,160,0.02,2,-4.568512119511706,7.508507984580997,50.0,197.2292549610138,152
8,2020-07-13 08:45:00 to 2020-07-27 08:45:00,2020-07-28 08:45:00 to 2020-07-30 08:45:00,65,0.032,1,1.022574539896832,1.0895332026904012,100.0,204.58895993232727,153
9,2020-07-16 08:45:00 to 2020-07-30 08:45:00,2020-07-31 08:45:00 to 2020-08-02 08:45:00,245,0.08,1,2.3588581670291027,1.239637439318344,0.0,199.1466419696808,155
10,2020-07-19 08:45:00 to 2020-08-02 08:45:00,2020-08-03 08:45:00 to 2020-08-05 08:45:00,110,0.026,0,0.0,0.0,0.0,203.08028078079224,157
