Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-17 08:45:00 to 2020-03-02 08:45:00,2020-03-03 08:45:00 to 2020-03-05 08:45:00,25,0.026,0,0.0,0.0,0.0,207.59614491462708,80
2,2020-02-20 08:45:00 to 2020-03-05 08:45:00,2020-03-06 08:45:00 to 2020-03-08 08:45:00,25,0.026,1,-2.0119817920781133,2.9362752333982636,0.0,203.56767010688785,81
3,2020-02-23 08:45:00 to 2020-03-08 08:45:00,2020-03-09 08:45:00 to 2020-03-11 08:45:00,10,0.02,3,3.2930277615051815,1.07774970070156,100.0,205.7145700454712,83
4,2020-02-26 08:45:00 to 2020-03-11 08:45:00,2020-03-12 08:45:00 to 2020-03-14 08:45:00,25,0.028,5,-23.13993638092421,38.79004942471782,20.0,204.27609610557556,85
5,2020-02-29 08:45:00 to 2020-03-14 08:45:00,2020-03-15 08:45:00 to 2020-03-17 08:45:00,10,0.078,0,0.0,0.0,0.0,202.85091996192932,86
6,2020-03-03 08:45:00 to 2020-03-17 08:45:00,2020-03-18 08:45:00 to 2020-03-20 08:45:00,10,0.078,0,0.0,0.0,0.0,208.32812595367432,87
7,2020-03-06 08:45:00 to 2020-03-20 08:45:00,2020-03-21 08:45:00 to 2020-03-23 08:45:00,10,0.078,0,0.0,0.0,0.0,213.47390699386597,89
8,2020-03-09 08:45:00 to 2020-03-23 08:45:00,2020-03-24 08:45:00 to 2020-03-26 08:45:00,10,0.078,0,0.0,0.0,0.0,215.54543209075928,91
9,2020-03-12 08:45:00 to 2020-03-26 08:45:00,2020-03-27 08:45:00 to 2020-03-29 08:45:00,70,0.02,1,-3.1947211082448304,5.64617752903379,0.0,214.28687381744385,92
10,2020-03-15 08:45:00 to 2020-03-29 08:45:00,2020-03-30 08:45:00 to 2020-04-01 08:45:00,145,0.038,0,0.0,0.0,0.0,210.3819100856781,93
11,2020-03-18 08:45:00 to 2020-04-01 08:45:00,2020-04-02 08:45:00 to 2020-04-04 08:45:00,200,0.034,0,0.0,0.0,0.0,208.2783470153809,95
12,2020-03-21 08:45:00 to 2020-04-04 08:45:00,2020-04-05 08:45:00 to 2020-04-07 08:45:00,145,0.02,1,1.1010472338581532,0.5229627641186178,100.0,201.44471287727356,97
13,2020-03-24 08:45:00 to 2020-04-07 08:45:00,2020-04-08 08:45:00 to 2020-04-10 08:45:00,140,0.02,1,-3.3144572810940556,3.333663326584363,0.0,203.23300313949585,98
14,2020-03-27 08:45:00 to 2020-04-10 08:45:00,2020-04-11 08:45:00 to 2020-04-13 08:45:00,100,0.02,3,1.598326764563535,1.191005862178544,66.66666666666666,199.497642993927,99
15,2020-03-30 08:45:00 to 2020-04-13 08:45:00,2020-04-14 08:45:00 to 2020-04-16 08:45:00,110,0.02,1,0.9361858886761364,2.6170706974159805,100.0,199.21742010116577,101
16,2020-04-02 08:45:00 to 2020-04-16 08:45:00,2020-04-17 08:45:00 to 2020-04-19 08:45:00,140,0.02,0,0.0,0.0,0.0,199.27850818634033,103
17,2020-04-05 08:45:00 to 2020-04-19 08:45:00,2020-04-20 08:45:00 to 2020-04-22 08:45:00,140,0.024,1,-1.07897004275379,3.630784761072178,0.0,202.4140517711639,104
18,2020-04-08 08:45:00 to 2020-04-22 08:45:00,2020-04-23 08:45:00 to 2020-04-25 08:45:00,250,0.02,0,0.0,0.0,0.0,203.68613982200625,105
19,2020-04-11 08:45:00 to 2020-04-25 08:45:00,2020-04-26 08:45:00 to 2020-04-28 08:45:00,195,0.024,1,0.7647449215424058,0.914472509025226,0.0,198.02433824539185,107
20,2020-04-14 08:45:00 to 2020-04-28 08:45:00,2020-04-29 08:45:00 to 2020-05-01 08:45:00,155,0.024,2,3.017199413678063,0.8109906446278925,100.0,200.1093602180481,109
21,2020-04-17 08:45:00 to 2020-05-01 08:45:00,2020-05-02 08:45:00 to 2020-05-04 08:45:00,115,0.028,2,2.1372341299626716,0.5319082494045525,50.0,201.1958539485931,110
22,2020-04-20 08:45:00 to 2020-05-04 08:45:00,2020-05-05 08:45:00 to 2020-05-07 08:45:00,175,0.022,0,0.0,0.0,0.0,198.37474083900452,111
23,2020-04-23 08:45:00 to 2020-05-07 08:45:00,2020-05-08 08:45:00 to 2020-05-10 08:45:00,175,0.022,1,0.0814820770501137,4.827643618230174,0.0,200.9228971004486,113
24,2020-04-26 08:45:00 to 2020-05-10 08:45:00,2020-05-11 08:45:00 to 2020-05-13 08:45:00,60,0.024,2,2.0701120407116105,0.7844564314871101,100.0,199.03695631027225,115
25,2020-04-29 08:45:00 to 2020-05-13 08:45:00,2020-05-14 08:45:00 to 2020-05-16 08:45:00,60,0.024,1,0.8325756942370754,0.4076649746192924,100.0,201.7879848480225,116
26,2020-05-02 08:45:00 to 2020-05-16 08:45:00,2020-05-17 08:45:00 to 2020-05-19 08:45:00,60,0.022,1,0.7057615430741497,0.3182350443399022,100.0,206.951651096344,117
27,2020-05-05 08:45:00 to 2020-05-19 08:45:00,2020-05-20 08:45:00 to 2020-05-22 08:45:00,60,0.022,1,-0.6197974040263398,3.4056524534886212,0.0,206.22424387931824,119
28,2020-05-08 08:45:00 to 2020-05-22 08:45:00,2020-05-23 08:45:00 to 2020-05-25 08:45:00,60,0.03,1,0.3100693404451886,1.5405329174003275,100.0,208.2020320892334,121
29,2020-05-11 08:45:00 to 2020-05-25 08:45:00,2020-05-26 08:45:00 to 2020-05-28 08:45:00,295,0.044,0,0.0,0.0,0.0,199.45010113716123,122
30,2020-05-14 08:45:00 to 2020-05-28 08:45:00,2020-05-29 08:45:00 to 2020-05-31 08:45:00,295,0.044,0,0.0,0.0,0.0,200.28099489212036,123
31,2020-05-17 08:45:00 to 2020-05-31 08:45:00,2020-06-01 08:45:00 to 2020-06-03 08:45:00,295,0.044,0,0.0,0.0,0.0,198.0834949016571,125
32,2020-05-20 08:45:00 to 2020-06-03 08:45:00,2020-06-04 08:45:00 to 2020-06-06 08:45:00,135,0.024,2,0.5141147012783768,1.6583199833695854,50.0,198.93897223472595,127
33,2020-05-23 08:45:00 to 2020-06-06 08:45:00,2020-06-07 08:45:00 to 2020-06-09 08:45:00,135,0.022,1,1.2244318739054325,0.4554698052112595,100.0,198.13013291358948,128
34,2020-05-26 08:45:00 to 2020-06-09 08:45:00,2020-06-10 08:45:00 to 2020-06-12 08:45:00,110,0.03,1,-1.1837833684751058,7.556939862977071,0.0,198.0850300788879,129
35,2020-05-29 08:45:00 to 2020-06-12 08:45:00,2020-06-13 08:45:00 to 2020-06-15 08:45:00,90,0.03,1,-0.1964577122461742,3.793597405310536,0.0,201.6598219871521,131
36,2020-06-01 08:45:00 to 2020-06-15 08:45:00,2020-06-16 08:45:00 to 2020-06-18 08:45:00,90,0.03,0,0.0,0.0,0.0,202.3250551223755,133
37,2020-06-04 08:45:00 to 2020-06-18 08:45:00,2020-06-19 08:45:00 to 2020-06-21 08:45:00,275,0.042,0,0.0,0.0,0.0,202.6704978942871,134
38,2020-06-07 08:45:00 to 2020-06-21 08:45:00,2020-06-22 08:45:00 to 2020-06-24 08:45:00,245,0.05,0,0.0,0.0,0.0,201.0076899528503,135
39,2020-06-10 08:45:00 to 2020-06-24 08:45:00,2020-06-25 08:45:00 to 2020-06-27 08:45:00,105,0.052,0,0.0,0.0,0.0,204.6733376979828,137
40,2020-06-13 08:45:00 to 2020-06-27 08:45:00,2020-06-28 08:45:00 to 2020-06-30 08:45:00,180,0.038,1,1.5511230224812609,0.1801363223651056,100.0,203.24896693229675,139
41,2020-06-16 08:45:00 to 2020-06-30 08:45:00,2020-07-01 08:45:00 to 2020-07-03 08:45:00,255,0.036,0,0.0,0.0,0.0,198.87743306159973,140
42,2020-06-19 08:45:00 to 2020-07-03 08:45:00,2020-07-04 08:45:00 to 2020-07-06 08:45:00,255,0.028,0,0.0,0.0,0.0,198.4031119346619,141
43,2020-06-22 08:45:00 to 2020-07-06 08:45:00,2020-07-07 08:45:00 to 2020-07-09 08:45:00,255,0.028,0,0.0,0.0,0.0,200.3926010131836,143
44,2020-06-25 08:45:00 to 2020-07-09 08:45:00,2020-07-10 08:45:00 to 2020-07-12 08:45:00,240,0.02,1,1.5014597328018682,2.9461850022844027,100.0,200.54832482337952,145
45,2020-06-28 08:45:00 to 2020-07-12 08:45:00,2020-07-13 08:45:00 to 2020-07-15 08:45:00,280,0.02,1,1.0740924735249793,1.0050893900492772,100.0,195.22764587402344,146
46,2020-07-01 08:45:00 to 2020-07-15 08:45:00,2020-07-16 08:45:00 to 2020-07-18 08:45:00,135,0.02,1,1.282468058465456,1.5648275414898147,100.0,195.7383358478546,147
47,2020-07-04 08:45:00 to 2020-07-18 08:45:00,2020-07-19 08:45:00 to 2020-07-21 08:45:00,135,0.02,0,0.0,0.0,0.0,195.6246998310089,149
48,2020-07-07 08:45:00 to 2020-07-21 08:45:00,2020-07-22 08:45:00 to 2020-07-24 08:45:00,135,0.02,1,-0.6059967999999936,1.0893637049743308,0.0,198.0937931537628,151
