Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-04 12:30:00 to 2024-11-18 12:30:00,2024-11-19 12:30:00 to 2024-11-21 12:30:00,60,0.02,1,-15.541959026650456,18.15529172988988,0.0,206.00728297233584,941
2,2024-11-07 12:30:00 to 2024-11-21 12:30:00,2024-11-22 12:30:00 to 2024-11-24 12:30:00,195,0.028,4,1.232743724258344,4.278220664863812,75.0,209.08737206459045,943
3,2024-11-10 12:30:00 to 2024-11-24 12:30:00,2024-11-25 12:30:00 to 2024-11-27 12:30:00,195,0.026,2,-4.648414513880179,11.714989546533143,50.0,207.52743315696716,944
4,2024-11-13 12:30:00 to 2024-11-27 12:30:00,2024-11-28 12:30:00 to 2024-11-30 12:30:00,15,0.022,2,2.1608692409034664,0.3193845623737784,100.0,210.1117482185364,945
5,2024-11-16 12:30:00 to 2024-11-30 12:30:00,2024-12-01 12:30:00 to 2024-12-03 12:30:00,15,0.022,5,1.3813284452522931,3.0092729815244947,80.0,204.8573751449585,947
6,2024-11-19 12:30:00 to 2024-12-03 12:30:00,2024-12-04 12:30:00 to 2024-12-06 12:30:00,180,0.048,1,2.340131475903618,1.8950551802786584,100.0,208.3561191558838,949
7,2024-11-22 12:30:00 to 2024-12-06 12:30:00,2024-12-07 12:30:00 to 2024-12-09 12:30:00,15,0.02,4,4.404174483470324,1.1923145635112442,100.0,207.20938324928284,950
8,2024-11-25 12:30:00 to 2024-12-09 12:30:00,2024-12-10 12:30:00 to 2024-12-12 12:30:00,90,0.022,2,-1.9448684187552137,12.135767396112652,50.0,204.68836498260495,951
9,2024-11-28 12:30:00 to 2024-12-12 12:30:00,2024-12-13 12:30:00 to 2024-12-15 12:30:00,15,0.02,0,0.0,0.0,0.0,203.50709509849548,953
10,2024-12-01 12:30:00 to 2024-12-15 12:30:00,2024-12-16 12:30:00 to 2024-12-18 12:30:00,80,0.022,2,-3.587873590100553,6.851185980137675,50.0,208.27304410934448,955
11,2024-12-04 12:30:00 to 2024-12-18 12:30:00,2024-12-19 12:30:00 to 2024-12-21 12:30:00,15,0.02,6,1.3087110150268926,7.680865167123244,66.66666666666666,206.12604808807373,956
12,2024-12-07 12:30:00 to 2024-12-21 12:30:00,2024-12-22 12:30:00 to 2024-12-24 12:30:00,55,0.048,2,2.5690998568225223,1.6422424245152123,100.0,204.48618602752688,957
13,2024-12-10 12:30:00 to 2024-12-24 12:30:00,2024-12-25 12:30:00 to 2024-12-27 12:30:00,95,0.048,1,0.0951571579869778,4.93404552445505,100.0,205.49053525924683,959
14,2024-12-13 12:30:00 to 2024-12-27 12:30:00,2024-12-28 12:30:00 to 2024-12-30 12:30:00,110,0.06,0,0.0,0.0,0.0,207.0130679607391,961
15,2024-12-16 12:30:00 to 2024-12-30 12:30:00,2024-12-31 12:30:00 to 2025-01-02 12:30:00,110,0.06,1,2.362933446346833,1.0037562864159095,100.0,205.77980017662048,962
16,2024-12-19 12:30:00 to 2025-01-02 12:30:00,2025-01-03 12:30:00 to 2025-01-05 12:30:00,145,0.026,1,-0.6910420749762306,1.6409899519000413,0.0,208.8132438659668,963
17,2024-12-22 12:30:00 to 2025-01-05 12:30:00,2025-01-06 12:30:00 to 2025-01-08 12:30:00,210,0.048,1,-10.173166823533702,10.432591614252106,0.0,206.92787218093872,965
18,2024-12-25 12:30:00 to 2025-01-08 12:30:00,2025-01-09 12:30:00 to 2025-01-11 12:30:00,15,0.028,0,0.0,0.0,0.0,202.05667185783383,967
19,2024-12-28 12:30:00 to 2025-01-11 12:30:00,2025-01-12 12:30:00 to 2025-01-14 12:30:00,20,0.028,1,0.8328434247871155,1.2348945127720072,100.0,200.30428194999695,968
20,2024-12-31 12:30:00 to 2025-01-14 12:30:00,2025-01-15 12:30:00 to 2025-01-17 12:30:00,15,0.022,1,0.5363671001757393,0.3566027334886533,100.0,201.86398792266849,969
21,2025-01-03 12:30:00 to 2025-01-17 12:30:00,2025-01-18 12:30:00 to 2025-01-20 12:30:00,15,0.022,6,-19.58234629057439,21.233865856006982,33.33333333333333,204.50384092330933,971
22,2025-01-06 12:30:00 to 2025-01-20 12:30:00,2025-01-21 12:30:00 to 2025-01-23 12:30:00,50,0.066,0,0.0,0.0,0.0,205.76732802391052,973
23,2025-01-09 12:30:00 to 2025-01-23 12:30:00,2025-01-24 12:30:00 to 2025-01-26 12:30:00,50,0.066,0,0.0,0.0,0.0,203.40872406959537,974
