Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-02-06 04:30:00 to 2024-02-20 04:30:00,2024-02-21 04:30:00 to 2024-02-23 04:30:00,155,0.02,2,2.566272267801924,7.073778511702304,0.0,209.51226115226743,805
2,2024-02-09 04:30:00 to 2024-02-23 04:30:00,2024-02-24 04:30:00 to 2024-02-26 04:30:00,90,0.02,2,1.013157338278943,0.6706592765919418,100.0,205.1491401195526,807
3,2024-02-12 04:30:00 to 2024-02-26 04:30:00,2024-02-27 04:30:00 to 2024-02-29 04:30:00,85,0.022,3,2.7286152161671087,1.916839484072771,66.66666666666666,205.7576150894165,808
4,2024-02-15 04:30:00 to 2024-02-29 04:30:00,2024-03-01 04:30:00 to 2024-03-03 04:30:00,75,0.02,1,-0.1834819672131016,1.2060166541121324,0.0,206.76304411888125,809
5,2024-02-18 04:30:00 to 2024-03-03 04:30:00,2024-03-04 04:30:00 to 2024-03-06 04:30:00,80,0.024,2,-3.040670243216937,8.03971580994457,50.0,211.93679690361023,811
6,2024-02-21 04:30:00 to 2024-03-06 04:30:00,2024-03-07 04:30:00 to 2024-03-09 04:30:00,65,0.026,1,2.424300494233921,0.0330003466358235,100.0,207.26074767112732,813
7,2024-02-24 04:30:00 to 2024-03-09 04:30:00,2024-03-10 04:30:00 to 2024-03-12 04:30:00,190,0.046,1,2.3633797085510015,1.3017686653267757,100.0,210.20905327796936,814
8,2024-02-27 04:30:00 to 2024-03-12 04:30:00,2024-03-13 04:30:00 to 2024-03-15 04:30:00,300,0.02,2,-0.8617326525758109,3.1080881461054144,50.0,210.49427199363708,815
9,2024-03-01 04:30:00 to 2024-03-15 04:30:00,2024-03-16 04:30:00 to 2024-03-18 04:30:00,85,0.028,1,0.9436238070029502,5.882208970909568,100.0,208.87035608291623,817
10,2024-03-04 04:30:00 to 2024-03-18 04:30:00,2024-03-19 04:30:00 to 2024-03-21 04:30:00,135,0.034,2,-2.1290042971935508,9.110031684136224,50.0,210.8177230358124,819
11,2024-03-07 04:30:00 to 2024-03-21 04:30:00,2024-03-22 04:30:00 to 2024-03-24 04:30:00,135,0.034,1,2.53336513277085,0.8922831470741291,100.0,210.33499121665955,820
12,2024-03-10 04:30:00 to 2024-03-24 04:30:00,2024-03-25 04:30:00 to 2024-03-27 04:30:00,80,0.032,1,1.2412829652465007,0.7026976413481585,100.0,214.22925400733948,821
13,2024-03-13 04:30:00 to 2024-03-27 04:30:00,2024-03-28 04:30:00 to 2024-03-30 04:30:00,135,0.036,1,1.2911838365896984,1.675186272657634,100.0,211.79109406471252,823
14,2024-03-16 04:30:00 to 2024-03-30 04:30:00,2024-03-31 04:30:00 to 2024-04-02 04:30:00,80,0.032,2,1.9636701219075987,2.291332999202897,50.0,211.9607150554657,825
15,2024-03-19 04:30:00 to 2024-04-02 04:30:00,2024-04-03 04:30:00 to 2024-04-05 04:30:00,90,0.03,0,0.0,0.0,0.0,205.3147521018982,826
16,2024-03-22 04:30:00 to 2024-04-05 04:30:00,2024-04-06 04:30:00 to 2024-04-08 04:30:00,90,0.02,0,0.0,0.0,0.0,208.8042929172516,827
17,2024-03-25 04:30:00 to 2024-04-08 04:30:00,2024-04-09 04:30:00 to 2024-04-11 04:30:00,90,0.032,1,-1.733130668769936,5.3243389709448605,0.0,205.10440826416016,829
18,2024-03-28 04:30:00 to 2024-04-11 04:30:00,2024-04-12 04:30:00 to 2024-04-14 04:30:00,40,0.02,3,-10.652009796366546,19.557169366310312,33.33333333333333,206.4612100124359,831
19,2024-03-31 04:30:00 to 2024-04-14 04:30:00,2024-04-15 04:30:00 to 2024-04-17 04:30:00,200,0.066,0,0.0,0.0,0.0,206.25460195541385,832
20,2024-04-03 04:30:00 to 2024-04-17 04:30:00,2024-04-18 04:30:00 to 2024-04-20 04:30:00,190,0.072,0,0.0,0.0,0.0,205.3466076850891,833
21,2024-04-06 04:30:00 to 2024-04-20 04:30:00,2024-04-21 04:30:00 to 2024-04-23 04:30:00,190,0.072,0,0.0,0.0,0.0,211.24537301063535,835
22,2024-04-09 04:30:00 to 2024-04-23 04:30:00,2024-04-24 04:30:00 to 2024-04-26 04:30:00,190,0.072,1,-0.7913138705503661,2.205653246260583,0.0,212.44380688667297,837
23,2024-04-12 04:30:00 to 2024-04-26 04:30:00,2024-04-27 04:30:00 to 2024-04-29 04:30:00,60,0.044,0,0.0,0.0,0.0,206.96116971969604,838
24,2024-04-15 04:30:00 to 2024-04-29 04:30:00,2024-04-30 04:30:00 to 2024-05-02 04:30:00,40,0.028,2,-2.544065003757296,5.482944434426917,50.0,206.15874695777893,839
25,2024-04-18 04:30:00 to 2024-05-02 04:30:00,2024-05-03 04:30:00 to 2024-05-05 04:30:00,60,0.044,0,0.0,0.0,0.0,204.77246499061584,841
26,2024-04-21 04:30:00 to 2024-05-05 04:30:00,2024-05-06 04:30:00 to 2024-05-08 04:30:00,60,0.044,0,0.0,0.0,0.0,205.46032190322876,843
27,2024-04-24 04:30:00 to 2024-05-08 04:30:00,2024-05-09 04:30:00 to 2024-05-11 04:30:00,275,0.062,0,0.0,0.0,0.0,208.25203895568848,844
28,2024-04-27 04:30:00 to 2024-05-11 04:30:00,2024-05-12 04:30:00 to 2024-05-14 04:30:00,210,0.064,0,0.0,0.0,0.0,203.58237886428833,845
29,2024-04-30 04:30:00 to 2024-05-14 04:30:00,2024-05-15 04:30:00 to 2024-05-17 04:30:00,60,0.02,1,0.2219568741397961,0.6838162563082915,100.0,201.63371920585632,847
30,2024-05-03 04:30:00 to 2024-05-17 04:30:00,2024-05-18 04:30:00 to 2024-05-20 04:30:00,130,0.02,1,0.4663346848507171,0.9328475949104938,0.0,199.31281805038452,849
31,2024-05-06 04:30:00 to 2024-05-20 04:30:00,2024-05-21 04:30:00 to 2024-05-23 04:30:00,130,0.02,0,0.0,0.0,0.0,202.53322315216064,850
32,2024-05-09 04:30:00 to 2024-05-23 04:30:00,2024-05-24 04:30:00 to 2024-05-26 04:30:00,250,0.028,0,0.0,0.0,0.0,198.67184400558472,851
33,2024-05-12 04:30:00 to 2024-05-26 04:30:00,2024-05-27 04:30:00 to 2024-05-29 04:30:00,70,0.02,1,1.0690782764466893,0.3511065831755116,100.0,200.92992210388184,853
34,2024-05-15 04:30:00 to 2024-05-29 04:30:00,2024-05-30 04:30:00 to 2024-06-01 04:30:00,110,0.02,3,0.6713606281020292,2.8493353536295953,33.33333333333333,198.4026379585266,855
35,2024-05-18 04:30:00 to 2024-06-01 04:30:00,2024-06-02 04:30:00 to 2024-06-04 04:30:00,115,0.02,1,1.7241664031620714,0.8219479586863847,100.0,199.20914268493652,856
36,2024-05-21 04:30:00 to 2024-06-04 04:30:00,2024-06-05 04:30:00 to 2024-06-07 04:30:00,90,0.02,0,0.0,0.0,0.0,202.72780108451843,857
37,2024-05-24 04:30:00 to 2024-06-07 04:30:00,2024-06-08 04:30:00 to 2024-06-10 04:30:00,90,0.02,0,0.0,0.0,0.0,203.68363881111145,859
38,2024-05-27 04:30:00 to 2024-06-10 04:30:00,2024-06-11 04:30:00 to 2024-06-13 04:30:00,90,0.02,2,-0.7145983389176399,3.391995012056733,0.0,201.92085886001587,861
39,2024-05-30 04:30:00 to 2024-06-13 04:30:00,2024-06-14 04:30:00 to 2024-06-16 04:30:00,115,0.036,1,-0.4354549431706073,3.158293158130364,0.0,201.90002393722537,862
40,2024-06-02 04:30:00 to 2024-06-16 04:30:00,2024-06-17 04:30:00 to 2024-06-19 04:30:00,165,0.044,2,4.738940520910619,4.500898671624889,100.0,208.8849642276764,863
