Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-04 07:00:00 to 2020-09-18 07:00:00,2020-09-19 07:00:00 to 2020-09-21 07:00:00,145,0.04,2,-7.433203538954185,8.914776038490043,50.0,224.45553612709045,180
2,2020-09-07 07:00:00 to 2020-09-21 07:00:00,2020-09-22 07:00:00 to 2020-09-24 07:00:00,45,0.08,0,0.0,0.0,0.0,213.86140513420105,181
3,2020-09-10 07:00:00 to 2020-09-24 07:00:00,2020-09-25 07:00:00 to 2020-09-27 07:00:00,10,0.044,0,0.0,0.0,0.0,218.34148478507996,183
4,2020-09-13 07:00:00 to 2020-09-27 07:00:00,2020-09-28 07:00:00 to 2020-09-30 07:00:00,225,0.04,1,-6.038895695992469,7.552107158987427,0.0,217.35877776145935,185
5,2020-09-16 07:00:00 to 2020-09-30 07:00:00,2020-10-01 07:00:00 to 2020-10-03 07:00:00,235,0.042,2,4.751314072936438,13.885812299345911,100.0,216.5945110321045,186
6,2020-09-19 07:00:00 to 2020-10-03 07:00:00,2020-10-04 07:00:00 to 2020-10-06 07:00:00,225,0.074,1,-2.876730434782603,3.039773913043464,0.0,209.81327319145203,187
7,2020-09-22 07:00:00 to 2020-10-06 07:00:00,2020-10-07 07:00:00 to 2020-10-09 07:00:00,190,0.08,0,0.0,0.0,0.0,204.87194991111755,189
8,2020-09-25 07:00:00 to 2020-10-09 07:00:00,2020-10-10 07:00:00 to 2020-10-12 07:00:00,210,0.08,0,0.0,0.0,0.0,209.75586700439453,191
9,2020-09-28 07:00:00 to 2020-10-12 07:00:00,2020-10-13 07:00:00 to 2020-10-15 07:00:00,210,0.078,1,0.4222498588899179,0.4752101599247544,0.0,209.95361423492432,192
10,2020-10-01 07:00:00 to 2020-10-15 07:00:00,2020-10-16 07:00:00 to 2020-10-18 07:00:00,110,0.02,3,4.13905870812474,3.131399817274555,100.0,206.83576798439023,193
11,2020-10-04 07:00:00 to 2020-10-18 07:00:00,2020-10-19 07:00:00 to 2020-10-21 07:00:00,110,0.02,2,-6.0858893086606445,12.789101435097502,50.0,206.05095887184143,195
12,2020-10-07 07:00:00 to 2020-10-21 07:00:00,2020-10-22 07:00:00 to 2020-10-24 07:00:00,110,0.02,1,1.1455147453447354,2.083196985690472,100.0,206.23616290092468,197
13,2020-10-10 07:00:00 to 2020-10-24 07:00:00,2020-10-25 07:00:00 to 2020-10-27 07:00:00,100,0.02,2,-0.3485700669789184,5.352899957748837,50.0,204.86509013175964,198
14,2020-10-13 07:00:00 to 2020-10-27 07:00:00,2020-10-28 07:00:00 to 2020-10-30 07:00:00,210,0.072,1,-3.990217172543817,5.167070118273735,0.0,208.4899618625641,199
15,2020-10-16 07:00:00 to 2020-10-30 07:00:00,2020-10-31 07:00:00 to 2020-11-02 07:00:00,225,0.078,0,0.0,0.0,0.0,207.04619598388672,201
16,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,130,0.036,1,-2.281187211157485,5.140292357004074,0.0,208.95053696632385,203
17,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,75,0.042,1,5.095243598877878,4.229683079832102,100.0,206.7144820690155,204
18,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,130,0.054,0,0.0,0.0,0.0,208.0121819972992,205
19,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,15,0.02,4,-3.070559845944153,7.247375982166249,50.0,205.94947791099548,207
20,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,130,0.056,0,0.0,0.0,0.0,206.23136687278748,209
21,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,70,0.024,2,-3.8565088082546577,12.387987928381966,50.0,201.7936511039734,210
22,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,50,0.024,3,-1.2698710020351065,7.664726510964934,66.66666666666666,209.84060907363892,211
23,2020-11-09 07:00:00 to 2020-11-23 07:00:00,2020-11-24 07:00:00 to 2020-11-26 07:00:00,130,0.048,3,-1.4681322387111868,7.7994323020818,66.66666666666666,212.8681173324585,213
24,2020-11-12 07:00:00 to 2020-11-26 07:00:00,2020-11-27 07:00:00 to 2020-11-29 07:00:00,40,0.036,1,1.8012164560042403,3.388837668659864,100.0,212.4503390789032,215
25,2020-11-15 07:00:00 to 2020-11-29 07:00:00,2020-11-30 07:00:00 to 2020-12-02 07:00:00,135,0.044,0,0.0,0.0,0.0,219.32663702964783,216
26,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,40,0.038,2,1.9961693916984589,3.5735240146169747,100.0,212.40710306167605,217
27,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,125,0.02,3,0.6941142243553623,2.560197732373222,66.66666666666666,214.64381194114685,219
28,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,300,0.036,3,11.348424126464888,6.2981825842732695,66.66666666666666,208.20909118652344,221
29,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,85,0.044,0,0.0,0.0,0.0,206.31696701049805,222
30,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,300,0.036,0,0.0,0.0,0.0,212.06887125968933,223
